"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Madison Bumgarner",11200,"SF@Ari 04:10PM ET",21.728,"SF"
"SP","Jon Lester",10600,"ChC@StL 08:35PM ET",20.760,"ChC"
"SP","Johnny Cueto",10500,"SF@Ari 04:10PM ET",22.171,"SF"
"SP","Jake Arrieta",10000,"ChC@StL 08:35PM ET",20.379,"ChC"
"SP","Chris Archer",9200,"NYY@TB 01:10PM ET",18.885,"TB"
"SP","Kyle Hendricks",9100,"ChC@StL 08:35PM ET",19.119,"ChC"
"SP","John Lackey",8800,"ChC@StL 08:35PM ET",18.425,"ChC"
"SP","Masahiro Tanaka",8800,"NYY@TB 01:10PM ET",18.337,"NYY"
"SP","Carlos Martinez",8300,"ChC@StL 08:35PM ET",17.258,"StL"
"SP","Jeff Samardzija",8200,"SF@Ari 04:10PM ET",14.780,"SF"
"SP","Michael Pineda",8000,"NYY@TB 01:10PM ET",15.608,"NYY"
"SP","Robbie Ray",7900,"SF@Ari 04:10PM ET",16.033,"Ari"
"SP","Zack Greinke",7700,"SF@Ari 04:10PM ET",15.067,"Ari"
"SP","Taijuan Walker",7600,"SF@Ari 04:10PM ET",13.874,"Ari"
"SP","Jake Odorizzi",7500,"NYY@TB 01:10PM ET",15.256,"TB"
"SP","Matt Moore",7300,"SF@Ari 04:10PM ET",16.196,"SF"
"P","Jose De Leon",7200,"NYY@TB 01:10PM ET",8.713,"TB"
"SP","Blake Snell",7100,"NYY@TB 01:10PM ET",13.887,"TB"
"SP","Adam Wainwright",7000,"ChC@StL 08:35PM ET",13.282,"StL"
"SP","Alex Cobb",7000,"NYY@TB 01:10PM ET",4.020,"TB"
"SP","Alex Reyes",6900,"ChC@StL 08:35PM ET",14.492,"StL"
"SP","CC Sabathia",6700,"NYY@TB 01:10PM ET",14.688,"NYY"
"SP","Archie Bradley",6700,"SF@Ari 04:10PM ET",13.221,"Ari"
"SP","Michael Wacha",6200,"ChC@StL 08:35PM ET",10.648,"StL"
"SP","Jacob Faria",6100,"NYY@TB 01:10PM ET",0,"TB"
"SP","Brett Anderson",6000,"ChC@StL 08:35PM ET",-1.975,"ChC"
"SP","Mike Leake",6000,"ChC@StL 08:35PM ET",10.456,"StL"
"SP","Lance Lynn",6000,"ChC@StL 08:35PM ET",0,"StL"
"SP","Anthony Banda",6000,"SF@Ari 04:10PM ET",0,"Ari"
"SP","Chad Green",5700,"NYY@TB 01:10PM ET",10.646,"NYY"
"SP","Matt Andriese",5700,"NYY@TB 01:10PM ET",11.174,"TB"
"SP","Shelby Miller",5700,"SF@Ari 04:10PM ET",6.840,"Ari"
"SP","Luke Weaver",5600,"ChC@StL 08:35PM ET",10.417,"StL"
"SP","Luis Severino",5600,"NYY@TB 01:10PM ET",6.734,"NYY"
"SP","Jaime Schultz",5500,"NYY@TB 01:10PM ET",0,"TB"
"RP","Jumbo Diaz",5000,"NYY@TB 01:10PM ET",2.470,"TB"
"RP","Mike Montgomery",4900,"ChC@StL 08:35PM ET",5.474,"ChC"
"1B","Anthony Rizzo",4900,"ChC@StL 08:35PM ET",9.237,"ChC"
"3B/OF","Kris Bryant",4800,"ChC@StL 08:35PM ET",9.953,"ChC"
"SP","Chih-Wei Hu",4800,"NYY@TB 01:10PM ET",0,"TB"
"SP","Matt Cain",4800,"SF@Ari 04:10PM ET",7.829,"SF"
"SP","Patrick Corbin",4800,"SF@Ari 04:10PM ET",8.038,"Ari"
"RP","Ty Blach",4800,"SF@Ari 04:10PM ET",11.125,"SF"
"SP","John Gant",4700,"ChC@StL 08:35PM ET",5.715,"StL"
"RP","Bryan Mitchell",4700,"NYY@TB 01:10PM ET",8.290,"NYY"
"SP","Joan Gregorio",4700,"SF@Ari 04:10PM ET",0,"SF"
"RP","Alec Mills",4600,"ChC@StL 08:35PM ET",0.033,"ChC"
"RP","Chris Stratton",4600,"SF@Ari 04:10PM ET",2.986,"SF"
"1B","Paul Goldschmidt",4600,"SF@Ari 04:10PM ET",9.880,"Ari"
"SP","Marco Gonzales",4500,"ChC@StL 08:35PM ET",0,"StL"
"C","Gary Sanchez",4500,"NYY@TB 01:10PM ET",10.434,"NYY"
"SP","Jorge De La Rosa",4500,"SF@Ari 04:10PM ET",9.211,"Ari"
"SP","Albert Suarez",4500,"SF@Ari 04:10PM ET",7.300,"SF"
"SP","Taylor Clarke",4500,"SF@Ari 04:10PM ET",0,"Ari"
"RP","Frank Duncan",4500,"SF@Ari 04:10PM ET",0,"Ari"
"1B/C","Buster Posey",4400,"SF@Ari 04:10PM ET",7.605,"SF"
"C/OF","Kyle Schwarber",4300,"ChC@StL 08:35PM ET",6.286,"ChC"
"RP","Adam Warren",4300,"NYY@TB 01:10PM ET",2.717,"NYY"
"SP","Brad Keller",4300,"SF@Ari 04:10PM ET",0,"Ari"
"OF","Hunter Pence",4300,"SF@Ari 04:10PM ET",7.330,"SF"
