"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"1B","Anthony Rizzo",4900,"CHC@STL 08:35PM ET",9.237,"CHC","STL",NA,9.3,NA,NA,"3","3",3
"3B/OF","Kris Bryant",4800,"CHC@STL 08:35PM ET",9.953,"CHC","STL",NA,7.7,NA,NA,"2","2",0
"1B","Paul Goldschmidt",4600,"SF@ARI 04:10PM ET",9.88,"ARI","SF",NA,9.6,NA,NA,"3","3",8
"C","Gary Sanchez",4500,"NYY@TB 01:10PM ET",10.434,"NYY","TB",NA,8.5,NA,NA,"2","2",0
"1B/C","Buster Posey",4400,"SF@ARI 04:10PM ET",7.605,"SF","ARI",NA,8.1,NA,NA,"3","4",2
"C/OF","Kyle Schwarber",4300,"CHC@STL 08:35PM ET",6.286,"CHC","STL",NA,9.7,NA,NA,"1","1",10
"OF","Hunter Pence",4300,"SF@ARI 04:10PM ET",7.33,"SF","ARI",NA,8,NA,NA,"4","3",5
"1B","Brandon Belt",4200,"SF@ARI 04:10PM ET",7.714,"SF","ARI",NA,9,NA,NA,"2","2",4
"OF","Dexter Fowler",4100,"CHC@STL 08:35PM ET",8.401,"STL","CHC",NA,7.3,NA,NA,"1","1",7
"3B/SS","Eduardo Nunez",4100,"SF@ARI 04:10PM ET",8.368,"SF","ARI",NA,8,NA,NA,"6","6",25
"1B/3B","Matt Carpenter",4000,"CHC@STL 08:35PM ET",8.55,"STL","CHC",NA,6.3,NA,NA,"3","3",5
"2B/OF","Ben Zobrist",4000,"CHC@STL 08:35PM ET",7.951,"CHC","STL",NA,7.3,NA,NA,"4","4",4
"3B","Evan Longoria",4000,"NYY@TB 01:10PM ET",8.256,"TB","NYY",NA,6.6,NA,NA,"3","3",21
"OF","Denard Span",4000,"SF@ARI 04:10PM ET",7.134,"SF","ARI",NA,8.8,NA,NA,"1","1",6
"1B","Chris Carter",3900,"NYY@TB 01:10PM ET",7.831,"NYY","TB",NA,0,NA,NA,"x","x",NA
"2B","Joe Panik",3900,"SF@ARI 04:10PM ET",6.886,"SF","ARI",NA,6.8,NA,NA,"7","8",12
"SS","Aledmys Diaz",3800,"CHC@STL 08:35PM ET",8.477,"STL","CHC",NA,6.7,NA,NA,"2","2",18
"OF","Stephen Piscotty",3800,"CHC@STL 08:35PM ET",7.916,"STL","CHC",NA,6.5,NA,NA,"4","6",9
"1B/OF","Matt Holliday",3800,"NYY@TB 01:10PM ET",6.964,"NYY","TB",NA,7,NA,NA,"4","4",0
"OF","AJ Pollock",3800,"SF@ARI 04:10PM ET",8.333,"ARI","SF",NA,8.4,NA,NA,"1","1",24
"2B/3B","Javier Baez",3700,"CHC@STL 08:35PM ET",5.899,"CHC","STL",NA,5.4,NA,NA,"x","9",3
"OF","Brett Gardner",3700,"NYY@TB 01:10PM ET",6.913,"NYY","TB",NA,7.6,NA,NA,"1","1",3
"OF","Mallex Smith",3700,"NYY@TB 01:10PM ET",5.75,"TB","NYY",NA,6.6,NA,NA,"8","8",3
"3B","Jake Lamb",3700,"SF@ARI 04:10PM ET",8,"ARI","SF",NA,5.6,NA,NA,"4","4",0
"SS","Brandon Crawford",3700,"SF@ARI 04:10PM ET",7.163,"SF","ARI",NA,7.6,NA,NA,"5","5",10
"OF","Randal Grichuk",3600,"CHC@STL 08:35PM ET",6.947,"STL","CHC",NA,5.8,NA,NA,"7","8",23
"SS","Brad Miller",3600,"NYY@TB 01:10PM ET",7.467,"TB","NYY",NA,7.3,NA,NA,"4","4",8
"OF","Jacoby Ellsbury",3600,"NYY@TB 01:10PM ET",7.007,"NYY","TB",NA,6.9,NA,NA,"5","5",2
"2B/SS","Addison Russell",3500,"CHC@STL 08:35PM ET",7.024,"CHC","STL",NA,6.1,NA,NA,"5","5",3
"OF","Steven Souza",3500,"NYY@TB 01:10PM ET",6.642,"TB","NYY",NA,6.1,NA,NA,"5","5",2
"OF","Aaron Judge",3500,"NYY@TB 01:10PM ET",5.074,"NYY","TB",NA,6.2,NA,NA,"8","8",7
"OF","David Peralta",3500,"SF@ARI 04:10PM ET",6.286,"ARI","SF",NA,5.1,NA,NA,"7","7",0
"OF","Yasmany Tomas",3500,"SF@ARI 04:10PM ET",7.678,"ARI","SF",NA,8,NA,NA,"5","5",0
"C/OF","Willson Contreras",3400,"CHC@STL 08:35PM ET",6.484,"CHC","STL",NA,6,NA,NA,"7","7",21
"2B/3B","Jedd Gyorko",3400,"CHC@STL 08:35PM ET",6.5,"STL","CHC",NA,6,NA,NA,"x","7",0
"C","Wilson Ramos",3400,"NYY@TB 01:10PM ET",7.618,"TB","NYY",NA,0,NA,NA,"x","x",NA
"SS","Didi Gregorius",3400,"NYY@TB 01:10PM ET",6.797,"NYY","TB",NA,0,NA,NA,"x","x",NA
"OF","Kevin Kiermaier",3400,"NYY@TB 01:10PM ET",7.495,"TB","NYY",NA,7.5,NA,NA,"2","2",21
"OF","Jarrett Parker",3400,"SF@ARI 04:10PM ET",4,"SF","ARI",NA,7.7,NA,NA,"8","7",0
"C","Yadier Molina",3300,"CHC@STL 08:35PM ET",6.544,"STL","CHC",NA,5.8,NA,NA,"5","5",10
"2B/SS","Starlin Castro",3300,"NYY@TB 01:10PM ET",6.742,"NYY","TB",NA,6.2,NA,NA,"6","6",11
"OF","Colby Rasmus",3300,"NYY@TB 01:10PM ET",6.009,"TB","NYY",NA,0,NA,NA,"x","x",NA
"OF","Corey Dickerson",3300,"NYY@TB 01:10PM ET",6.446,"TB","NYY",NA,7.6,NA,NA,"1","1",5
"C","Nick Hundley",3300,"SF@ARI 04:10PM ET",6.524,"SF","ARI",NA,0,NA,NA,"x","x",NA
"2B/OF","Brandon Drury",3300,"SF@ARI 04:10PM ET",6.463,"ARI","SF",NA,6.4,NA,NA,"6","6",3
"OF/SS","Chris Owings",3300,"SF@ARI 04:10PM ET",7.21,"ARI","SF",NA,7.2,NA,NA,"2","2",8
"OF","Jason Heyward",3200,"CHC@STL 08:35PM ET",5.842,"CHC","STL",NA,7.4,NA,NA,"6","6",5
"1B","Logan Morrison",3200,"NYY@TB 01:10PM ET",6.29,"TB","NYY",NA,6.6,NA,NA,"6","6",24
"1B","Greg Bird",3200,"NYY@TB 01:10PM ET",0,"NYY","TB",NA,8.2,NA,NA,"3","3",NA
"2B/3B","Matt Duffy",3200,"NYY@TB 01:10PM ET",6.12,"TB","NYY",NA,0,NA,NA,"x","x",NA
"1B","Christian Walker",3200,"SF@ARI 04:10PM ET",0,"ARI","SF",NA,0,NA,NA,"x","x",NA
"OF","Mac Williamson",3200,"SF@ARI 04:10PM ET",3.907,"SF","ARI",NA,0,NA,NA,"x","x",NA
"3B/SS","Jhonny Peralta",3100,"CHC@STL 08:35PM ET",6.024,"STL","CHC",NA,6,NA,NA,"6","4",3
"OF","Albert Almora",3100,"CHC@STL 08:35PM ET",3.661,"CHC","STL",NA,0,NA,NA,"x","x",NA
"2B/OF","Nick Franklin",3100,"NYY@TB 01:10PM ET",5.933,"TB","NYY",NA,0,NA,NA,"x","x",NA
"2B/SS","Kelby Tomlinson",3100,"SF@ARI 04:10PM ET",3.455,"SF","ARI",NA,0,NA,NA,"x","x",NA
"OF","Jeremy Hazelbaker",3100,"SF@ARI 04:10PM ET",3.868,"ARI","SF",NA,0,NA,NA,"x","x",NA
"1B","Matt Adams",3000,"CHC@STL 08:35PM ET",5.05,"STL","CHC",NA,0,NA,NA,"x","x",NA
"OF","Jon Jay",3000,"CHC@STL 08:35PM ET",6.489,"CHC","STL",NA,NA,NA,NA,"8","x",NA
"3B","Chase Headley",3000,"NYY@TB 01:10PM ET",6.092,"NYY","TB",NA,6,NA,NA,"7","7",13
"C/OF","Chris Herrmann",3000,"SF@ARI 04:10PM ET",6.214,"ARI","SF",NA,0,NA,NA,"x","x",NA
"C","Miguel Montero",2900,"CHC@STL 08:35PM ET",4.969,"CHC","STL",NA,0,NA,NA,"x","x",NA
"2B","Kolten Wong",2900,"CHC@STL 08:35PM ET",4.579,"STL","CHC",NA,NA,NA,NA,"8","x",NA
"3B","Jeimer Candelario",2900,"CHC@STL 08:35PM ET",1.8,"CHC","STL",NA,0,NA,NA,"x","x",NA
"OF","Mark Zagunis",2900,"CHC@STL 08:35PM ET",0,"CHC","STL",NA,NA,NA,NA,NA,NA,NA
"1B","Jake Bauers",2900,"NYY@TB 01:10PM ET",0,"TB","NYY",NA,NA,NA,NA,NA,NA,NA
"2B/SS","Tim Beckham",2900,"NYY@TB 01:10PM ET",5.516,"TB","NYY",NA,4.9,NA,NA,"7","7",7
"OF","Tyler Austin",2900,"NYY@TB 01:10PM ET",5.097,"NYY","TB",NA,0,NA,NA,"x","x",NA
"OF","Gorkys Hernandez",2900,"SF@ARI 04:10PM ET",3.345,"SF","ARI",NA,0,NA,NA,"x","x",NA
"OF","Socrates Brito",2900,"SF@ARI 04:10PM ET",3.7,"ARI","SF",NA,0,NA,NA,"x","x",NA
"2B","Ian Happ",2800,"CHC@STL 08:35PM ET",0,"CHC","STL",NA,0,NA,NA,"x","x",NA
"OF","Matt Szczur",2800,"CHC@STL 08:35PM ET",3.222,"CHC","STL",NA,0,NA,NA,"x","x",NA
"OF","Harrison Bader",2800,"CHC@STL 08:35PM ET",0,"STL","CHC",NA,0,NA,NA,"x","x",NA
"C","Derek Norris",2800,"NYY@TB 01:10PM ET",5.376,"TB","NYY",NA,4.7,NA,NA,"9","9",3
"OF","Aaron Hicks",2800,"NYY@TB 01:10PM ET",4.073,"NYY","TB",NA,0,NA,NA,"x","x",NA
"3B","Conor Gillaspie",2800,"SF@ARI 04:10PM ET",3.877,"SF","ARI",NA,0,NA,NA,"x","x",NA
"1B/OF","Jose Martinez",2700,"CHC@STL 08:35PM ET",3.083,"STL","CHC",NA,0,NA,NA,"x","x",NA
"2B/3B","Tommy La Stella",2700,"CHC@STL 08:35PM ET",3.453,"CHC","STL",NA,0,NA,NA,"x","x",NA
"3B/SS","Greg Garcia",2600,"CHC@STL 08:35PM ET",4.09,"STL","CHC",NA,0,NA,NA,"x","x",NA
"SS","Gleyber Torres",2600,"NYY@TB 01:10PM ET",0,"NYY","TB",NA,0,NA,NA,"x","x",NA
"C","Oscar Hernandez",2600,"SF@ARI 04:10PM ET",4.25,"ARI","SF",NA,0,NA,NA,"x","x",NA
"C","Austin Romine",2500,"NYY@TB 01:10PM ET",4.435,"NYY","TB",NA,0,NA,NA,"x","x",NA
"C","Curt Casali",2500,"NYY@TB 01:10PM ET",4.19,"TB","NYY",NA,0,NA,NA,"x","x",NA
"C","Chris Iannetta",2500,"SF@ARI 04:10PM ET",4.649,"ARI","SF",NA,0,NA,NA,"x","x",NA
"C","Trevor Brown",2500,"SF@ARI 04:10PM ET",3.5,"SF","ARI",NA,0,NA,NA,"x","x",NA
"C","Carson Kelly",2400,"CHC@STL 08:35PM ET",1.4,"STL","CHC",NA,0,NA,NA,"x","x",NA
"3B/SS","Ronald Torreyes",2400,"NYY@TB 01:10PM ET",3.569,"NYY","TB",NA,5.5,NA,NA,"9","9",2
