"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Clayton Kershaw",12800,"SD@LAD 04:10PM ET",25.007,"LAD"
"SP","Max Scherzer",12100,"Mia@Was 01:05PM ET",25.313,"Was"
"SP","Noah Syndergaard",11600,"Atl@NYM 01:10PM ET",22.006,"NYM"
"SP","Rich Hill",10400,"SD@LAD 04:10PM ET",20.926,"LAD"
"SP","Justin Verlander",10200,"Det@CWS 04:10PM ET",22.676,"Det"
"SP","Chris Sale",10200,"Pit@Bos 02:05PM ET",22.494,"Bos"
"SP","Jacob deGrom",9900,"Atl@NYM 01:10PM ET",16.422,"NYM"
"SP","Stephen Strasburg",9900,"Mia@Was 01:05PM ET",21.650,"Was"
"SP","Kenta Maeda",9400,"SD@LAD 04:10PM ET",15.154,"LAD"
"SP","Steven Matz",9200,"Atl@NYM 01:10PM ET",16.365,"NYM"
"SP","Rick Porcello",8800,"Pit@Bos 02:05PM ET",20.118,"Bos"
"SP","David Price",8700,"Pit@Bos 02:05PM ET",18.633,"Bos"
"SP","Danny Duffy",8600,"KC@Min 04:10PM ET",13.418,"KC"
"SP","Carlos Rodon",8600,"Det@CWS 04:10PM ET",16.202,"CWS"
"SP","Jose Quintana",8500,"Det@CWS 04:10PM ET",18.325,"CWS"
"SP","Hyun-Jin Ryu",8400,"SD@LAD 04:10PM ET",0.500,"LAD"
"SP","Julio Teheran",8300,"Atl@NYM 01:10PM ET",17.155,"Atl"
"SP","Julio Urias",8300,"SD@LAD 04:10PM ET",12.350,"LAD"
"SP","Vince Velasquez",8200,"Phi@Cin 04:10PM ET",17.115,"Phi"
"SP","Michael Fulmer",8100,"Det@CWS 04:10PM ET",17.329,"Det"
"SP","Matt Harvey",7900,"Atl@NYM 01:10PM ET",11.429,"NYM"
"SP","Tanner Roark",7900,"Mia@Was 01:05PM ET",16.979,"Was"
"SP","Aaron Sanchez",7800,"Tor@Bal 03:05PM ET",18.070,"Tor"
"SP","Jon Gray",7800,"Col@Mil 02:10PM ET",16.779,"Col"
"SP","Ian Kennedy",7600,"KC@Min 04:10PM ET",16.395,"KC"
"SP","Marcus Stroman",7600,"Tor@Bal 03:05PM ET",14.656,"Tor"
"SP","Zack Wheeler",7600,"Atl@NYM 01:10PM ET",0,"NYM"
"SP","Gerrit Cole",7400,"Pit@Bos 02:05PM ET",13.510,"Pit"
