"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Chris Sale",11200,"PIT@BOS 07:10PM ET",22.494,"BOS","PIT",24.55,19.4,22.8665,NA,27.35
"SP","Rich Hill",10800,"SD@LAD 10:10PM ET",20.926,"LAD","SD",22.27,24.3,19.71,NA,20.25
"SP","Jacob deGrom",10600,"ATL@NYM 07:10PM ET",16.422,"NYM","ATL",23.32,18.5,21.7155,NA,23.7
"SP","Cole Hamels",8700,"CLE@TEX 08:05PM ET",17.988,"TEX","CLE",18.78,14.8,15.9375,NA,11.3
"SP","Michael Pineda",8400,"NYY@TB 07:10PM ET",15.608,"NYY","TB",17.77,20.4,19.82,NA,7.45
"SP","Tanner Roark",8200,"MIA@WAS 07:05PM ET",16.979,"WAS","MIA",20.09,16,14.637,NA,21.3
"SP","Danny Salazar",8100,"CLE@TEX 08:05PM ET",16.976,"CLE","TEX",17.92,18.6,0.18,NA,17.35
"SP","Jharel Cotton",7800,"LAA@OAK 10:05PM ET",18.32,"OAK","LAA",16.28,14.8,15.487,NA,1.75
"SP","Alex Cobb",7600,"NYY@TB 07:10PM ET",4.02,"TB","NYY",17.12,13.9,17.31,NA,19.75
"SP","Taijuan Walker",7500,"SF@ARI 09:40PM ET",13.874,"ARI","SF",14.2,13.7,13.316,NA,18.7
"SP","Jerad Eickhoff",7400,"PHI@CIN 07:10PM ET",15.752,"PHI","CIN",16.18,16.4,15.374,NA,19.4
"SP","Matt Moore",7200,"SF@ARI 09:40PM ET",16.196,"SF","ARI",15.22,16.5,14.721,NA,6
"SP","Garrett Richards",7100,"LAA@OAK 10:05PM ET",17.3,"LAA","OAK",19.07,17.2,16.907,NA,16.1
"SP","JA Happ",7000,"TOR@BAL 07:05PM ET",17.525,"TOR","BAL",18.36,15.7,15.98,NA,24.75
"SP","James Paxton",6900,"SEA@HOU 08:10PM ET",16.643,"SEA","HOU",16.2,15.5,14.713,NA,21.7
"SP","Dylan Bundy",6800,"TOR@BAL 07:05PM ET",8.404,"BAL","TOR",14,13.5,14.105,NA,31.35
"SP","Bartolo Colon",6700,"ATL@NYM 07:10PM ET",13.537,"ATL","NYM",11.71,13.8,12.781,NA,21.7
"SP","Dan Straily",6600,"MIA@WAS 07:05PM ET",14.932,"MIA","WAS",13.7,13.2,11.506,NA,-7.3
"SP","Brandon Finnegan",6500,"PHI@CIN 07:10PM ET",12.87,"CIN","PHI",15.56,16.7,15.599,NA,36.55
"SP","Jameson Taillon",6400,"PIT@BOS 07:10PM ET",15.256,"PIT","BOS",13.42,14.8,12.515,NA,22.95
"SP","Charlie Morton",6100,"SEA@HOU 08:10PM ET",12.8,"HOU","SEA",13.84,13.8,15.658,NA,13.3
"SP","Tyler Chatwood",5900,"COL@MIL 08:10PM ET",13.641,"COL","MIL",16.45,17.8,14.684,NA,10.7
"SP","Wily Peralta",5100,"COL@MIL 08:10PM ET",10.628,"MIL","COL",12.27,12.4,12.254,NA,22.85
"RP","Trevor Cahill",4400,"SD@LAD 10:10PM ET",3.968,"SD","LAD",8.41,14.3,12.537,NA,17.35
