"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,720090960,"benjilyons",0,167.6,"P Marcus Stroman P Robbie Ray C Chris Herrmann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF Matt Kemp OF David Peralta OF A.J. Pollock",NA,"Marcus Stroman","63.55%",21.45
2,719944994,"plord64 (8/40)",0,166.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS José Reyes OF George Springer OF David Peralta OF A.J. Pollock",NA,"George Springer","54.22%",16
3,719805532,"shawnzhan (53/150)",0,164.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS Jean Segura OF Mitch Haniger OF David Peralta OF A.J. Pollock",NA,"Matt Harvey","52.76%",21.2
3,719879184,"scout326 (132/150)",0,164.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS Jean Segura OF Mitch Haniger OF David Peralta OF A.J. Pollock",NA,"José Altuve","48.47%",3
3,719887745,"SaahilSud (125/150)",0,164.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS José Reyes OF George Springer OF David Peralta OF A.J. Pollock",NA,"Buster Posey","48.00%",12
3,720011671,"nawmsayin (5/21)",0,164.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS Jean Segura OF Mitch Haniger OF David Peralta OF A.J. Pollock",NA,"Carlos Correa","46.89%",2
3,720116343,"perspective (4/10)",0,164.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS Jean Segura OF Mitch Haniger OF David Peralta OF A.J. Pollock",NA,"A.J. Pollock","40.74%",11
8,719887691,"SaahilSud (71/150)",0,163.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS Jean Segura OF Corey Dickerson OF Mitch Haniger OF David Peralta",NA,"Paul Goldschmidt","34.65%",19
8,720027058,"petteytheft89 (14/50)",0,163.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Jean Segura 3B Jake Lamb SS Chris Owings OF Mitch Haniger OF David Peralta OF A.J. Pollock",NA,"Josh Donaldson","32.98%",4
8,720035691,"DarkHorseMoney",0,163.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Jean Segura 3B Jake Lamb SS Chris Owings OF Mitch Haniger OF David Peralta OF A.J. Pollock",NA,"José Bautista","26.91%",6
11,719438265,"youdacao (82/150)",0,161.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Chris Owings OF George Springer OF David Peralta OF A.J. Pollock",NA,"Steve Pearce","25.82%",0
11,719438273,"youdacao (90/150)",0,161.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Jean Segura 3B Jake Lamb SS Daniel Descalso OF George Springer OF David Peralta OF A.J. Pollock",NA,"David Peralta","25.58%",25
11,720057157,"jressle (2/2)",0,161.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Hunter Pence","25.57%",4
14,719744923,"Awesemo (18/150)",0,160.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Brad Miller OF Yoenis Céspedes OF David Peralta OF Chris Herrmann",NA,"Jake Lamb","25.13%",20
15,719805904,"mlamarca",0,159.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS José Reyes OF Yoenis Céspedes OF David Peralta OF A.J. Pollock",NA,"Yoenis Céspedes","23.37%",9
15,719887652,"SaahilSud (32/150)",0,159.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS José Reyes OF Yoenis Céspedes OF David Peralta OF A.J. Pollock",NA,"Joe Musgrove","23.10%",6.45
15,719887712,"SaahilSud (92/150)",0,159.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Asdrúbal Cabrera OF Yoenis Céspedes OF David Peralta OF A.J. Pollock",NA,"Nelson Cruz","21.29%",2
18,719805544,"shawnzhan (65/150)",0,157.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Asdrúbal Cabrera OF Yoenis Céspedes OF David Peralta OF A.J. Pollock",NA,"Robbie Ray","20.02%",15.15
18,719805574,"shawnzhan (95/150)",0,157.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS José Reyes OF Yoenis Céspedes OF David Peralta OF A.J. Pollock",NA,"Robinson Canó","18.29%",3
