Name_Team,2017-04-02,2017-04-03,2017-04-04,2017-04-05
Madison Bumgarner_SF,28.15,NA,NA,NA
Jon Lester_CHC,17.85,NA,NA,NA
Chris Archer_TB,20.95,NA,NA,NA
Masahiro Tanaka_NYY,-8.0,NA,NA,NA
Carlos Martinez_STL,32.9,NA,NA,NA
Zack Greinke_ARI,11.65,NA,NA,NA
Kris Bryant_CHC,0.0,NA,0.0,NA
Anthony Rizzo_CHC,3.0,NA,2.0,NA
Paul Goldschmidt_ARI,8.0,NA,18.0,11.0
Gary Sanchez_NYY,0.0,NA,0.0,3.0
Buster Posey_SF,2.0,NA,4.0,10.0
Kyle Schwarber_CHC,10.0,NA,4.0,NA
Hunter Pence_SF,5.0,NA,11.0,15.0
Brandon Belt_SF,4.0,NA,10.0,24.0
Dexter Fowler_STL,7.0,NA,3.0,NA
Eduardo Nunez_SF,25.0,NA,10.0,13.0
Matt Carpenter_STL,5.0,NA,0.0,NA
Ben Zobrist_CHC,4.0,NA,NA,NA
Evan Longoria_TB,21.0,NA,7.0,2.0
Denard Span_SF,6.0,NA,NA,NA
Joe Panik_SF,12.0,NA,17.0,5.0
Aledmys Diaz_STL,18.0,NA,0.0,NA
Stephen Piscotty_STL,9.0,NA,4.0,NA
A.J. Pollock_ARI,24.0,NA,10.0,17.0
Matt Holliday_NYY,0.0,NA,9.0,3.0
Javier Baez_CHC,3.0,NA,2.0,NA
Brett Gardner_NYY,3.0,NA,9.0,5.0
Mallex Smith_TB,3.0,NA,NA,10.0
Jake Lamb_ARI,0.0,NA,20.0,7.0
Brandon Crawford_SF,10.0,NA,21.0,7.0
Randal Grichuk_STL,23.0,NA,0.0,NA
Brad Miller_TB,8.0,NA,0.0,0.0
Jacoby Ellsbury_NYY,2.0,NA,10.0,20.0
Addison Russell_CHC,3.0,NA,7.0,NA
Steven Souza Jr._TB,2.0,NA,6.0,5.0
Aaron Judge_NYY,7.0,NA,5.0,0.0
David Peralta_ARI,0.0,NA,0.0,NA
Yasmany Tomas_ARI,0.0,NA,0.0,10.0
Jedd Gyorko_STL,0.0,NA,NA,NA
Willson Contreras_CHC,21.0,NA,7.0,NA
Kevin Kiermaier_TB,21.0,NA,3.0,3.0
Jarrett Parker_SF,0.0,NA,NA,0.0
Yadier Molina_STL,10.0,NA,3.0,NA
Starlin Castro_NYY,11.0,NA,0.0,0.0
Corey Dickerson_TB,5.0,NA,NA,19.0
