"id","last_name","first_name","team","position","opponent","games","pa","ab","singles","doubles","triples","home_runs","walks","strikeouts","sb","cs","runs","rbi","hbp","sac_flies","gidp","errors","outs","matchup","odds","weather","injury","bvp","price_fanduel","price_yahoo","price_draftkings","price_draftday","price_starstreet","price_fantasyfeud","price_fanthrowdown","price_starfantasyleagues","price_fantasyaces","positions_fanduel","positions_yahoo","positions_draftkings","positions_draftday","positions_starstreet","positions_fantasyfeud","positions_fanthrowdown","positions_starfantasyleagues","positions_fantasyaces","price_victiv","positions_victiv"
6195,"Trout","Mike","LAA","OF","CHW",1,4.63,3.8,0.73,0.26,0.04,0.25,0.79,0.87,0.19,0.04,0.68,0.84,0,0.03,0,0.02,2.52,"CHW (Pelfrey R) R Ord 3","-1.5 (+121) (o/u 8.5) (-170)","60 O CF 2-8 6% H68%outdoor","","10ab .100/.182/.100 0sb 0hr",5400,28,5400,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
6158,"Freeman","Freddie","ATL","1B","@ TOR",1,4.55,3.89,0.64,0.32,0.03,0.25,0.64,1.09,0.09,0.03,0.75,0.79,0,0.02,0,0.05,2.67,"@TOR (Bolsinger R) L Ord 3","+1.5 (-175) (o/u 9.0) (+122)","49 O RF 4-11 9% H78% retractable","","3ab .667/.667/1.667 0sb 0hr",4900,27,4900,0,0,0,0,0,0,"1B","1B","1B","1B;DH",NA,NA,NA,NA,NA,0,NA
6234,"Goldschmidt","Paul","ARI","1B","NYM",1,4.44,3.58,0.67,0.23,0.02,0.17,0.82,0.93,0.23,0.04,0.71,0.71,0,0.04,0,0.03,2.5,"NYM (Wheeler R) R Ord 3","-1.5 (+182) (o/u 9.5) (-111)","71 N LR 7-14 0% H25% retractable","","",4400,25,5200,0,0,0,0,0,0,"1B","1B","1B","1B;DH",NA,NA,NA,NA,NA,0,NA
6235,"Pollock","AJ","ARI","OF","NYM",1,4.66,4.25,0.82,0.29,0.07,0.11,0.38,0.69,0.3,0.06,0.73,0.46,0,0.03,0,0.01,2.96,"NYM (Wheeler R) R Ord 1","-1.5 (+182) (o/u 9.5) (-111)","71 N LR 7-14 0% H25% retractable","","",3700,19,4700,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
7531,"Altuve","Jose","HOU","2B","@ MIA",1,4.66,4.25,0.92,0.28,0.03,0.11,0.36,0.54,0.24,0.09,0.59,0.7,0,0.04,0,0.05,2.91,"@MIA (Straily R) R Ord 3","-1.5 (+146) (o/u 9.0) (-117)","79 I RF 5-9 39% H80% retractable","","9ab .222/.222/.222 0sb 0hr",3900,21,5000,0,0,0,0,0,0,"2B","2B","2B","2B;DH",NA,NA,NA,NA,NA,0,NA
6717,"Villar","Jonathan","MIL","2B","@ SD",1,4.65,4.19,0.81,0.24,0.03,0.11,0.44,1.25,0.35,0.11,0.69,0.4,0,0.02,0,0.2,3.01,"@SD (Perdomo R) S Ord 1","+1.5 (-199) (o/u 7.5) (+106)","60 N LR 6-11 43% H67%outdoor","","5ab 1.000/1.000/1.000 1sb 0hr",3500,13,4500,0,0,0,0,0,0,"2B","2B","2B","2B;SS;DH",NA,NA,NA,NA,NA,0,NA
6320,"Thames","Eric","MIL","1B","@ SD",1,4.54,4.15,0.61,0.26,0.04,0.26,0.36,1.17,0.06,0.03,0.71,0.54,0,0.03,0,0.03,2.99,"@SD (Perdomo R) L Ord 2","+1.5 (-199) (o/u 7.5) (+106)","60 N LR 6-11 43% H67%outdoor","","",4200,26,4800,0,0,0,0,0,0,"1B","1B","1B","1B;DH",NA,NA,NA,NA,NA,0,NA
5840,"Brantley","Michael","CLE","OF","TB",1,4.6,4.1,0.83,0.29,0.01,0.12,0.46,0.51,0.13,0.02,0.62,0.71,0,0.04,0,0.01,2.86,"TB (Archer R) L Ord 3","-1.5 (+141) (o/u 7.5) (-153)","55 O LF 2-6 4% H56%outdoor","","7ab .143/.250/.143 0sb 0hr",3400,15,4500,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
9969,"Conforto","Michael","NYM","OF","@ ARI",1,4.7,4.19,0.62,0.28,0.02,0.23,0.46,1.07,0.03,0.02,0.8,0.49,0,0.05,0,0.02,3.05,"@ARI (Godley R) L Ord 1","+1.5 (-199) (o/u 9.5) (+103)","71 N LR 7-14 0% H25% retractable","","",4200,18,4600,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
2560,"Kemp","Matt","ATL","OF","@ TOR",1,4.44,4.14,0.65,0.3,0.01,0.23,0.24,1.17,0.02,0,0.65,0.77,0,0.06,0,0.04,2.95,"@TOR (Bolsinger R) R Ord 4","+1.5 (-175) (o/u 9.0) (+122)","49 O RF 4-11 9% H78% retractable","","9ab .222/.300/.556 0sb 1hr",3900,19,3900,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
