id,last_name,first_name,team,position,opponent,games,innings,singles,doubles,triples,home_runs,walks,strikeouts,runs,earned_runs,opp_ba,cg,qs,wins,losses,saves,blown_saves,holds,hbp,outs,odds,weather,injury, price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces, positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces,price_victiv,positions_victiv
5944,Jansen,Kenley,LAD,RP,WAS,1.00,0.35,0.11,0.09,0.01,0.04,0.07,0.59,0.08,0.07,0.20,0.000,0.000,0.01,0.01,0.16,0.02,0.00,0.000,1.06,-1.5 (+155) (o/u 8.5) (-135),63 O CF 1-2 6% H84%outdoor,,5500,25,4100,0,0,0,0,0,0,P,P,RP,,,,,,,0,
5729,Uehara,Koji,CHC,RP,MIA,1.00,0.36,0.11,0.07,0.01,0.04,0.06,0.49,0.11,0.10,0.18,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,1.07,-1.5 (+170) (o/u 8.0) (-125),57 I CF 6-13 6% H66%outdoor,,5500,25,4300,0,0,0,0,0,0,P,P,RP,,,,,,,0,
5550,Davis,Wade,CHC,RP,MIA,1.00,0.36,0.16,0.07,0.01,0.02,0.10,0.47,0.09,0.09,0.21,0.000,0.000,0.01,0.01,0.12,0.01,0.00,0.000,1.07,-1.5 (+170) (o/u 8.0) (-125),57 I CF 6-13 6% H66%outdoor,,5500,25,4300,0,0,0,0,0,0,P,P,RP,,,,,,,0,
10357,Barraclough,Kyle,MIA,RP,@ CHC,1.00,0.36,0.11,0.07,0.01,0.02,0.26,0.49,0.13,0.12,0.17,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,1.07,+1.5 (-190) (o/u 8.0) (+115),57 I CF 6-13 6% H66%outdoor,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
9311,Giles,Ken,HOU,RP,@ KC,1.00,0.35,0.18,0.08,0.01,0.02,0.11,0.44,0.11,0.10,0.22,0.000,0.000,0.02,0.01,0.19,0.02,0.00,0.000,1.06,-1.5 (+120) (o/u 10.0) (-134),71 I CF 5-7 5% H61%outdoor,,5500,25,4000,0,0,0,0,0,0,P,P,RP,,,,,,,0,
1900,Grilli,Jason,TOR,RP,@ OAK,1.00,0.36,0.14,0.09,0.01,0.05,0.12,0.45,0.15,0.14,0.21,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,1.07,-1.5 (+155) (o/u 8.0) (+100),56 N RL 8-11 8% H83%outdoor,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
6270,Vizcaino,Arodys,ATL,RP,PHI,1.00,0.36,0.23,0.09,0.02,0.04,0.15,0.47,0.15,0.14,0.29,0.000,0.000,0.02,0.01,0.00,0.00,0.00,0.000,1.07,-1.5 (+160) (o/u 9.5) (-131),70 O RF 3-4 40% H94%outdoor,,5500,25,4500,0,0,0,0,0,0,P,P,RP,,,,,,,0,
10025,Osuna,Roberto,TOR,RP,@ OAK,1.00,0.36,0.10,0.09,0.01,0.04,0.05,0.39,0.13,0.12,0.18,0.000,0.000,0.01,0.01,0.15,0.02,0.00,0.000,1.07,-1.5 (+155) (o/u 8.0) (+100),56 N RL 8-11 8% H83%outdoor,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
10780,Oh,Seung Hwan,STL,RP,@ CIN,1.00,0.35,0.18,0.08,0.01,0.04,0.08,0.41,0.13,0.12,0.26,0.000,0.000,0.02,0.01,0.22,0.02,0.00,0.000,1.06,-1.5 (+100) (o/u 9.5) (-155),65 N RL 2-7 15% H85%outdoor,,5500,25,4100,0,0,0,0,0,0,P,P,RP,,,,,,,0,
7719,Rosenthal,Trevor,STL,RP,@ CIN,1.00,0.35,0.21,0.08,0.01,0.03,0.16,0.44,0.14,0.13,0.27,0.000,0.000,0.02,0.01,0.00,0.00,0.00,0.000,1.06,-1.5 (+100) (o/u 9.5) (-155),65 N RL 2-7 15% H85%outdoor,,5500,25,4100,0,0,0,0,0,0,P,P,RP,,,,,,,0,
9247,Edwards,C.J.,CHC,RP,MIA,1.00,0.30,0.09,0.06,0.01,0.03,0.12,0.43,0.10,0.09,0.17,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.91,-1.5 (+170) (o/u 8.0) (-125),57 I CF 6-13 6% H66%outdoor,,5500,25,4300,0,0,0,0,0,0,P,P,RP,,,,,,,0,
6334,Baez,Pedro,LAD,RP,WAS,1.00,0.35,0.15,0.09,0.01,0.05,0.10,0.43,0.15,0.14,0.24,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,1.06,-1.5 (+155) (o/u 8.5) (-135),63 O CF 1-2 6% H84%outdoor,,5500,25,4100,0,0,0,0,0,0,P,P,RP,,,,,,,0,
8094,Neris,Hector,PHI,RP,@ ATL,1.00,0.36,0.20,0.09,0.01,0.03,0.10,0.42,0.14,0.13,0.27,0.000,0.000,0.01,0.01,0.05,0.01,0.00,0.000,1.07,+1.5 (-180) (o/u 9.5) (+121),70 O RF 3-4 40% H94%outdoor,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
7715,Ramos,AJ,MIA,RP,@ CHC,1.00,0.36,0.13,0.07,0.01,0.02,0.24,0.40,0.15,0.14,0.19,0.000,0.000,0.01,0.01,0.16,0.02,0.00,0.000,1.07,+1.5 (-190) (o/u 8.0) (+115),57 I CF 6-13 6% H66%outdoor,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
5838,Strop,Pedro,CHC,RP,MIA,1.00,0.30,0.12,0.06,0.01,0.02,0.11,0.38,0.10,0.09,0.20,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.91,-1.5 (+170) (o/u 8.0) (-125),57 I CF 6-13 6% H66%outdoor,,5500,25,4300,0,0,0,0,0,0,P,P,RP,,,,,,,0,
