Player Name,Likes,Inj,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Mike Trout,16,,OF,4800,LAA,@OAK,3.87,Manaea,0.322,1%,L,R,0.416,1%,0.240,-8,3,3,0,-2%,-2%,0%,21.0,21.0,21.0,21.0,21.0,10.3,2.1,10.0,2.1
Nolan Arenado,11,,3B,4800,COL,@MIL,4.00,Davies,0.303,-4%,R,R,0.379,2%,0.274,6,4,3,0,-13%,-10%,0%,12.0,12.0,12.0,12.0,12.0,7.1,1.5,11.0,2.3
Kris Bryant,4,,3B/OF,4700,CHC,@STL,3.78,Wainwright,0.275,-10%,R,R,0.380,-1%,0.227,-5,2,2,0,-3%,-7%,-1%,0.0,0.0,0.0,0.0,0.0,7.7,1.6,0.0,0.0
Ryan Braun,14,,OF,4700,MIL,COL,4.00,Anderson,0.333,3%,L,R,0.401,10%,0.245,15,3,3,0,0%,-9%,0%,2.0,2.0,2.0,2.0,2.0,8.9,1.9,19.0,4.0
Charlie Blackmon,15,,OF,4600,COL,@MIL,4.00,Davies,0.312,-2%,R,L,0.369,3%,0.201,12,1,1,0,3%,-9%,0%,7.0,7.0,7.0,7.0,7.0,8.9,1.9,10.0,2.2
Paul Goldschmidt,5,,1B,4600,ARI,SF,4.16,Cueto,0.281,-9%,R,R,0.385,-4%,0.224,-3,3,3,0,3%,-2%,0%,8.0,8.0,8.0,8.0,8.0,8.2,1.8,18.0,3.9
Carlos Gonzalez,14,,OF,4600,COL,@MIL,4.00,Davies,0.312,-2%,R,L,0.384,8%,0.257,12,3,4,0,8%,-11%,0%,0.0,0.0,0.0,0.0,0.0,9.4,2.0,7.0,1.5
Anthony Rizzo,12,,1B,4500,CHC,@STL,3.78,Wainwright,0.303,-4%,R,L,0.393,3%,0.260,12,3,3,0,-1%,-7%,-2%,3.0,3.0,3.0,3.0,3.0,8.5,1.9,2.0,0.4
Michael Brantley,0,,OF,4500,CLE,@TEX,5.04,Perez,0.282,-7%,L,L,0.335,-8%,0.122,-22,3,2,0,-2%,-2%,0%,5.0,5.0,5.0,5.0,5.0,7.1,1.6,8.0,1.8
Carlos Correa,11,,SS,4400,HOU,SEA,4.73,Iwakuma,0.294,-6%,R,R,0.359,1%,0.195,-2,4,4,0,0%,1%,3%,16.0,16.0,16.0,16.0,16.0,8.5,1.9,2.0,0.5
Edwin Encarnacion,14,,1B,4400,CLE,@TEX,5.04,Perez,0.339,4%,L,R,0.374,-2%,0.237,-12,4,4,0,2%,-3%,0%,19.0,19.0,19.0,19.0,19.0,8.9,2.0,2.0,0.5
Jose Altuve,15,,2B,4400,HOU,SEA,4.73,Iwakuma,0.294,-6%,R,R,0.352,-3%,0.143,-3,3,3,0,0%,1%,3%,3.0,3.0,3.0,3.0,3.0,8.7,2.0,3.0,0.7
Ian Desmond,,,OF,4400,COL,@MIL,4.00,Davies,0.303,-4%,R,R,0.312,-3%,0.160,-2,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Lindor,17,,SS,4300,CLE,@TEX,5.04,Perez,0.339,4%,L,S,0.344,0%,0.155,6,2,3,0,4%,-2%,0%,4.0,4.0,4.0,4.0,4.0,9.1,2.1,2.0,0.5
David Dahl,,,OF,4300,COL,@MIL,4.00,Davies,0.312,-2%,R,L,0.380,5%,0.218,15,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Santana,10,,1B,4300,CLE,@TEX,5.04,Perez,0.339,4%,L,S,0.354,0%,0.154,-23,1,5,0,2%,-2%,0%,16.0,16.0,16.0,16.0,16.0,9.5,2.2,21.0,4.9
Jason Kipnis,,,2B,4300,CLE,@TEX,5.04,Perez,0.282,-7%,L,L,0.312,-7%,0.133,-11,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Seager,5,,SS,4200,LAD,SD,4.48,Richard,0.275,-7%,L,L,0.327,-11%,0.165,-21,2,2,0,-3%,-4%,0%,21.0,21.0,21.0,21.0,21.0,6.5,1.5,0.0,0.0
DJ LeMahieu,2,,2B/3B,4200,COL,@MIL,4.00,Davies,0.303,-4%,R,R,0.336,0%,0.107,5,2,2,0,-15%,-7%,0%,0.0,0.0,0.0,0.0,0.0,6.3,1.5,5.0,1.2
Nelson Cruz,3,,OF,4100,SEA,@HOU,3.77,McCullers,0.320,-1%,R,R,0.364,-5%,0.243,-6,4,4,0,6%,1%,4%,2.0,2.0,2.0,2.0,2.0,9.1,2.2,0.0,0.0
Robinson Cano,11,,2B,4100,SEA,@HOU,3.77,McCullers,0.287,-6%,R,L,0.376,6%,0.204,16,3,3,0,4%,1%,4%,3.0,3.0,3.0,3.0,3.0,9.1,2.2,7.0,1.7
