Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Johnny Cueto,1,SP,12600,SF,CIN,59%,3.16,6,,,5.21,21.4%,3.73,3.62,R,0.271,0.284,1%,2%,0%,15.2,16.1,16.1,5.3,27.0,17.1,1.4,0.0,0.0
Clayton Kershaw,6,SP,11300,LAD,@COL,63%,4.26,8,,,4.74,32.4%,2.36,2.24,L,0.214,0.232,-12%,1%,-2%,27.4,26.1,26.1,16.7,35.4,23.1,2.0,0.0,0.0
Rick Porcello,6,SP,9700,BOS,TB,60%,3.76,6,,,4.47,21.1%,3.74,3.81,R,0.318,0.307,-3%,4%,1%,17.8,17.6,17.6,8.3,26.9,17.0,1.8,0.0,0.0
Lance McCullers Jr.,3,SP,9500,HOU,@NYY,52%,3.91,6.5,,,5.81,27.3%,3.48,3.21,R,0.292,0.314,-2%,3%,0%,17.8,20.1,20.1,9.9,30.2,17.9,1.9,0.0,0.0
Tanner Roark,1,SP,8800,WAS,PHI,62%,3.68,4.5,,,4.75,18.5%,4.25,4.15,R,0.308,0.276,0%,5%,0%,15.9,16.0,16.0,12.1,19.8,15.1,1.7,0.0,0.0
Danny Duffy,,SP,8600,KC,BAL,49%,4.04,4,,,4.52,21.3%,4.09,4.22,L,0.225,0.323,-2%,2%,0%,10.9,13.4,13.4,0.9,25.9,15.7,1.8,0.0,0.0
Ervin Santana,,SP,8200,MIN,@CLE,44%,4.54,4.5,,,4.33,19.4%,4.34,4.30,R,0.308,0.290,-5%,4%,1%,23.9,23.4,23.4,11.4,35.5,15.5,1.9,0.0,0.0
Patrick Corbin,,SP,8100,ARI,PIT,56%,4.62,,,,3.62,19.6%,4.06,3.90,L,0.274,0.356,-3%,-2%,0%,14.2,13.2,13.2,0.1,26.2,14.7,1.8,0.0,0.0
Miguel Gonzalez,3,SP,8000,CWS,SD,55%,3.79,4.5,,,3.57,17.0%,4.57,4.60,R,0.326,0.314,1%,4%,0%,14.8,15.7,15.7,2.6,28.7,15.4,1.9,0.0,0.0
Matt Shoemaker,1,SP,7900,LAA,DET,56%,3.98,5,,,4.94,20.9%,3.99,4.13,R,0.310,0.314,2%,2%,0%,15.1,11.6,11.6,2.2,20.9,15.5,2.0,0.0,0.0
