"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Lance McCullers Jr.",NA,"SP",18500,"HOU","@MIA","61%",3.52,NA,NA,NA,4.3,"27.3%",3.44,3.16,"R",0.288,0.312,"2%","0%","1%",22.4,21.2,21.2,11.3,31.1,21.1,1.1,0,0
"Clayton Kershaw",NA,"SP",14400,"LAD","@SF","63%",2.79,NA,NA,NA,3.48,"32.1%",2.38,2.26,"L",0.218,0.231,"-1%","0%","0%",24.5,25.2,25.2,16.2,34.2,26.3,1.8,0,0
"Alex Cobb",NA,"SP",13000,"TB","@CLE","42%",4.91,NA,NA,NA,4.32,"15.1%",4.48,4.3,"R",0.303,0.295,"-9%","-3%","-3%",14.4,13.3,13.3,5.3,21.2,11.9,0.9,0,0
"Josh Tomlin",NA,"SP",12500,"CLE","TB","57%",4.09,NA,NA,NA,4.56,"17.8%",4.01,3.94,"R",0.275,0.363,"-3%","-3%","-3%",15.5,9.6,9.6,-3.5,22.6,12.4,1,0,0
"Jose Urena",NA,"SP",12000,"MIA","HOU","39%",4.48,NA,NA,NA,5.03,"13.2%",4.91,4.93,"R",0.341,0.332,"3%","0%","3%",15.9,15.9,15.9,10.5,21.3,12,1,0,0
"Johnny Cueto",NA,"SP",11500,"SF","LAD","37%",3.71,NA,NA,NA,5,"21.4%",3.74,3.63,"R",0.272,0.283,"1%","0%","0%",15.5,16.7,16.7,6.6,26.9,16.8,1.5,0,0
"Michael Fulmer",NA,"SP",11200,"DET","BAL","56%",4.14,NA,NA,NA,4.5,"20.9%",3.96,3.89,"R",0.255,0.304,"0%","-1%","0%",21.7,21.1,21.1,12.5,29.6,17.8,1.6,0,0
"Michael Pineda",1,"SP",10100,"NYY","@KC","53%",4.11,NA,NA,NA,3.22,"26.0%",3.18,3.06,"R",0.309,0.311,"-2%","0%","0%",20.6,21.5,21.5,10.9,32.1,19.5,1.9,0,0
"Ervin Santana",NA,"SP",9500,"MIN","COL","56%",3.91,NA,NA,NA,4.79,"19.3%",4.37,4.32,"R",0.307,0.29,"-1%","3%","1%",19.8,23.4,23.4,12.3,34.6,14.8,1.6,0,0
"Kyle Hendricks",1,"SP",9100,"CHC","CIN","63%",NA,NA,NA,NA,4.89,"22.5%",3.6,3.47,"R",0.297,0.26,"1%","0%","-10%",16.4,15.2,15.2,9.1,21.3,13.5,1.5,0,0
"Rick Porcello",NA,"SP",9000,"BOS","@STL","51%",3.97,NA,NA,NA,4.58,"21.2%",3.73,3.81,"R",0.317,0.311,"5%","0%","-1%",21.5,17.4,17.4,8.8,26.1,17.8,2,0,0
"Matt Shoemaker",NA,"SP",8800,"LAA","CWS","61%",3.29,NA,NA,NA,4.14,"21.1%",3.97,4.12,"R",0.309,0.312,"2%","2%","0%",17.4,13.8,13.8,3.1,24.4,17.1,1.9,0,0
"Gerrit Cole",NA,"SP",8600,"PIT","WAS","",NA,NA,NA,NA,6.05,"22.6%",3.58,3.45,"R",0.304,0.287,"0%","-1%","0%",23.1,18.1,18.1,8.5,27.6,18.9,2.2,0,0
"Jason Vargas",NA,"SP",8400,"KC","NYY","47%",4.39,NA,NA,NA,5.74,"19.3%",4.13,4.22,"L",0.321,0.299,"-3%","1%","0%",21.1,23.3,23.3,13.9,32.8,13.1,1.6,0,0
"Matt Garza",NA,"SP",8200,"MIL","@SD","46%",4.17,NA,NA,NA,3.65,"15.8%",4.6,4.42,"R",0.334,0.312,"4%","2%","0%",17.1,17.1,17.1,12,22.3,13.4,1.6,0,0
"Mike Foltynewicz",NA,"SP",7800,"ATL","TOR","54%",4.07,NA,NA,NA,4.03,"20.3%",4.18,4.33,"R",0.367,0.334,"0%","0%","0%",15.5,12.9,12.9,0.5,25.4,16,2.1,0,0
"Miguel Gonzalez",NA,"SP",7700,"CWS","@LAA","39%",4.21,NA,NA,NA,3.8,"16.8%",4.61,4.65,"R",0.326,0.319,"5%","3%","0%",12.9,13.2,13.2,-0.5,26.8,14.9,1.9,0,0
"Mike Leake",NA,"SP",7600,"STL","BOS","49%",4.03,NA,NA,NA,4.46,"16.1%",4.04,3.82,"R",0.322,0.296,"1%","0%","-1%",16.3,19.5,19.5,13,26,13.7,1.8,0,0
"Andrew Cashner",NA,"SP",7500,"TEX","PHI","56%",4.64,NA,NA,NA,4.71,"19.2%",4.45,4.31,"R",0.342,0.3,"-5%","0%","0%",11.5,10.5,10.5,5.2,15.8,8.6,1.1,0,0
"Scott Feldman",NA,"SP",7200,"CIN","@CHC","37%",NA,NA,NA,NA,4.65,"15.4%",4.35,4.13,"R",0.309,0.328,"4%","0%","-15%",13.9,14.4,14.4,2,26.7,11.1,1.5,0,0
"Jhoulys Chacin",NA,"SP",7100,"SD","MIL","54%",3.83,NA,NA,NA,5.33,"18.6%",4.36,4.22,"R",0.333,0.311,"2%","3%","0%",16.2,12,12,-1.8,25.9,14.7,2.1,0,0
"Patrick Corbin",NA,"SP",6900,"ARI","NYM","53%",4.57,NA,NA,NA,5.05,"19.5%",4.08,3.93,"L",0.276,0.354,"-4%","0%","0%",15.2,12.9,12.9,0.8,25,12.7,1.8,0,0
"German Marquez",NA,"SP",6900,"COL","@MIN","43%",4.59,NA,NA,NA,4.56,"17.9%",4.1,3.95,"R",NA,NA,"8%","2%","1%",13.8,13.8,13.8,-6.7,34.4,14.7,2.1,0,0
"Ubaldo Jimenez",NA,"SP",6800,"BAL","@DET","43%",4.86,NA,NA,NA,4.72,"20.1%",4.39,4.28,"R",0.331,0.316,"0%","-1%","0%",7.6,7.1,7.1,-3.8,18.1,11.3,1.7,0,0
"Jesse Hahn",NA,"SP",6700,"OAK","@SEA","47%",4.37,NA,NA,NA,4.82,"15.2%",4.47,4.26,"R",0.323,0.264,"4%","2%","0%",16.8,16.8,16.8,9,24.5,13.1,2,0,0
"Jacob Turner",NA,"SP",6600,"WAS","@PIT","",NA,NA,NA,NA,3.63,"16.4%",4.76,4.78,"R",0.329,0.398,"2%","-1%","0%",15.9,15.9,15.9,15.9,15.9,12.2,1.8,0,0
"Zach Eflin",NA,"SP",6100,"PHI","@TEX","43%",5.36,NA,NA,NA,4.62,"11.9%",5.12,5.13,"R",0.341,0.309,"-11%","0%","0%",12.5,12.5,12.5,7.7,17.2,10.3,1.7,0,0
