Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Max Scherzer,8,SP,13000,WAS,@PHI,61%,4.27,8,0.292,23.2%,4.00,31.1%,2.83,3.13,R,0.299,0.237,2%,2%,0%,0.0,0.0,0.0,0.0,0.0,27.0,2.1,25.4,2.0
Vincent Velasquez,0,SP,8900,PHI,WAS,45%,5.04,5.5,0.327,20.3%,4.00,26.9%,3.65,3.81,R,0.319,0.330,1%,5%,0%,0.0,0.0,0.0,0.0,0.0,17.1,1.9,16.2,1.8
Francisco Liriano,17,SP,8900,TOR,@TB,57%,3.67,6,0.326,24.5%,3.50,24.8%,3.86,3.65,L,0.271,0.302,4%,0%,0%,0.0,0.0,0.0,0.0,0.0,19.1,2.1,-11.5,-1.3
Michael Fulmer,1,SP,8400,DET,BOS,53%,4.68,4.5,0.313,18.8%,5.00,20.4%,4.03,3.95,R,0.276,0.295,0%,5%,-2%,0.0,0.0,0.0,0.0,0.0,15.3,1.8,17.3,2.1
Wei-Yin Chen,1,SP,8200,MIA,@NYM,39%,3.83,4.5,0.292,22.6%,6.00,19.3%,4.04,4.08,L,0.289,0.336,3%,4%,0%,0.0,0.0,0.0,0.0,0.0,17.2,2.1,20.7,2.5
Steven Wright,,SP,8100,BOS,@DET,59%,4.64,4.5,0.324,17.6%,6.00,18.5%,4.57,4.66,R,0.288,0.308,5%,7%,-2%,0.0,0.0,0.0,0.0,0.0,12.8,1.6,8.4,1.0
Zack Wheeler,9,SP,8000,NYM,MIA,57%,3.96,4.5,0.300,22.4%,2.00,,,,R,0.336,0.279,2%,4%,0%,0.0,0.0,0.0,0.0,0.0,17.7,2.2,2.8,0.3
Mike Foltynewicz,0,SP,7600,ATL,@PIT,42%,3.82,4.5,0.312,20.6%,3.00,20.4%,4.19,4.36,R,0.370,0.336,1%,7%,-1%,0.0,0.0,0.0,0.0,0.0,16.2,2.1,0.3,0.0
Mike Fiers,5,SP,7500,HOU,KC,60%,3.98,4.5,0.313,20.3%,1.00,21.1%,4.06,4.08,R,0.301,0.326,1%,0%,-2%,0.0,0.0,0.0,0.0,0.0,14.4,1.9,12.7,1.7
Yovani Gallardo,,SP,7300,SEA,@LAA,40%,3.91,3,0.321,18.8%,4.50,15.6%,4.90,4.67,R,0.321,0.326,3%,4%,0%,0.0,0.0,0.0,0.0,0.0,11.0,1.5,7.3,1.0
Josh Tomlin,2,SP,7200,CLE,@ARI,,,4,0.305,24.2%,5.00,17.9%,4.05,4.03,R,0.275,0.360,-4%,-1%,0%,0.0,0.0,0.0,0.0,0.0,14.0,1.9,5.1,0.7
Jesse Chavez,3,SP,7100,LAA,SEA,48%,4.01,,0.326,19.1%,0.50,20.9%,3.87,3.95,R,0.325,0.298,3%,3%,0%,0.0,0.0,0.0,0.0,0.0,13.7,1.9,23.8,3.4
Jimmy Nelson,,SP,7000,MIL,CHC,50%,3.91,4.5,0.318,25.0%,2.50,18.5%,4.52,4.48,R,0.353,0.310,-1%,7%,0%,0.0,0.0,0.0,0.0,0.0,15.1,2.2,23.3,3.3
Ivan Nova,2,SP,7000,PIT,ATL,41%,3.17,4,0.308,18.7%,,17.3%,4.06,4.03,R,0.345,0.323,1%,8%,-1%,0.0,0.0,0.0,0.0,0.0,13.7,2.0,21.3,3.0
Mike Leake,5,SP,6800,STL,CIN,46%,4.73,4,0.297,21.3%,3.00,15.9%,4.05,3.85,R,0.326,0.299,1%,5%,0%,0.0,0.0,0.0,0.0,0.0,14.8,2.2,23.8,3.5
Matt Andriese,,SP,6700,TB,TOR,42%,4.33,4.5,0.333,20.9%,2.00,19.5%,3.94,4.05,R,0.315,0.305,2%,0%,0%,0.0,0.0,0.0,0.0,0.0,13.8,2.1,4.2,0.6
Ubaldo Jimenez,1,SP,6600,BAL,NYY,,,4,0.321,20.4%,4.00,20.5%,4.29,4.19,R,0.327,0.317,0%,7%,0%,0.0,0.0,0.0,0.0,0.0,13.2,2.0,5.0,0.8
Phil Hughes,,SP,6500,MIN,@CWS,50%,4.36,3.5,0.309,24.0%,3.00,14.1%,4.57,4.52,R,0.325,0.340,4%,7%,0%,0.0,0.0,0.0,0.0,0.0,14.8,2.3,18.5,2.8
Brett Anderson,5,SP,6400,CHC,@MIL,54%,4.75,4,0.307,27.4%,5.00,14.9%,3.59,3.60,L,0.333,0.325,-2%,5%,0%,0.0,0.0,0.0,0.0,0.0,16.3,2.5,15.2,2.4
Shelby Miller,3,SP,6300,ARI,CLE,51%,,4,0.322,20.6%,6.00,18.3%,4.49,4.40,R,0.336,0.293,-3%,-1%,0%,0.0,0.0,0.0,0.0,0.0,13.3,2.1,19.2,3.0
A.J. Griffin,,SP,6100,TEX,OAK,,,4,0.318,19.5%,5.00,21.0%,4.63,5.01,R,0.333,0.304,-3%,4%,0%,0.0,0.0,0.0,0.0,0.0,12.1,2.0,3.3,0.5
Jason Vargas,,SP,6000,KC,@HOU,50%,4.99,4,0.336,16.4%,2.50,16.5%,4.54,4.64,L,0.326,0.313,8%,1%,-2%,0.0,0.0,0.0,0.0,0.0,10.0,1.7,23.3,3.9
Luis Severino,0,SP,5800,NYY,@BAL,,,4.5,0.338,21.1%,3.00,21.5%,3.97,3.89,R,0.319,0.342,0%,6%,0%,0.0,0.0,0.0,0.0,0.0,15.3,2.6,11.1,1.9
Hyun-Jin Ryu,,SP,5700,LAD,@COL,70%,4.75,,0.302,23.0%,6.50,,,,L,0.311,0.297,-21%,0%,0%,0.0,0.0,0.0,0.0,0.0,12.5,2.2,12.3,2.2
Derek Holland,2,SP,5600,CWS,MIN,47%,4.02,4,0.334,24.0%,7.00,15.3%,4.87,4.89,L,0.291,0.337,1%,7%,0%,0.0,0.0,0.0,0.0,0.0,13.9,2.5,15.9,2.8
Matt Cain,0,SP,5500,SF,@SD,49%,3.28,4,0.295,22.5%,3.50,16.9%,4.71,4.86,R,0.335,0.339,2%,1%,0%,0.0,0.0,0.0,0.0,0.0,13.5,2.5,2.4,0.4
Amir Garrett,1,SP,5500,CIN,@STL,55%,3.59,,0.324,21.1%,2.50,,,,L,,,3%,6%,0%,0.0,0.0,0.0,0.0,0.0,13.8,2.5,23.1,4.2
Luis Perdomo,0,SP,5100,SD,SF,30%,4.47,3.5,0.304,20.5%,6.50,15.9%,4.04,4.00,R,0.366,0.355,2%,1%,0%,0.0,0.0,0.0,0.0,0.0,11.3,2.2,3.2,0.6
Raul Alcantara,,SP,4500,OAK,@TEX,52%,,,0.333,21.7%,4.00,,,,R,,,-13%,5%,0%,0.0,0.0,0.0,0.0,0.0,9.3,2.1,-13.7,-3.0
