"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Clayton Kershaw",15,"SP",13300,"LAD","@LAA","69%",2.93,7.5,0.309,"19.8%",4.31,"32.1%",2.48,2.34,"L",0.226,0.23,"0%","1%","0%",28.7,26,26,16.3,35.6,25.9,1.9,40.8,3.1
"Corey Kluber",5,"SP",12600,"CLE","TEX","70%",3.65,9,0.332,"22.7%",5.01,"27.8%",3.2,3.2,"R",0.303,0.251,"-2%","-2%","-2%",34.8,25.9,25.9,10.5,41.2,22.2,1.8,41.6,3.3
"Chris Archer",7,"SP",11300,"TB","@PIT","51%",3.95,6.5,0.302,"19.0%",4.23,"28.4%",3.33,3.25,"R",0.289,0.286,"0%","-1%","0%",19.4,21.3,21.3,11.6,31.1,21.9,1.9,12.1,1.1
"Brad Peacock",6,"SP",9700,"HOU","OAK","67%",3.63,6.5,0.32,"23.0%",4.38,"29.0%",3.87,4.04,"R",0.337,0.251,"1%","0%","-2%",17.9,18.9,18.9,6,31.8,16.8,1.7,22.5,2.3
"Michael Fulmer",5,"SP",9400,"DET","KC","61%",4.19,NA,0.323,"20.3%",3.93,"19.7%",4.13,3.99,"R",0.271,0.289,"0%","-2%","0%",12.6,17.3,17.3,8,26.7,16.4,1.7,29.3,3.1
"J.A. Happ",7,"SP",8700,"TOR","BAL","64%",4.2,5.5,0.318,"21.3%",4.57,"21.3%",3.98,3.87,"L",0.318,0.297,"-1%","-1%","0%",17.9,17.3,17.3,8.3,26.4,15.6,1.8,8.3,1
"Jimmy Nelson",2,"SP",8600,"MIL","@CIN","51%",4.95,5.5,0.304,"23.6%",4.91,"19.7%",4.34,4.28,"R",0.345,0.308,"0%","-2%","0%",23.1,17.9,17.9,4.1,31.6,17.6,2,35.3,4.1
"Jon Lester",2,"SP",8000,"CHC","@WAS","49%",4.81,5.5,0.323,"22.6%",5.64,"24.8%",3.49,3.35,"L",0.272,0.29,"-1%","-3%","0%",18.4,17.5,17.5,6,28.9,17.3,2.2,21.9,2.7
"David Price",6,"SP",7700,"BOS","MIN","65%",4.17,5.5,0.325,"23.6%",4.55,"24.2%",3.54,3.5,"L",0.298,0.291,"-2%","-1%","-3%",13.5,12.8,12.8,3.1,22.6,18.8,2.4,24.1,3.1
"Jameson Taillon",6,"SP",7500,"PIT","TB","49%",4.05,6,0.296,"24.4%",4.9,"20.7%",3.79,3.54,"R",0.302,0.313,"0%","-1%","0%",13.8,15.4,15.4,7.5,23.2,18.6,2.5,20.3,2.7
