"Name","Salary","Team","Position","OppTeam","Projections"
"Paul Goldschmidt",5600,"ARI","1B","CIN",10.47
"David Peralta",4600,"ARI","OF","CIN",8.27
"A.J. Pollock",5100,"ARI","OF","CIN",8.78
"Jake Lamb",5100,"ARI","3B","CIN",8.98
"Chris Owings",4600,"ARI","OF/SS","CIN",7.2
"Jeff Mathis",2600,"ARI","C","CIN",4.51
"Brandon Drury",3800,"ARI","2B","CIN",5.99
"Daniel Descalso",3700,"ARI","2B/OF","CIN",6.04
"Curtis Granderson",3700,"NYM","OF","STL",6.93
"Jay Bruce",4400,"NYM","OF","STL",8.76
"Michael Conforto",5100,"NYM","OF","STL",8.11
"T.J. Rivera",3900,"NYM","1B/3B","STL",5.88
"Lucas Duda",3800,"NYM","1B","STL",7.28
"Jose Reyes",3500,"NYM","3B/SS","STL",5.82
"Asdrubal Cabrera",3900,"NYM","2B/SS","STL",6.1
"Travis d'Arnaud",3100,"NYM","C","STL",5.15
"J.D. Martinez",4400,"ARI","OF","CIN",9.01
"Scooter Gennett",3900,"CIN","2B/OF","ARI",6.25
"Justin Smoak",4500,"TOR","1B","BOS",8.37
"Kendrys Morales",4300,"TOR","1B","BOS",6.82
"Jose Bautista",4300,"TOR","OF","BOS",8.37
"Russell Martin",3500,"TOR","C","BOS",6.43
"Darwin Barney",2300,"TOR","2B/3B","BOS",4.87
"Steve Pearce",4000,"TOR","OF","BOS",5.86
"Josh Donaldson",4500,"TOR","3B","BOS",7.94
"Kevin Pillar",3400,"TOR","OF","BOS",5.83
"Jose Peraza",3100,"CIN","2B/SS","ARI",5.28
"Zack Cozart",3500,"CIN","SS","ARI",6.07
"Billy Hamilton",3600,"CIN","OF","ARI",6.2
"Tucker Barnhart",2400,"CIN","C","ARI",4.09
"Joey Votto",4400,"CIN","1B","ARI",8.4
"Adam Duvall",3900,"CIN","OF","ARI",6.53
"Scott Schebler",3200,"CIN","OF","ARI",5.68
"Eugenio Suarez",3200,"CIN","3B","ARI",5.61
"Yoenis Cespedes",4000,"NYM","OF","STL",6.99
