"Name","Salary","Team","Position","OppTeam","Projections"
"Eduardo Rodriguez",9100,"BOS","SP","OAK",17.72
"Andrew Triggs",9400,"OAK","SP","BOS",17.86
"Jake Arrieta",9400,"CHC","SP","MIL",24.68
"Chase Anderson",6400,"MIL","SP","CHC",15.9
"Matt Cain",7000,"SFG","SP","STL",15.89
"Adam Wainwright",7100,"STL","SP","SFG",17.83
"Brandon McCarthy",8400,"LAD","SP","MIA",21.21
"Vance Worley",0,"MIA","SP","LAD",11.93
"Yu Darvish",12700,"TEX","SP","DET",24.7
"Matt Boyd",6900,"DET","SP","TEX",16.01
"Clayton Richard",6600,"SDP","SP","ARI",15.32
"Zachary Godley",7800,"ARI","SP","SDP",14.83
"Derek Holland",7900,"CHW","SP","SEA",14
"Dillon Overton",4800,"SEA","SP","CHW",12.78
"Phil Hughes",5800,"MIN","SP","KCR",13.44
"Jakob Junis",5700,"KCR","SP","MIN",9.66
"Chris Archer",10800,"TBR","SP","NYY",24.8
"Marco Estrada",8600,"TOR","SP","BAL",18.25
"CC Sabathia",7600,"NYY","SP","TBR",15.08
"Tommy Milone",5600,"NYM","SP","LAA",15.11
"Bronson Arroyo",5200,"CIN","SP","COL",6.43
"Jesse Chavez",8400,"LAA","SP","NYM",18.07
"Wade Miley",7200,"BAL","SP","TOR",18.13
"Aaron Nola",8300,"PHI","SP","PIT",15.44
"Danny Salazar",9300,"CLE","SP","HOU",20.93
"Joseph Musgrove",8200,"HOU","SP","CLE",15.51
"Jaime Garcia",6600,"ATL","SP","WAS",13.11
"Stephen Strasburg",11300,"WAS","SP","ATL",26.27
"Chad Kuhl",5500,"PIT","SP","PHI",15.42
"Kyle Freeland",7500,"COL","SP","CIN",12.09
