"Date","Contest_names","contest_row_index"
"2017-04-16","$50.00entry_MLB$250KSundayNiftyFifty",37
"2017-04-17","$33.00entry_MLB$250KFastball[$25Kto1st]",42
"2017-04-18","$40.00entry_MLB$250KMediumHomeRun",44
"2017-04-19","$33.00entry_MLB$300KFastball[$50Kto1st]",46
"2017-04-21","$33.00entry_MLB$300KFastball",141
"2017-04-22","$40.00entry_MLB$250KSaturdaySlugfest",169
"2017-04-24","$33.00entry_MLB$300KFastball",206
"2017-04-25","$33.00entry_MLB$400KTUESDAYSUPERFastball[$50Kto1st]",235
"2017-04-26","$55.00entry_DK5YearAnniversary$55Special[$50KTop]",269
"2017-04-28","$55.00entry_DKFiveYearAnniversary$55",340
"2017-04-30","$50.00entry_MLB$275KSundayNiftyFifty",396
"2017-05-01","$33.00entry_MLB$325KFastball[$50Kto1st]",426
"2017-05-02","$33.00entry_MLB$175KFastball",452
"2017-05-03","$33.00entry_MLB$215KFastball",481
"2017-05-04","$33.00entry_MLB$150KFastball",508
"2017-05-05","$33.00entry_MLB$200KFastball",537
"2017-05-06","$40.00entry_MLB$250KSaturdaySlugfest",573
"2017-05-07","$50.00entry_MLB$300KSundayNiftyFifty",606
"2017-05-08","$8.00entry_MLB$175KCrazy8's",641
"2017-05-09","$55.00entry_MLB$325KFullCount",669
"2017-05-12","$55.00entry_MLB$300KFullCount",779
"2017-05-17","$55.00entry_MLB$250KFullCount",964
"2017-05-21","$50.00entry_MLB$260KSundayNiftyFifty",1083
"2017-05-23","$8.00entry_MLB$250KMini8's[$50Kto1st]",1107
"2017-05-24","$33.00entry_MLB$225KFASTBALL",1129
"2017-05-28","$50.00entry_MLB$250KSundayNiftyFifty",1201
"2017-05-30","$70.00entry_MLB$750KFrozenRope[$100,000to1st]",1254
"2017-05-31","$33.00entry_MLB$225KFastball",1274
"2017-06-01","$33.00entry_MLB$160KFastball",1310
"2017-06-02","$55.00entry_MLB$325KFullCount",1330
"2017-06-04","$50.00entry_MLB$250KSundayNiftyFifty",1379
"2017-06-05","$55.00entry_MLB$325KFullCount",1406
"2017-06-06","$44.00entry_MLB$350KMedium4's[$50Kto1st!]",1435
"2017-06-07","$33.00entry_MLB$200KFastball",1462
"2017-06-08","$33.00entry_MLB$200KFastball",1499
"2017-06-09","$50.00entry_MLB$400KMediumMainEvent[$50Kto1st]",1527
"2017-06-10","$40.00entry_MLB$175KMidseasonSeriesEncore#2",1556
"2017-06-11","$50.00entry_MLB$300KSundayNiftyFifty[$50Kto1st]",1588
"2017-06-12","$55.00entry_MLB$300KFullCount",1615
"2017-06-13","$55.00entry_MLB$400KTUESDAYFullCount[$50Kto1st]",1638
"2017-06-14","$33.00entry_MLB$200KFASTBALL",1669
"2017-06-15","$33.00entry_MLB$150KFastball",1729
"2017-06-16","$44.00entry_MLB$300KPowerAlley",1757
"2017-06-18","$50.00entry_MLB$300KFather'sDayFifty[$50Kto1st]",1812
"2017-06-25","$50.00entry_MLB$325KSundayNiftyFifty[$50Kto1st]",2036
"2017-06-26","$55.00entry_MLB$250KFullCount",2066
"2017-06-27","$44.00entry_MLB$350KMediumBatFlip[$50Kto1st]",2099
"2017-06-29","$33.00entry_SummerBash$200KFastball",2130
"2017-06-30","$55.00entry_MLB$400KFullCount[$50Kto1st]",2168
"2017-07-01","$40.00entry_MLB$175KSummerBashEncore",2195
"2017-07-02","$55.00entry_MLB$250KFullCount[5xtheFPPs!]",2229
"2017-07-03","$55.00entry_MLB$350KFullCount[$50Kto1st]",2257
"2017-07-04","$8.00entry_MLB$150KRallyCap",2260
"2017-07-05","$33.00entry_MLB$250KFastball[$25Kto1st]",2289
"2017-07-06","$33.00entry_MLB$200KFastball",2321
"2017-07-07","$44.00entry_MLB$350KMediumAllStarBreakSpecial",2351
"2017-07-08","$8.00entry_MLB$50KRallyCap(Early)",2386
"2017-07-14","$55.00entry_MLB$325KFullCount",2440
"2017-07-15","$40.00entry_MLB$300KSaturdaySlugfest",2442
"2017-07-18","$55.00entry_MLB$555KMEGAFullCount[$100Kto1st]",2495
"2017-07-19","$33.00entry_MLB$225KFastball",2525
"2017-07-20","$33.00entry_MLB$160KFastball",2565
"2017-07-21","$55.00entry_MLB$275KFullCount",2589
"2017-07-22","$40.00entry_MLB$250KSaturdayNightSpecial[$50,000to1st]",2592
"2017-07-23","$55.00entry_MLB$275KFullCount",2618
