"Name","teamAbbrev","Opponent","Game","Position","Salary","Proj_dfn","Proj_bbm","Proj_rotogrinders","Proj_rotowire","Batting_Order_Confirmed"
"Noah Syndergaard","NYM","WAS","NYM WAS","SP",11400,"20.1","20.5455","26.27","19.3","0"
"Chris Archer","TB","TOR","TB TOR","SP",10500,"20.5","20.235","21.93","17.8","0"
"Dallas Keuchel","HOU","OAK","HOU OAK","SP",9400,"20.6","22.5655","21.61","16.3","0"
"Wade Miley","BAL","NYY","BAL NYY","SP",8200,"14.3","13.953","12.65","10.2","0"
"Aaron Sanchez","TOR","TB","TB TOR","SP",8000,"14.6","19.645","19.09","15.4","0"
"Mike Leake","STL","CIN","CIN STL","SP",7900,"14.2","14.265","20.44","10.5","0"
"Jason Hammel","KC","MIN","KC MIN","SP",7600,"12.2","15.898","14.64","13.4","0"
"Joe Ross","WAS","NYM","NYM WAS","SP",7400,"14.3","14.284","0","13.7","0"
"Miguel Gonzalez","CWS","DET","CWS DET","SP",7100,"12.1","12.734","14.97","11.4","0"
"Jordan Montgomery","NYY","BAL","BAL NYY","SP",6900,"14.1","14.761","15.01","12.3","0"
"Mike Foltynewicz","ATL","MIL","ATL MIL","SP",6700,"13.6","16.163","0","14.1","0"
"Jesse Hahn","OAK","HOU","HOU OAK","SP",6500,"11.7","8.624","10.65","7.7","0"
"Tom Koehler","MIA","PIT","MIA PIT","SP",6200,"13.4","12.301","13.42","9.8","0"
"Josh Tomlin","CLE","SEA","CLE SEA","SP",5900,"10.5","14.205","13.14","11.7","0"
"Jordan Zimmermann","DET","CWS","CWS DET","SP",5800,"12.3","15.64","11.09","12.7","0"
"Phil Hughes","MIN","KC","KC MIN","SP",5700,"10.7","12.412","11.27","9.5","0"
"Chad Kuhl","PIT","MIA","MIA PIT","SP",5700,"11.9","10.915","13.31","9.5","0"
"Matt Garza","MIL","ATL","ATL MIL","SP",5000,"11.5","11.625","12.64","8.8","0"
"Chase De Jong","SEA","CLE","CLE SEA","SP",4800,"9.9","0","8.66","11.4","0"
"Bronson Arroyo","CIN","STL","CIN STL","SP",4700,"11.2","10.599","12.65","5.8","0"
"Freddie Freeman","ATL","MIL","ATL MIL","1B",5300,"12.1","10.1","10.23","9.3","3"
