"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,936085802,"jake8jmw",0,287,"C Derrick Favors UTIL Ricky Rubio SF Jonas Jerebko G Donovan Mitchell PG Eric Bledsoe SG Malcolm Brogdon F Willie Cauley-Stein PF Giannis Antetokounmpo",NA,"Giannis Antetokounmpo","SF","86.18%",57.25
1,936653988,"jessmejj (4/5)",0,287,"PF Derrick Favors UTIL Ricky Rubio F Jonas Jerebko PG Donovan Mitchell G Eric Bledsoe SG Malcolm Brogdon C Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Eric Bledsoe","PG","68.57%",42.25
3,936499200,"eburtceo (2/4)",0,279.5,"F Derrick Favors PG Ricky Rubio PF Jonas Jerebko SF Joe Ingles SG Donovan Mitchell G Eric Bledsoe C Willie Cauley-Stein UTIL Giannis Antetokounmpo",NA,"Nikola Jokic","C","65.96%",27
3,936643462,"rzon2chie",0,279.5,"C Derrick Favors PG Ricky Rubio PF Jonas Jerebko F Joe Ingles G Donovan Mitchell SG Eric Bledsoe UTIL Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Willie Cauley-Stein","F","61.36%",23.5
5,936606391,"sfernandez09",0,279,"UTIL Derrick Favors PG Ricky Rubio PF Jonas Jerebko SG Donovan Mitchell F Zach Randolph C John Henson G Eric Bledsoe SF Giannis Antetokounmpo",NA,"Donovan Mitchell","G","56.96%",26.75
5,936647257,"Ru4sure2000",0,279,"UTIL Derrick Favors G Ricky Rubio PF Jonas Jerebko SG Donovan Mitchell F Zach Randolph C John Henson PG Eric Bledsoe SF Giannis Antetokounmpo",NA,"Joe Ingles","G","42.28%",18
7,935920220,"Bashers8480",0,278.25,"C Derrick Favors G Ricky Rubio UTIL Gary Harris SG Donovan Mitchell F Juancho Hernangómez PG Eric Bledsoe PF Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Derrick Favors","PF","41.74%",50.25
7,936315468,"zak11b",0,278.25,"C Derrick Favors G Ricky Rubio SG Gary Harris UTIL Donovan Mitchell F Juancho Hernangómez PG Eric Bledsoe PF Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Gary Harris","SG","35.67%",26.25
7,936646103,"J_t_G (1/3)",0,278.25,"C Derrick Favors PG Ricky Rubio G Gary Harris UTIL Donovan Mitchell SF Juancho Hernangómez SG Eric Bledsoe F Willie Cauley-Stein PF Giannis Antetokounmpo",NA,"Zach Randolph","PF","32.85%",18.75
7,936667414,"OakTree23CB (2/3)",0,278.25,"PF Derrick Favors G Ricky Rubio SG Gary Harris UTIL Donovan Mitchell F Juancho Hernangómez PG Eric Bledsoe C Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Will Barton","SG","32.08%",14.5
11,936206523,"MoneyLan",0,277.5,"C Derrick Favors PG Ricky Rubio UTIL Donovan Mitchell F Juancho Hernangómez SG Eric Bledsoe G Malcolm Brogdon PF Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Ricky Rubio","PG","31.76%",30
11,936316058,"igotskills925 (2/5)",0,277.5,"PF Derrick Favors UTIL Ricky Rubio SG Donovan Mitchell F Juancho Hernangómez PG Eric Bledsoe G Malcolm Brogdon C Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Kenneth Faried","F","31.25%",20
13,936197355,"n4no413 (1/2)",0,277,"F Derrick Favors G Ricky Rubio UTIL Gary Harris SG Donovan Mitchell PF Juancho Hernangómez C John Henson PG Eric Bledsoe SF Giannis Antetokounmpo",NA,"Malcolm Brogdon","UTIL","21.61%",25.5
13,936667291,"OakTree23CB (1/3)",0,277,"PF Derrick Favors G Ricky Rubio SG Gary Harris UTIL Donovan Mitchell F Juancho Hernangómez C John Henson PG Eric Bledsoe SF Giannis Antetokounmpo",NA,"Khris Middleton","SF","18.19%",22
15,935850073,"dropindimes (20/20)",0,276.5,"UTIL Kenneth Faried PF Derrick Favors F Jonas Jerebko C Nikola Jokic SG Donovan Mitchell PG Eric Bledsoe SF Giannis Antetokounmpo G Frank Mason III",NA,"Buddy Hield","SG","17.42%",17.5
15,936625734,"lewisjam",0,276.5,"PF Kenneth Faried C Derrick Favors F Jonas Jerebko UTIL Nikola Jokic PG Donovan Mitchell G Eric Bledsoe SF Giannis Antetokounmpo SG Frank Mason III",NA,"Rodney Hood","F","15.86%",0
17,936606664,"mangelo8407",0,276,"F Kenneth Faried PF Derrick Favors UTIL Jonas Jerebko G Gary Harris C Nikola Jokic SG Garrett Temple PG Eric Bledsoe SF Giannis Antetokounmpo",NA,"John Henson","UTIL","15.60%",22.25
18,936507096,"70milldollamanX (4/20)",0,275.75,"C Derrick Favors UTIL Jonas Jerebko G Donovan Mitchell F Zach Randolph SG Eric Bledsoe PG Malcolm Brogdon PF Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Jamal Murray","PG","14.76%",14.75
18,936654059,"jessmejj (5/5)",0,275.75,"PF Derrick Favors F Jonas Jerebko PG Donovan Mitchell C Zach Randolph G Eric Bledsoe SG Malcolm Brogdon UTIL Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"George Hill","SG","14.54%",7.5
18,936672094,"jenromero9 (3/3)",0,275.75,"C Derrick Favors UTIL Jonas Jerebko PG Donovan Mitchell F Zach Randolph G Eric Bledsoe SG Malcolm Brogdon PF Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"De'Aaron Fox","UTIL","11.52%",7.25
