"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,936085903,"jake8jmw",0,287,"C Derrick Favors UTIL Ricky Rubio SF Jonas Jerebko G Donovan Mitchell PG Eric Bledsoe SG Malcolm Brogdon F Willie Cauley-Stein PF Giannis Antetokounmpo",NA,"Giannis Antetokounmpo","SF","89.66%",57.25
2,936721416,"Requiem414 (1/2)",0,285.25,"F Derrick Favors PG Ricky Rubio PF Jonas Jerebko C Nikola Jokic SG Eric Bledsoe UTIL Malcolm Brogdon SF Giannis Antetokounmpo G Frank Mason III",NA,"Nikola Jokic","C","67.62%",27
2,936721512,"Requiem414 (2/2)",0,285.25,"F Derrick Favors UTIL Ricky Rubio PF Jonas Jerebko C Nikola Jokic SG Eric Bledsoe PG Malcolm Brogdon SF Giannis Antetokounmpo G Frank Mason III",NA,"Eric Bledsoe","PG","66.11%",42.25
4,936338804,"SWBgovols16",0,275.5,"C Kenneth Faried F Derrick Favors G Ricky Rubio SG Donovan Mitchell PG Eric Bledsoe UTIL Malcolm Brogdon PF Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Willie Cauley-Stein","C","65.43%",23.5
4,936674984,"GoGoing",0,275.5,"F Kenneth Faried PF Derrick Favors G Ricky Rubio PG Donovan Mitchell SG Eric Bledsoe UTIL Malcolm Brogdon C Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Donovan Mitchell","G","51.64%",26.75
6,936117966,"srfish",0,273,"C Derrick Favors G Ricky Rubio SF Joe Ingles UTIL Gary Harris PG Eric Bledsoe SG Malcolm Brogdon PF Willie Cauley-Stein F Giannis Antetokounmpo",NA,"Joe Ingles","F","45.75%",18
6,936693595,"wiscobiz",0,273,"PF Derrick Favors G Ricky Rubio F Joe Ingles UTIL Gary Harris PG Eric Bledsoe SG Malcolm Brogdon C Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Gary Harris","SG","38.52%",26.25
8,936615742,"louiswat (1/2)",0,272.5,"F Derrick Favors PG Ricky Rubio SG Gary Harris PF Zach Randolph C John Henson UTIL Eric Bledsoe G Malcolm Brogdon SF Giannis Antetokounmpo",NA,"Derrick Favors","PF","37.68%",50.25
9,936664211,"Redwing1970",0,272.25,"F Kenneth Faried UTIL Derrick Favors G Ricky Rubio SG Donovan Mitchell C John Henson PG Eric Bledsoe PF Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Ricky Rubio","UTIL","36.08%",30
10,936721336,"Cmagg30",0,271.75,"PF Kenneth Faried F Derrick Favors UTIL Gary Harris SG Donovan Mitchell PG Eric Bledsoe G Malcolm Brogdon C Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Kenneth Faried","UTIL","33.31%",20
