"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,936101293,"cheddabisque (7/24)",0,311.5,"F Giannis Antetokounmpo G Jimmy Butler PF Kevin Love PG Eric Bledsoe SF Justin Holiday C Marcin Gortat UTIL Kenneth Faried SG Frank Mason III",NA,"Bradley Beal","SG","52.75%",21
2,936438939,"BrandonAdams (15/24)",0,304.75,"G Devin Booker SF T.J. Warren UTIL Kevin Love PF Lauri Markkanen SG Kris Dunn F Justin Holiday PG Mike James C Tyson Chandler",NA,"Tim Frazier","G","46.63%",9.25
3,935771611,"EmileHeskey (16/24)",0,299.25,"PF LeBron James SG Jimmy Butler UTIL Kevin Love SF Justin Holiday G Gary Harris C Robin Lopez F Joe Ingles PG Garrett Temple",NA,"Nikola Jokic","C","44.38%",27
4,936013794,"CasBrM (14/16)",0,292.75,"SG Bradley Beal G Jimmy Butler PF Kevin Love PG Donovan Mitchell F Derrick Favors SF Justin Holiday C Willie Cauley-Stein UTIL Kenneth Faried",NA,"Willie Cauley-Stein","F","43.75%",23.5
5,936062823,"ragingphilip (1/2)",0,287.5,"UTIL Karl-Anthony Towns SG Jimmy Butler PF Kevin Love SF Justin Holiday PG Ricky Rubio F Willie Cauley-Stein G Jamal Murray C Robin Lopez",NA,"Denzel Valentine","SF","39.00%",24.5
5,936072508,"ragingphilip (2/2)",0,287.5,"UTIL Karl-Anthony Towns SG Jimmy Butler PF Kevin Love SF Justin Holiday PG Ricky Rubio F Willie Cauley-Stein G Jamal Murray C Robin Lopez",NA,"Eric Bledsoe","UTIL","37.00%",42.25
7,936496372,"DraftCheat (3/3)",0,287.25,"SF LeBron James G Eric Bledsoe PF Taj Gibson SG Justin Holiday PG Ricky Rubio UTIL Dwyane Wade F Willie Cauley-Stein C Marcin Gortat",NA,"Otto Porter","F","35.88%",33.5
8,936202110,"mlenox31",0,287,"SF Giannis Antetokounmpo PG Eric Bledsoe PF Otto Porter F Denzel Valentine SG Justin Holiday UTIL Gary Harris C Willie Cauley-Stein G Tyus Jones",NA,"Markieff Morris","PF","30.13%",7
9,935899570,"bw5126 (4/24)",0,286,"F Giannis Antetokounmpo PF T.J. Warren SG Eric Bledsoe SF Justin Holiday PG Ricky Rubio G Gary Harris UTIL John Henson C Kenneth Faried",NA,"Kevin Love","PF","27.88%",56.75
10,935846361,"tristonwill",0,285,"PF LeBron James C Kevin Love SG Eric Bledsoe UTIL James Johnson SF Denzel Valentine PG Dwyane Wade F Willie Cauley-Stein G Frank Mason III",NA,"Giannis Antetokounmpo","SF","26.13%",57.25
11,936507465,"wopgenius11 (2/2)",0,284.75,"C Karl-Anthony Towns SG Jimmy Butler SF Otto Porter PF Derrick Favors UTIL Justin Holiday PG Ricky Rubio F Willie Cauley-Stein G Tim Frazier",NA,"Karl-Anthony Towns","C","24.38%",43.75
12,936394518,"bennyv77",0,284.25,"C Nikola Jokic SF T.J. Warren F Lauri Markkanen SG Eric Bledsoe UTIL Derrick Favors G Kris Dunn PG Tyus Jones PF Kenneth Faried",NA,"Joe Ingles","SF","24.25%",18
13,935724506,"ChipotleAddict (21/24)",0,283.5,"C Karl-Anthony Towns PF Kevin Love PG Eric Bledsoe G Donovan Mitchell SG Denzel Valentine SF Justin Holiday F Joe Ingles UTIL John Henson",NA,"Gary Harris","G","22.00%",26.25
13,936162671,"Ebone17",0,283.5,"C Hassan Whiteside PG Goran Dragic PF Kevin Love SG Dion Waiters SF Justin Holiday UTIL Ricky Rubio G Dwyane Wade F Kelly Oubre Jr.",NA,"Ricky Rubio","PG","21.88%",30
15,935724499,"ChipotleAddict (14/24)",0,282.5,"UTIL Nikola Jokic PF Kevin Love PG Eric Bledsoe G Donovan Mitchell F Derrick Favors SF Justin Holiday SG Joe Ingles C Tyson Chandler",NA,"Jimmy Butler","G","21.63%",45.25
15,935724504,"ChipotleAddict (19/24)",0,282.5,"C Karl-Anthony Towns SG Bradley Beal PF Kevin Love PG Eric Bledsoe SF Justin Holiday G Ricky Rubio F Joe Ingles UTIL Garrett Temple",NA,"Will Barton","SF","21.63%",14.5
17,935854868,"getoffme2312 (11/12)",0,282.25,"F Giannis Antetokounmpo PF Kevin Love SG Eric Bledsoe PG Donovan Mitchell C Derrick Favors G Gary Harris SF Josh Jackson UTIL Frank Mason III",NA,"Justin Holiday","G","21.50%",49.25
18,935771605,"EmileHeskey (10/24)",0,281.25,"SG Bradley Beal UTIL Jimmy Butler F Kevin Love PF Lauri Markkanen G Kris Dunn SF Justin Holiday C Robin Lopez PG Tim Frazier",NA,"Kenneth Faried","C","21.50%",20
19,935845373,"getoffme2312 (4/12)",0,281,"F Devin Booker PF Kevin Love PG Eric Bledsoe SG Donovan Mitchell SF Otto Porter G Gary Harris C Marcin Gortat UTIL John Henson",NA,"Marcin Gortat","C","20.00%",19.25
20,935846092,"gosixersgo76 (3/8)",0,280.75,"C Karl-Anthony Towns PF Kevin Love SF Otto Porter SG Will Barton UTIL Derrick Favors G Justin Holiday F Willie Cauley-Stein PG Tim Frazier",NA,"LeBron James","F","19.75%",58
21,936438975,"BrandonAdams (19/24)",0,280,"G Devin Booker SF T.J. Warren UTIL Kevin Love PF Lauri Markkanen SG Kris Dunn F Denzel Valentine PG Mike James C Tyson Chandler",NA,"Donovan Mitchell","UTIL","15.50%",26.75
22,935771609,"EmileHeskey (14/24)",0,279.75,"PF LeBron James F Kevin Love PG Eric Bledsoe SG Denzel Valentine SF Justin Holiday C Marcin Gortat UTIL John Henson G George Hill",NA,"Lauri Markkanen","PF","14.00%",27
23,935771612,"EmileHeskey (17/24)",0,279.5,"C Karl-Anthony Towns SG Bradley Beal PF Kevin Love PG Kris Dunn G Denzel Valentine F Justin Holiday UTIL Marcin Gortat SF Kyle Korver",NA,"Robin Lopez","C","10.25%",24.25
24,935771603,"EmileHeskey (8/24)",0,279,"C Karl-Anthony Towns UTIL Kevin Love PF Lauri Markkanen G Eric Bledsoe SF Denzel Valentine F Justin Holiday SG Gary Harris PG Tim Frazier",NA,"Tyler Johnson","PG","8.75%",6.25
25,936259282,"easton136",0,278.5,"SF LeBron James PG Eric Bledsoe PF Otto Porter UTIL James Johnson F Justin Holiday SG Gary Harris C Marcin Gortat G J.R. Smith",NA,"Rodney Hood","SF","8.38%",0
26,936091331,"ianj300 (3/6)",0,277,"F Giannis Antetokounmpo PF Kevin Love SF Otto Porter SG Justin Holiday C Zach Randolph G Ricky Rubio UTIL John Henson PG Tim Frazier",NA,"Kris Dunn","G","8.25%",48.5
26,936442337,"berger223",0,277,"PF LeBron James F Kevin Love SF Otto Porter SG Justin Holiday PG Ricky Rubio C Marcin Gortat G Joe Ingles UTIL Tyson Chandler",NA,"Frank Mason III","PG","7.63%",21.5
