"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,936984742,"mjamison00 (1/7)",0,300.5,"G Courtney Lee UTIL Dion Waiters PF Enes Kanter C Dwight Howard PG Kyle Lowry F Serge Ibaka SG DeMar DeRozan SF Jeremy Lamb",NA,"Kristaps Porzingis","PF","90.40%",3.5
1,937113562,"hazeleyez4u22",0,300.5,"UTIL Courtney Lee SF Dion Waiters PF Enes Kanter C Dwight Howard PG Kyle Lowry F Serge Ibaka SG DeMar DeRozan G Jeremy Lamb",NA,"Kyle Lowry","PG","74.57%",55.75
1,937159020,"gordoloc213 (2/3)",0,300.5,"F Courtney Lee SF Dion Waiters C Enes Kanter UTIL Dwight Howard PG Kyle Lowry PF Serge Ibaka SG DeMar DeRozan G Jeremy Lamb",NA,"Tim Hardaway Jr.","SF","72.67%",16.5
4,936883829,"bubs86",0,299.5,"SF Courtney Lee F Dion Waiters PF Enes Kanter C Dwight Howard PG Kyle Lowry SG DeMar DeRozan G Jeremy Lamb UTIL Michael Carter-Williams",NA,"Dwight Howard","C","62.15%",42
5,937251321,"bigsyke (6/9)",0,298.25,"F Courtney Lee SF Dion Waiters PF Enes Kanter UTIL Dwight Howard PG Kyle Lowry SG DeMar DeRozan G Jeremy Lamb C Jonas Valanciunas",NA,"Jeremy Lamb","SG","55.81%",30.75
6,937411917,"Shatzy1 (6/20)",0,293.25,"G Courtney Lee SF Dion Waiters PF Enes Kanter SG Josh Richardson C Dwight Howard PG Kyle Lowry F Nicolas Batum UTIL DeMar DeRozan",NA,"Courtney Lee","F","50.35%",34.75
7,937485091,"jsnike26 (6/11)",0,293,"UTIL Courtney Lee PF Enes Kanter C Dwight Howard PG Kyle Lowry F Serge Ibaka SF Nicolas Batum SG DeMar DeRozan G Jeremy Lamb",NA,"Goran Dragic","PG","45.69%",13
8,937083080,"Willa1979 (3/5)",0,288.75,"UTIL Courtney Lee SF Tim Hardaway Jr. PF Enes Kanter C Dwight Howard G Kyle Lowry SG DeMar DeRozan F Jeremy Lamb PG Michael Carter-Williams",NA,"Dion Waiters","F","45.17%",27.25
9,937411913,"Shatzy1 (2/20)",0,288.5,"SG Courtney Lee F Dion Waiters PF Enes Kanter C Dwight Howard UTIL Kyle Lowry SF Nicolas Batum G DeMar DeRozan PG Michael Carter-Williams",NA,"Nicolas Batum","SG","30.96%",19.75
9,937541150,"zanelane (9/20)",0,288.5,"F Courtney Lee SF Dion Waiters PF Enes Kanter C Dwight Howard PG Kyle Lowry SG Nicolas Batum UTIL DeMar DeRozan G Michael Carter-Williams",NA,"Serge Ibaka","F","28.42%",22.5
11,937531010,"Tank11Big (9/9)",0,287.5,"SF Courtney Lee G Goran Dragic PF Enes Kanter C Dwight Howard PG Kyle Lowry SG DeMar DeRozan F Jeremy Lamb UTIL Fred VanVleet",NA,"DeMar DeRozan","SG","27.80%",43.5
11,937582388,"transjeff",0,287.5,"F Courtney Lee SF Tim Hardaway Jr. PF Enes Kanter C Dwight Howard PG Kyle Lowry SG DeMar DeRozan G Jeremy Lamb UTIL Jonas Valanciunas",NA,"Michael Carter-Williams","G","27.67%",21.5
13,937092125,"htwonjoe (16/20)",0,287,"SF Courtney Lee F Kyle O'Quinn G Tim Hardaway Jr. PF Enes Kanter C Dwight Howard PG Kyle Lowry SG DeMar DeRozan UTIL Jeremy Lamb",NA,"James Johnson","UTIL","25.86%",17.5
