"Place_lo","Place_hi","Payout"
"1","1","5000"
"2","2","4000"
"3","3","3000"
"4","4","2000"
"5","5","1500"
"6","6","1000"
"7","8","750"
"9","10","500"
"11","15","350"
"16","20","250"
"21","30","200"
"31","40","150"
"41","50","100"
"51","75","80"
"76","100","60"
"101","125","50"
"126","150","40"
"151","200","35"
"201","250","30"
"251","300","25"
"301","400","20"
"401","500","15"
"501","750","12"
"751","1250","10"
"1251","2000","9"
"2001","3000","8"
"3001","5000","7"
"5001","8500","6"
"8501","14900","5"
