"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,937668651,"timd1984",0,317.75,"UTIL Draymond Green SF Brandon Ingram PG Lonzo Ball F Trevor Booker PF Harrison Barnes C LaMarcus Aldridge SG Tyreke Evans G Andrew Harrison",NA,"Harrison Barnes","PF","71.83%",39.5
2,937461567,"PowerTron (1/20)",0,311.75,"C Draymond Green G Kentavious Caldwell-Pope SG Brandon Ingram UTIL J.J. Barea F Trevor Booker SF Harrison Barnes PG Spencer Dinwiddie PF LaMarcus Aldridge",NA,"LaMarcus Aldridge","C","53.24%",53
3,937329562,"McGurk13",0,309.5,"C Draymond Green SG Brandon Ingram G Lonzo Ball UTIL J.J. Barea F DeMarre Carroll SF Harrison Barnes PF LaMarcus Aldridge PG Kyle Anderson",NA,"Tyreke Evans","G","49.12%",32.75
4,936934146,"ConceptTheGreat (2/20)",0,309.25,"SG Klay Thompson C Draymond Green UTIL Jordan Clarkson G Kentavious Caldwell-Pope F Dwight Powell SF Harrison Barnes PG Spencer Dinwiddie PF LaMarcus Aldridge",NA,"Stephen Curry","PG","39.02%",43.75
4,936934148,"ConceptTheGreat (4/20)",0,309.25,"SG Klay Thompson C Draymond Green UTIL Jordan Clarkson G Kentavious Caldwell-Pope F Dwight Powell SF Harrison Barnes PG Spencer Dinwiddie PF LaMarcus Aldridge",NA,"Marc Gasol","UTIL","38.60%",27
4,936934150,"ConceptTheGreat (6/20)",0,309.25,"SG Klay Thompson C Draymond Green UTIL Jordan Clarkson G Kentavious Caldwell-Pope F Dwight Powell SF Harrison Barnes PG Spencer Dinwiddie PF LaMarcus Aldridge",NA,"Dennis Smith Jr.","SG","36.84%",16
4,936934152,"ConceptTheGreat (8/20)",0,309.25,"SG Klay Thompson C Draymond Green UTIL Jordan Clarkson G Kentavious Caldwell-Pope F Dwight Powell SF Harrison Barnes PG Spencer Dinwiddie PF LaMarcus Aldridge",NA,"Spencer Dinwiddie","G","36.25%",34.25
4,936934156,"ConceptTheGreat (10/20)",0,309.25,"SG Klay Thompson C Draymond Green UTIL Jordan Clarkson G Kentavious Caldwell-Pope F Dwight Powell SF Harrison Barnes PG Spencer Dinwiddie PF LaMarcus Aldridge",NA,"Dirk Nowitzki","F","31.62%",21.25
4,936934162,"ConceptTheGreat (12/20)",0,309.25,"SG Klay Thompson C Draymond Green UTIL Jordan Clarkson G Kentavious Caldwell-Pope F Dwight Powell SF Harrison Barnes PG Spencer Dinwiddie PF LaMarcus Aldridge",NA,"Draymond Green","F","30.70%",50.25
4,936940978,"ConceptTheGreat (14/20)",0,309.25,"SG Klay Thompson C Draymond Green UTIL Jordan Clarkson G Kentavious Caldwell-Pope F Dwight Powell SF Harrison Barnes PG Spencer Dinwiddie PF LaMarcus Aldridge",NA,"Trevor Booker","C","30.19%",31.5
4,936940980,"ConceptTheGreat (16/20)",0,309.25,"SG Klay Thompson C Draymond Green UTIL Jordan Clarkson G Kentavious Caldwell-Pope F Dwight Powell SF Harrison Barnes PG Spencer Dinwiddie PF LaMarcus Aldridge",NA,"Klay Thompson","SG","28.93%",28.75
4,936940991,"ConceptTheGreat (18/20)",0,309.25,"SG Klay Thompson C Draymond Green UTIL Jordan Clarkson G Kentavious Caldwell-Pope F Dwight Powell SF Harrison Barnes PG Spencer Dinwiddie PF LaMarcus Aldridge",NA,"Kyle Anderson","F","28.34%",25.5
4,936940997,"ConceptTheGreat (20/20)",0,309.25,"SG Klay Thompson C Draymond Green UTIL Jordan Clarkson G Kentavious Caldwell-Pope F Dwight Powell SF Harrison Barnes PG Spencer Dinwiddie PF LaMarcus Aldridge",NA,"Kentavious Caldwell-Pope","SG","25.82%",31.75
14,937207214,"TooBadSoSad (3/20)",0,308.75,"F Brandon Ingram UTIL Lonzo Ball PF Trevor Booker SF Harrison Barnes PG Spencer Dinwiddie SG Caris LeVert C LaMarcus Aldridge G Tyreke Evans",NA,"Kevin Durant","SF","24.81%",47.75
