"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","James Harden",11600,"IND@HOU 11/29/2017 08:00PM ET",57.813,"HOU","IND",57.31,57.7,59
"PG","Russell Westbrook",11200,"OKC@ORL 11/29/2017 07:00PM ET",51.868,"OKC","ORL",54.77,57.5,69.75
"PF/C","DeMarcus Cousins",11000,"MIN@NO 11/29/2017 08:00PM ET",55.675,"NO","MIN",55.19,55.9,42.5
"PF/C","Anthony Davis",10800,"MIN@NO 11/29/2017 08:00PM ET",50.908,"NO","MIN",51.07,52.5,22.25
"C","Joel Embiid",9800,"WAS@PHI 11/29/2017 07:00PM ET",45.559,"PHI","WAS",46.76,49.4,58.5
"PG/SF","Ben Simmons",9700,"WAS@PHI 11/29/2017 07:00PM ET",45.736,"PHI","WAS",45.61,47.8,66
"PG/SG","Stephen Curry",9600,"GS@LAL 11/29/2017 10:30PM ET",46.355,"GS","LAL",50.26,49.3,43.75
"SF/PF","Kevin Durant",9300,"GS@LAL 11/29/2017 10:30PM ET",45.719,"GS","LAL",46.35,48.6,47.75
"C","Andre Drummond",9200,"PHO@DET 11/29/2017 07:00PM ET",43.934,"DET","PHO",48.87,47.5,35.25
"C","Karl-Anthony Towns",8700,"MIN@NO 11/29/2017 08:00PM ET",42.35,"MIN","NO",39.66,45,27
"SF","Paul George",8600,"OKC@ORL 11/29/2017 07:00PM ET",39.566,"OKC","ORL",40.27,41.4,37.75
"PG","John Wall",8500,"WAS@PHI 11/29/2017 07:00PM ET",42.313,"WAS","PHI",0,0,0
"PG/SG","Victor Oladipo",8400,"IND@HOU 11/29/2017 08:00PM ET",39.938,"IND","HOU",40.03,38,43.75
"C","Marc Gasol",8300,"MEM@SA 11/29/2017 08:30PM ET",40.921,"MEM","SA",42.17,40.1,27
"PF/C","Kristaps Porzingis",8200,"MIA@NY 11/29/2017 07:30PM ET",43.208,"NY","MIA",0,0,0
"SF/PF","Kawhi Leonard",8200,"MEM@SA 11/29/2017 08:30PM ET",0,"SA","MEM",0,0,0
"PG/SG","Chris Paul",8100,"IND@HOU 11/29/2017 08:00PM ET",38.167,"HOU","IND",40.68,42.5,31
"SG","Bradley Beal",8100,"WAS@PHI 11/29/2017 07:00PM ET",38.553,"WAS","PHI",41.44,38.3,31.5
"PF/C","LaMarcus Aldridge",8100,"MEM@SA 11/29/2017 08:30PM ET",40.075,"SA","MEM",37.16,38.6,53
"C","Hassan Whiteside",8000,"MIA@NY 11/29/2017 07:30PM ET",37.054,"MIA","NY",0,0,0
"SG/SF","DeMar DeRozan",7900,"CHA@TOR 11/29/2017 07:30PM ET",37.237,"TOR","CHA",39.14,37,43.5
"PG","Kyle Lowry",7800,"CHA@TOR 11/29/2017 07:30PM ET",37.053,"TOR","CHA",39.64,38.6,55.75
"SG/SF","Devin Booker",7700,"PHO@DET 11/29/2017 07:00PM ET",35.938,"PHO","DET",34.81,34.2,26.5
"PG","Goran Dragic",7600,"MIA@NY 11/29/2017 07:30PM ET",33.039,"MIA","NY",34.91,33.3,13
"PG","Kemba Walker",7500,"CHA@TOR 11/29/2017 07:30PM ET",38.289,"CHA","TOR",0,0,0
"SG","Klay Thompson",7400,"GS@LAL 11/29/2017 10:30PM ET",33.452,"GS","LAL",33.88,35,28.75
"C","Clint Capela",7400,"IND@HOU 11/29/2017 08:00PM ET",34.425,"HOU","IND",35.37,34.6,44.25
"SG","Jimmy Butler",7400,"MIN@NO 11/29/2017 08:00PM ET",34.569,"MIN","NO",36.52,40,30
"PF/C","Draymond Green",7300,"GS@LAL 11/29/2017 10:30PM ET",34.075,"GS","LAL",35.43,37,50.25
"C","Nikola Vucevic",7300,"OKC@ORL 11/29/2017 07:00PM ET",35.94,"ORL","OKC",33.78,35.9,34.25
"PG","D'Angelo Russell",7200,"BKN@DAL 11/29/2017 08:30PM ET",36.458,"BKN","DAL",0,0,0
"SF/PF","TJ Warren",7100,"PHO@DET 11/29/2017 07:00PM ET",30.905,"PHO","DET",34.3,33.2,11
"C","Dwight Howard",7100,"CHA@TOR 11/29/2017 07:30PM ET",35.605,"CHA","TOR",37.72,34.2,42
"SF/PF","Carmelo Anthony",7000,"OKC@ORL 11/29/2017 07:00PM ET",33.847,"OKC","ORL",33.09,34.3,30.75
"SF/PF","Aaron Gordon",7000,"OKC@ORL 11/29/2017 07:00PM ET",34.711,"ORL","OKC",33.61,33.3,78.75
"SF/PF","Andrew Wiggins",7000,"MIN@NO 11/29/2017 08:00PM ET",30.438,"MIN","NO",31.98,31.4,48
"PG/SG","Spencer Dinwiddie",6900,"BKN@DAL 11/29/2017 08:30PM ET",26.3,"BKN","DAL",33.3,33.6,34.25
"PG","Lonzo Ball",6800,"GS@LAL 11/29/2017 10:30PM ET",32.85,"LAL","GS",30.69,33.5,36.5
"SF/PF","Otto Porter",6700,"WAS@PHI 11/29/2017 07:00PM ET",32.819,"WAS","PHI",34.01,31.9,21
"PG","Jeff Teague",6600,"MIN@NO 11/29/2017 08:00PM ET",33.167,"MIN","NO",30.99,0,0
"SG/SF","Tyreke Evans",6600,"MEM@SA 11/29/2017 08:30PM ET",32.066,"MEM","SA",35.92,33,32.75
"SF/PF","Tobias Harris",6500,"PHO@DET 11/29/2017 07:00PM ET",31.105,"DET","PHO",34.08,33.8,31.25
"SG/SF","Tim Hardaway",6500,"MIA@NY 11/29/2017 07:30PM ET",31.975,"NY","MIA",0,0,0
"PG/SG","Jrue Holiday",6500,"MIN@NO 11/29/2017 08:00PM ET",31.563,"NO","MIN",29.96,31.3,42.75
"PG","Mike Conley",6500,"MEM@SA 11/29/2017 08:30PM ET",28.771,"MEM","SA",0,0,0
"SG/SF","Dion Waiters",6400,"MIA@NY 11/29/2017 07:30PM ET",25.971,"MIA","NY",31.44,29.8,27.25
"C","Myles Turner",6300,"IND@HOU 11/29/2017 08:00PM ET",30.536,"IND","HOU",29.87,32.3,36.5
"SF/PF","Robert Covington",6200,"WAS@PHI 11/29/2017 07:00PM ET",30.632,"PHI","WAS",30.09,30.4,28.5
"PF/C","Pau Gasol",6200,"MEM@SA 11/29/2017 08:30PM ET",30.038,"SA","MEM",27.65,29,19
"PG/SG","Avery Bradley",6100,"PHO@DET 11/29/2017 07:00PM ET",26.211,"DET","PHO",28.18,28.5,26
"PF","James Johnson",6100,"MIA@NY 11/29/2017 07:30PM ET",27.889,"MIA","NY",29.67,28.2,17.5
