"Place_lo","Place_hi","Payout"
"1","1","1e+05"
"2","2","40000"
"3","3","20000"
"4","4","10000"
"5","5","7000"
"6","6","5000"
"7","8","4000"
"9","10","3000"
"11","15","2000"
"16","20","1500"
"21","30","1000"
"31","40","700"
"41","60","500"
"61","90","400"
"91","130","300"
"131","170","200"
"171","220","100"
"221","320","80"
"321","470","60"
"471","670","50"
"671","870","40"
"871","1170","35"
"1171","1470","30"
"1471","1970","25"
"1971","2685","20"
"2686","4685","18"
"4686","9285","16"
"9286","18685","14"
