"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","Giannis Antetokounmpo",11100,"MIL@POR 11/30/2017 10:00PM ET",55.236,"MIL"
"PG","Damian Lillard",8500,"MIL@POR 11/30/2017 10:00PM ET",44.381,"POR"
"PF/C","Blake Griffin",8500,"UTA@LAC 11/30/2017 10:30PM ET",43.763,"LAC"
"C","Rudy Gobert",7500,"UTA@LAC 11/30/2017 10:30PM ET",35.042,"UTA"
"PG/SG","Lou Williams",7300,"UTA@LAC 11/30/2017 10:30PM ET",30.092,"LAC"
"C","DeAndre Jordan",7100,"UTA@LAC 11/30/2017 10:30PM ET",31.632,"LAC"
"PG/SG","Donovan Mitchell",6900,"UTA@LAC 11/30/2017 10:30PM ET",27.238,"UTA"
"PG/SG","Eric Bledsoe",6800,"MIL@POR 11/30/2017 10:00PM ET",31.875,"MIL"
"PG/SG","C.J. McCollum",6700,"MIL@POR 11/30/2017 10:00PM ET",33.913,"POR"
"C","Jusuf Nurkic",6700,"MIL@POR 11/30/2017 10:00PM ET",30.595,"POR"
"PF/C","Derrick Favors",6600,"UTA@LAC 11/30/2017 10:30PM ET",26.464,"UTA"
"SG/SF","Khris Middleton",6500,"MIL@POR 11/30/2017 10:00PM ET",34.895,"MIL"
"SF","Danilo Gallinari",5700,"UTA@LAC 11/30/2017 10:30PM ET",24.806,"LAC"
"PG","Ricky Rubio",5700,"UTA@LAC 11/30/2017 10:30PM ET",27.888,"UTA"
"SG/SF","Rodney Hood",5700,"UTA@LAC 11/30/2017 10:30PM ET",25.986,"UTA"
"PG/SG","Austin Rivers",5500,"UTA@LAC 11/30/2017 10:30PM ET",24.316,"LAC"
"SF/PF","Jabari Parker",5100,"MIL@POR 11/30/2017 10:00PM ET",0,"MIL"
"PG/SG","Malcolm Brogdon",5000,"MIL@POR 11/30/2017 10:00PM ET",25,"MIL"
"PG/SG","Patrick Beverley",5000,"UTA@LAC 11/30/2017 10:30PM ET",25.977,"LAC"
"SG/SF","Joe Ingles",4900,"UTA@LAC 11/30/2017 10:30PM ET",24.369,"UTA"
"C","John Henson",4700,"MIL@POR 11/30/2017 10:00PM ET",20.986,"MIL"
"SF/PF","Al-Farouq Aminu",4600,"MIL@POR 11/30/2017 10:00PM ET",24.028,"POR"
"SF/PF","Wesley Johnson",4400,"UTA@LAC 11/30/2017 10:30PM ET",17.921,"LAC"
"PF/C","Noah Vonleh",4000,"MIL@POR 11/30/2017 10:00PM ET",18.018,"POR"
"SF/PF","Jonas Jerebko",4000,"UTA@LAC 11/30/2017 10:30PM ET",12.797,"UTA"
"PG/SG","Milos Teodosic",4000,"UTA@LAC 11/30/2017 10:30PM ET",13.125,"LAC"
"SG/SF","Evan Turner",3900,"MIL@POR 11/30/2017 10:00PM ET",18.238,"POR"
"SG/SF","Thabo Sefolosha",3900,"UTA@LAC 11/30/2017 10:30PM ET",17.425,"UTA"
"SG/SF","Tony Snell",3800,"MIL@POR 11/30/2017 10:00PM ET",17.645,"MIL"
"PF/C","Thon Maker",3800,"MIL@POR 11/30/2017 10:00PM ET",13.237,"MIL"
"PG/SG","Shabazz Napier",3600,"MIL@POR 11/30/2017 10:00PM ET",13.897,"POR"
"SG/SF","Joe Johnson",3600,"UTA@LAC 11/30/2017 10:30PM ET",11.656,"UTA"
"PG/SG","Alec Burks",3600,"UTA@LAC 11/30/2017 10:30PM ET",13.875,"UTA"
"PG/SF","DeAndre Liggins",3500,"MIL@POR 11/30/2017 10:00PM ET",7.797,"MIL"
"SF/PF","Maurice Harkless",3500,"MIL@POR 11/30/2017 10:00PM ET",14.333,"POR"
"PF","Caleb Swanigan",3500,"MIL@POR 11/30/2017 10:00PM ET",8.038,"POR"
"SF/PF","Sam Dekker",3500,"UTA@LAC 11/30/2017 10:30PM ET",7.266,"LAC"
"PF/C","Montrezl Harrell",3500,"UTA@LAC 11/30/2017 10:30PM ET",9.538,"LAC"
"SG/SF","Pat Connaughton",3400,"MIL@POR 11/30/2017 10:00PM ET",12.095,"POR"
"PF/C","Ed Davis",3300,"MIL@POR 11/30/2017 10:00PM ET",17.417,"POR"
"PG/SG","Matthew Dellavedova",3200,"MIL@POR 11/30/2017 10:00PM ET",12.962,"MIL"
"PF/C","Meyers Leonard",3200,"MIL@POR 11/30/2017 10:00PM ET",9.5,"POR"
"SF/PF","Mirza Teletovic",3200,"MIL@POR 11/30/2017 10:00PM ET",13.175,"MIL"
"PG","Raul Neto",3200,"UTA@LAC 11/30/2017 10:30PM ET",10.571,"UTA"
"SG","Sindarius Thornwell",3200,"UTA@LAC 11/30/2017 10:30PM ET",8.487,"LAC"
"PG/SG","Jason Terry",3000,"MIL@POR 11/30/2017 10:00PM ET",4.958,"MIL"
"SG/SF","C.J. Wilcox",3000,"MIL@POR 11/30/2017 10:00PM ET",0,"POR"
"PF","Joel Bolomboy",3000,"MIL@POR 11/30/2017 10:00PM ET",3.6,"MIL"
"SF/PF","Jake Layman",3000,"MIL@POR 11/30/2017 10:00PM ET",3.583,"POR"
"SG","Sterling Brown",3000,"MIL@POR 11/30/2017 10:00PM ET",4.45,"MIL"
"PF/C","D.J. Wilson",3000,"MIL@POR 11/30/2017 10:00PM ET",2.179,"MIL"
"PG/SG","Wade Baldwin IV",3000,"MIL@POR 11/30/2017 10:00PM ET",0,"POR"
"SG","Gary Payton II",3000,"MIL@POR 11/30/2017 10:00PM ET",4.667,"MIL"
"PG/SF","Rashad Vaughn",3000,"MIL@POR 11/30/2017 10:00PM ET",5.344,"MIL"
"PF/C","Zach Collins",3000,"MIL@POR 11/30/2017 10:00PM ET",1.833,"POR"
"PF/C","Ekpe Udoh",3000,"UTA@LAC 11/30/2017 10:30PM ET",11.333,"UTA"
"SG","C.J. Williams",3000,"UTA@LAC 11/30/2017 10:30PM ET",4.417,"LAC"
"C","Willie Reed",3000,"UTA@LAC 11/30/2017 10:30PM ET",11.056,"LAC"
"SF/PF","Jamil Wilson",3000,"UTA@LAC 11/30/2017 10:30PM ET",1.25,"LAC"
