"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,938215637,"sjames922",0,306.75,"SF LeBron James SG Lou Williams PG Eric Bledsoe F Robert Covington UTIL Dwyane Wade C Dario Saric PF Amir Johnson G Alec Burks",NA,"Dario Saric","F","77.37%",38.5
2,938442797,"newmski77",0,306.5,"F Giannis Antetokounmpo SG Lou Williams C Jusuf Nurkic SF Denzel Valentine UTIL Dwyane Wade PF Dario Saric G Taurean Prince PG Alec Burks",NA,"Ben Simmons","PG","68.60%",40.5
3,938367916,"Awesemo (7/15)",0,305.25,"SF Giannis Antetokounmpo PG Ben Simmons SG Donovan Mitchell UTIL Ricky Rubio F Dario Saric C John Henson PF Amir Johnson G Alec Burks",NA,"John Collins","PF","68.46%",27.75
4,938367924,"Awesemo (15/15)",0,305,"F Giannis Antetokounmpo PG Ben Simmons SG Donovan Mitchell UTIL Ricky Rubio C Dario Saric SF Marcus Morris PF Amir Johnson G Alec Burks",NA,"Lou Williams","G","65.55%",34.5
5,938367912,"Awesemo (3/15)",0,304.75,"SF Ben Simmons SG Lou Williams UTIL Donovan Mitchell C Al Horford G Ricky Rubio F John Collins PF Dario Saric PG Alec Burks",NA,"LeBron James","SF","47.35%",59
6,938511529,"baralufficus",0,303.75,"SF Ben Simmons F Kevin Love SG Lou Williams PF Derrick Favors PG Ricky Rubio C Dario Saric UTIL Wesley Johnson G Alec Burks",NA,"Juancho Hernangómez","UTIL","41.48%",4.75
7,938606277,"NDB207",0,302.75,"SF LeBron James PG Dennis Schroder PF Lauri Markkanen G Kris Dunn SG Dwyane Wade C John Collins UTIL Alec Burks F Montrezl Harrell",NA,"Amir Johnson","C","35.32%",25
8,938367913,"Awesemo (4/15)",0,301.5,"F LeBron James SG Lou Williams UTIL Donovan Mitchell G Ricky Rubio SF Marcus Smart PF Dario Saric C John Henson PG Alec Burks",NA,"Jerryd Bayless","G","32.92%",18.5
9,938367920,"Awesemo (11/15)",0,301.25,"PF LeBron James SG Lou Williams UTIL Donovan Mitchell G Ricky Rubio F Marcus Smart C Dario Saric SF Marcus Morris PG Alec Burks",NA,"Ricky Rubio","UTIL","28.93%",31.25
10,938154148,"bobo1977 (1/8)",0,300,"SF LeBron James F Giannis Antetokounmpo PG Lou Williams G Gary Harris C Amir Johnson SG Alec Burks PF Montrezl Harrell UTIL Jerryd Bayless",NA,"Nikola Jokic","C","27.77%",19
