Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
LeBron James,9,,SF/PF,11800,CLE,@CHI,1,109,31,31,99,109,6%,17,18,19,38,35,38,61.5,57.1,43.3,70.9,36.5,53.9,4.6,34.3,44.8,3.8
DeMarcus Cousins,23,,PF/C,11000,NOR,GSW,1,110,32,23,104,102,3%,25,17,19,37,35,36,45.1,55.9,44.5,67.2,36.0,58.3,5.3,32,58.8,5.3
Giannis Antetokounmpo,10,,SF/PF,10600,MIL,@BOS,1,99,31,31,98,99,-4%,18,19,21,35,38,38,53.3,56.1,48.7,63.5,37.0,53.4,5.0,39.1,55.3,5.2
Anthony Davis,,O,PF/C,10100,NOR,GSW,1,110,25,29,104,102,3%,14,16,17,25,30,36,41.8,51.2,37.7,64.7,0.0,0.0,0.0,0,0.0,0.0
Ben Simmons,25,,PG/SF,9800,PHI,PHO,1,119,25,19,105,110,17%,10,13,15,40,39,36,42.4,46.3,36.4,56.3,37.0,52.0,5.3,36.2,51.0,5.2
Joel Embiid,20,,C,9800,PHI,PHO,1,119,33,23,105,110,2%,18,19,17,32,31,30,46.8,45.8,32.1,59.6,32.0,53.6,5.5,34,49.5,5.1
Stephen Curry,12,,PG/SG,9400,GSW,@NOR,0,119,31,27,102,106,3%,18,20,18,32,33,33,47.3,46.4,38.3,54.5,33.0,47.5,5.1,34.5,58.8,6.3
Kevin Durant,22,,SF/PF,9000,GSW,@NOR,0,119,27,24,102,106,11%,16,19,17,29,33,34,42.1,45.5,38.5,52.4,34.0,48.6,5.4,34.6,38.3,4.3
Andre Drummond,9,,C,8800,DET,@SAS,1,99,21,23,97,101,0%,9,10,10,36,35,34,50.5,44.7,34.3,55.1,34.5,43.4,4.9,31.7,41.3,4.7
Victor Oladipo,8,,PG/SG,8700,IND,NYK,2,111,29,23,99,105,2%,21,18,18,37,34,34,51.1,41.3,29.3,53.3,35.0,41.9,4.8,29.5,33.8,3.9
Nikola Jokic,,O,C,8500,DEN,@DAL,1,104,22,25,98,106,0%,7,11,12,21,28,30,36.5,41.1,26.8,55.3,0.0,0.0,0.0,0,0.0,0.0
John Wall,,O,PG,8500,WAS,@UTA,2,97,29,22,98,102,-2%,20,16,17,36,35,35,37.8,43.0,33.8,52.2,0.0,0.0,0.0,0,0.0,0.0
Kyrie Irving,5,,PG,8500,BOS,MIL,1,104,30,25,98,105,-8%,18,17,18,32,32,33,38.6,40.2,31.4,49.0,34.0,39.4,4.6,33.7,42.0,4.9
Kristaps Porzingis,,O,PF/C,8400,NYK,@IND,0,101,32,25,101,107,8%,17,18,20,35,34,33,38.2,43.2,31.7,54.7,0.0,0.0,0.0,0,0.0,0.0
LaMarcus Aldridge,5,P,PF/C,8300,SAS,DET,0,103,27,26,99,105,0%,21,17,18,34,33,34,40.8,40.8,30.7,50.8,34.5,39.1,4.7,35.1,37.5,4.5
Karl-Anthony Towns,2,,C,8300,MIN,@MEM,0,102,23,23,97,104,-2%,15,18,15,36,38,36,42.1,43.3,34.8,51.9,38.0,42.6,5.1,37.6,27.8,3.3
Kevin Love,6,,PF/C,8200,CLE,@CHI,1,109,25,24,99,109,3%,14,12,13,32,29,30,39.6,38.9,27.2,50.5,31.0,37.8,4.6,22.9,45.3,5.5
Marc Gasol,12,,C,8100,MEM,MIN,1,99,27,18,99,108,-1%,20,16,16,38,35,35,39.4,40.9,29.8,51.9,36.0,40.9,5.0,35,38.8,4.8
Kawhi Leonard,,O,SF/PF,8000,SAS,DET,0,103,,,99,105,10%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Dennis Schroder,11,,PG,8000,ATL,BKN,1,111,30,19,105,108,9%,22,19,18,32,32,33,34.5,35.5,27.7,43.2,33.5,42.2,5.3,30.5,31.3,3.9
Aaron Gordon,8,,SF/PF,7900,ORL,@CHA,0,106,20,22,101,105,4%,17,15,13,38,39,34,45.0,37.1,23.4,50.8,37.0,36.7,4.6,35.5,30.0,3.8
Devin Booker,19,,SG/SF,7800,PHO,@PHI,1,109,29,19,104,103,1%,19,19,18,33,34,34,37.5,36.9,24.1,49.8,35.0,36.8,4.7,38.9,64.5,8.3
Dwight Howard,7,,C,7700,CHA,ORL,2,113,24,18,103,108,3%,11,12,10,26,30,30,43.4,35.9,24.6,47.3,29.5,37.4,4.9,29.1,24.3,3.2
Al Horford,8,,PF/C,7600,BOS,MIL,1,104,19,20,98,105,-13%,11,11,10,33,33,33,36.9,35.5,29.1,42.0,33.0,35.0,4.6,34.7,44.8,5.9
Kemba Walker,22,,PG,7500,CHA,ORL,2,113,27,21,103,108,8%,17,17,17,34,36,35,34.1,38.3,27.0,49.6,33.5,38.6,5.1,34.2,50.5,6.7
Rudy Gobert,0,,C,7500,UTA,WAS,2,101,16,20,100,104,-3%,8,8,8,36,35,35,39.9,36.3,26.4,46.3,26.0,28.2,3.8,21.1,26.0,3.5
Draymond Green,4,,PF/C,7400,GSW,@NOR,0,119,17,16,102,106,2%,7,8,8,33,34,32,36.7,35.2,27.5,43.0,33.0,36.6,4.9,38.1,53.3,7.2
Bradley Beal,6,,SG,7400,WAS,@UTA,2,97,28,20,98,102,-7%,12,16,18,28,33,36,30.4,37.7,27.9,47.4,35.5,35.0,4.7,27.8,13.3,1.8
Tyreke Evans,12,,SG/SF,7300,MEM,MIN,1,99,26,22,99,108,8%,14,15,14,34,32,29,33.3,32.7,21.4,44.0,33.0,35.0,4.8,33.2,43.3,5.9
D'Angelo Russell,0,O,PG,7200,BKN,@ATL,1,110,35,20,100,108,5%,18,17,18,31,30,29,37.6,38.1,30.1,46.0,0.0,0.0,0.0,0,0.0,0.0
Nikola Vucevic,4,,C,7100,ORL,@CHA,0,106,23,19,101,105,-4%,13,14,14,30,32,30,38.5,36.0,23.7,48.3,32.0,36.1,5.1,27.4,34.5,4.9
Klay Thompson,4,,SG,7000,GSW,@NOR,0,119,22,19,102,106,3%,15,16,16,33,35,33,35.7,33.5,25.8,41.1,33.5,34.1,4.9,37,31.3,4.5
Spencer Dinwiddie,10,,PG/SG,7000,BKN,@ATL,1,110,22,18,100,108,5%,13,14,10,32,32,26,35.0,28.7,17.1,40.2,30.5,33.2,4.7,30.4,29.8,4.3
Will Barton,9,,SG/SF,6900,DEN,@DAL,1,104,22,18,98,106,-3%,15,14,12,32,34,30,36.4,29.8,18.2,41.5,32.0,30.0,4.3,41.3,46.0,6.7
Jimmy Butler,8,,SG,6900,MIN,@MEM,0,102,22,18,97,104,-5%,18,17,15,40,38,37,43.8,36.2,26.0,46.4,38.5,37.8,5.5,40,48.0,7.0
Donovan Mitchell,10,,PG/SG,6900,UTA,WAS,2,101,27,15,100,104,-2%,21,16,15,37,32,30,36.4,29.8,18.6,41.0,34.5,34.9,5.1,25.9,27.8,4.0
Tim Hardaway Jr.,,O,SG/SF,6800,NYK,@IND,0,101,23,16,101,107,-9%,15,17,15,34,36,35,32.8,32.1,17.4,46.9,0.0,0.0,0.0,0,0.0,0.0
Derrick Favors,1,,PF/C,6700,UTA,WAS,2,101,19,20,100,104,1%,9,10,10,31,31,29,39.8,28.3,16.8,39.8,28.0,28.1,4.2,24.7,23.5,3.5
T.J. Warren,6,,SF/PF,6700,PHO,@PHI,1,109,23,19,104,103,2%,14,15,16,29,33,32,27.9,31.6,19.1,44.1,35.0,35.3,5.3,34.4,43.0,6.4
Eric Bledsoe,3,,PG/SG,6700,MIL,@BOS,1,99,27,19,98,99,-10%,13,15,13,30,32,30,39.2,32.1,20.9,43.2,31.5,31.8,4.7,34.4,28.8,4.3
Otto Porter,8,,SF/PF,6600,WAS,@UTA,2,97,18,20,98,102,-6%,15,14,12,29,31,33,32.3,32.5,21.1,44.0,33.0,29.7,4.5,28.3,24.0,3.6
Harrison Barnes,6,,SF/PF,6600,DAL,DEN,1,106,23,15,100,106,-3%,10,13,15,33,34,35,31.9,32.2,24.4,39.9,35.5,34.0,5.2,36.3,40.5,6.1
Andrew Wiggins,1,,SF/PF,6500,MIN,@MEM,0,102,23,15,97,104,-21%,15,16,16,39,39,38,32.5,31.0,23.0,38.9,38.0,28.9,4.4,36.5,21.3,3.3
Isaiah Thomas,,O,PG,6500,CLE,@CHI,1,109,,,99,109,9%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Paul Millsap,,O,PF/C,6400,DEN,@DAL,1,104,24,18,98,106,-8%,15,14,13,31,33,31,39.5,33.0,21.1,45.0,0.0,0.0,0.0,0,0.0,0.0
Mike Conley,,O,PG,6400,MEM,MIN,1,99,26,16,99,108,3%,12,15,14,30,31,31,27.4,28.8,20.0,37.6,0.0,0.0,0.0,0,0.0,0.0
Tobias Harris,1,,SF/PF,6400,DET,@SAS,1,99,22,19,97,101,-6%,13,14,16,31,32,33,32.5,31.7,22.1,41.3,33.5,28.9,4.5,39.8,26.3,4.1
Jeff Teague,5,,PG,6400,MIN,@MEM,0,102,22,16,97,104,4%,8,10,12,35,36,35,33.5,34.2,23.8,44.5,34.0,31.9,5.0,32.1,15.3,2.4
Jrue Holiday,12,,PG/SG,6300,NOR,GSW,1,110,21,13,104,102,-2%,17,16,14,39,37,37,31.9,31.8,22.2,41.5,35.5,34.0,5.4,38,50.0,7.9
Khris Middleton,1,,SG/SF,6300,MIL,@BOS,1,99,24,16,98,99,-11%,16,17,16,35,38,37,37.5,35.8,21.8,49.7,35.0,31.9,5.1,41,42.5,6.7
Enes Kanter,19,,PF/C,6200,NYK,@IND,0,101,19,25,101,107,10%,11,9,10,28,29,26,35.4,31.8,22.2,41.5,29.0,33.9,5.5,18.9,16.0,2.6
Robert Covington,10,,SF/PF,6200,PHI,PHO,1,119,18,15,105,110,6%,16,12,12,35,32,33,28.3,31.9,21.5,42.2,35.0,35.3,5.7,33.8,28.5,4.6
Myles Turner,4,,C,6100,IND,NYK,2,111,20,17,99,105,-6%,13,11,11,33,30,29,29.3,30.8,21.2,40.4,33.0,34.9,5.7,25.5,22.3,3.7
Kris Dunn,5,,PG/SG,6100,CHI,CLE,2,101,25,13,100,108,5%,10,11,12,27,27,27,27.3,28.0,17.7,38.3,27.5,28.1,4.6,30.8,31.5,5.2
Lauri Markkanen,6,,PF,6100,CHI,CLE,2,101,21,14,100,108,0%,15,14,13,30,31,31,27.9,30.8,23.3,38.3,30.5,29.8,4.9,31.9,28.8,4.7
Elfrid Payton,11,,PG,6000,ORL,@CHA,0,106,23,18,101,105,-1%,11,11,10,32,30,28,37.1,30.5,19.5,41.5,30.5,33.7,5.6,31.9,27.5,4.6
