"player","salary","team","pos","opp","ceil","floor","fpts"
"OG Anunoby",3400,"TOR","SF/PF","GSW",15.5088,6.0312,10.77
"Fred VanVleet",4200,"TOR","PG","GSW",22.1712,7.5888,14.88
"Lucas Nogueira",3200,"TOR","PF","GSW",16.812,1.868,9.34
"Jakob Poeltl",3800,"TOR","PF/C","GSW",11.9808,3.3792,7.68
"C.J. Miles",3800,"TOR","SG/SF","GSW",25.477,9.423,17.45
"Delon Wright",5600,"TOR","PG/SG","GSW",29.4066,9.0334,19.22
"Jonas Valanciunas",5500,"TOR","C","GSW",33.1926,11.9674,22.58
"Pascal Siakam",4100,"TOR","PF","GSW",18.879,7.161,13.02
"Norman Powell",3700,"TOR","SG/SF","GSW",10.2546,2.4054,6.33
"Anthony Tolliver",3500,"DET","SF/PF","CHI",22.952,7.248,15.1
"Ish Smith",5500,"DET","PG","CHI",44.8127,20.6073,32.71
"Luke Kennard",3600,"DET","SG","CHI",14.2074,3.3326,8.77
"Tobias Harris",7000,"DET","SF/PF","CHI",41.977,22.603,32.29
"Andre Drummond",9400,"DET","C","CHI",62.103,35.697,48.9
"Kyle Lowry",7500,"TOR","PG","GSW",47.6397,26.2203,36.93
"Avery Bradley",5600,"DET","PG/SG","CHI",39.5733,17.3667,28.47
"Serge Ibaka",6200,"TOR","PF/C","GSW",43.3741,22.8459,33.11
"DeMar DeRozan",8900,"TOR","SG/SF","GSW",54.522,29.358,41.94
"Ian Mahinmi",3300,"WAS","C","BKN",27.2496,5.1904,16.22
"Tomas Satoransky ",3600,"WAS","PG/SG","BKN",19.159,4.641,11.9
"Kevin Durant",9700,"GSW","SF/PF","TOR",59.4336,37.2064,48.32
"Mike Scott",3700,"WAS","PF","BKN",18.1578,4.6822,11.42
"Markieff Morris",5000,"WAS","SF/PF","BKN",32.103,12.177,22.14
"Marcin Gortat",5100,"WAS","C","BKN",35.3004,15.8596,25.58
"Kelly Oubre",4400,"WAS","SG/SF","BKN",28.0308,11.7292,19.88
"Klay Thompson",6500,"GSW","SG","TOR",37.4043,23.4157,30.41
"Draymond Green",7600,"GSW","PF/C","TOR",48.7362,26.8238,37.78
"Patrick McCaw",3400,"GSW","PG/SF","TOR",15.7886,1.9514,8.87
"Kevon Looney",3200,"GSW","SF/PF","TOR",30.294,3.366,16.83
"Stephen Curry",10000,"GSW","PG/SG","TOR",50.7312,35.9888,43.36
"David West",3500,"GSW","PF/C","TOR",27.3581,13.7819,20.57
"Shaun Livingston",3600,"GSW","PG/SG","TOR",17.745,5.915,11.83
"Andre Iguodala",4300,"GSW","SG/SF","TOR",23.3016,11.7384,17.52
"Zaza Pachulia",3300,"GSW","C","TOR",23.141,8.559,15.85
"Reggie Bullock",4000,"DET","SG/SF","CHI",24.1892,5.4908,14.84
"Eric Moreland",3300,"DET","PF/C","CHI",11.659,1.441,6.55
"LaMarcus Aldridge",8700,"SAS","PF/C","DEN",46.8224,28.6976,37.76
"Kyle Anderson",5200,"SAS","PG/SF","DEN",22.0968,11.3832,16.74
"Dejounte Murray",4900,"SAS","PG","DEN",22.3446,4.4154,13.38
"Richard Jefferson",3000,"DEN","SF/PF","SAS",5.202,0.578,2.89
"Trey Lyles",6000,"DEN","SF/PF","SAS",44.3292,11.4308,27.88
