"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","TierRank"
"WR","Julio Jones (7147473)","Julio Jones",7147473,9400,"TB@Atl 01:00PM ET","Atl","Julio","Jones","TB",27.81,24.9,25.43,24.9,1
"WR","Odell Beckham (7147717)","Odell Beckham",7147717,9300,"NYG@Dal 04:25PM ET","NYG","Odell","Beckham","Dal",22.51,21,24.72,21,2
"WR","DeAndre Hopkins (7147645)","DeAndre Hopkins",7147645,8800,"Chi@Hou 01:00PM ET","Hou","DeAndre","Hopkins","Chi",22.49,20.5,23.06,20.5,2
"QB","Aaron Rodgers (7147242)","Aaron Rodgers",7147242,8500,"GB@Jax 01:00PM ET","GB","Aaron","Rodgers","Jax",23.19,22.3,23.69,22.3,2
"WR","Dez Bryant (7147707)","Dez Bryant",7147707,8500,"NYG@Dal 04:25PM ET","Dal","Dez","Bryant","NYG",17.95,19,22.94,19,3
"WR","A.J. Green (7147544)","A.J. Green",7147544,8400,"Cin@NYJ 01:00PM ET","Cin","A.J.","Green","NYJ",19.1,18,21.14,18,3
"QB","Andrew Luck (7147267)","Andrew Luck",7147267,8300,"Det@Ind 04:25PM ET","Ind","Andrew","Luck","Det",21.57,24.2,22.87,24.2,1
"WR","Allen Robinson (7147675)","Allen Robinson",7147675,8300,"GB@Jax 01:00PM ET","Jax","Allen","Robinson","GB",18.72,16.5,21.74,16.5,3
"QB","Drew Brees (7147213)","Drew Brees",7147213,8100,"Oak@NO 01:00PM ET","NO","Drew","Brees","Oak",24.75,20.8,23.09,20.8,3
"WR","Keenan Allen (7147597)","Keenan Allen",7147597,8000,"SD@KC 01:00PM ET","SD","Keenan","Allen","KC",17.39,0,17.46,0,0
"QB","Russell Wilson (7147252)","Russell Wilson",7147252,7900,"Mia@Sea 04:05PM ET","Sea","Russell","Wilson","Mia",21.57,22.9,23.29,22.9,2
"WR","Alshon Jeffery (7147639)","Alshon Jeffery",7147639,7900,"Chi@Hou 01:00PM ET","Chi","Alshon","Jeffery","Hou",17.28,17.2,18.32,17.2,3
"WR","Brandon Marshall (7147538)","Brandon Marshall",7147538,7800,"Cin@NYJ 01:00PM ET","NYJ","Brandon","Marshall","Cin",18.93,18.2,19.88,18.2,3
"WR","Jordy Nelson (7147658)","Jordy Nelson",7147658,7700,"GB@Jax 01:00PM ET","GB","Jordy","Nelson","Jax",18.78,14.4,18.98,14.4,4
"WR","Brandin Cooks (7147574)","Brandin Cooks",7147574,7700,"Oak@NO 01:00PM ET","NO","Brandin","Cooks","Oak",16.81,16.1,17.51,16.1,3
"RB","Adrian Peterson (7147291)","Adrian Peterson",7147291,7600,"Min@Ten 01:00PM ET","Min","Adrian","Peterson","Ten",18.29,15.3,20.47,15.3,2
"WR","Randall Cobb (7147661)","Randall Cobb",7147661,7600,"GB@Jax 01:00PM ET","GB","Randall","Cobb","Jax",17.1,16.7,17.07,16.7,3
"QB","Eli Manning (7147258)","Eli Manning",7147258,7500,"NYG@Dal 04:25PM ET","NYG","Eli","Manning","Dal",18.71,20.7,20.49,20.7,3
"WR","T.Y. Hilton (7147734)","T.Y. Hilton",7147734,7500,"Det@Ind 04:25PM ET","Ind","T.Y.","Hilton","Det",15.98,16.4,17.48,16.4,3
"RB","David Johnson (7147465)","David Johnson",7147465,7500,"NE@Ari 08:30PM ET","Ari","David","Johnson","NE",18.71,16.9,21.08,16.9,1
"QB","Tom Brady (7147270)","Tom Brady",7147270,7400,"NE@Ari 08:30PM ET","NE","Tom","Brady","Ari",0,0,0,0,0
"TE","Rob Gronkowski (7147931)","Rob Gronkowski",7147931,7400,"NE@Ari 08:30PM ET","NE","Rob","Gronkowski","Ari",0,0,0,0,0
"WR","Mike Evans (7147483)","Mike Evans",7147483,7400,"TB@Atl 01:00PM ET","TB","Mike","Evans","Atl",18.54,17.4,21.48,17.4,3
"WR","Golden Tate (7147732)","Golden Tate",7147732,7300,"Det@Ind 04:25PM ET","Det","Golden","Tate","Ind",18.45,16.7,16.47,16.7,3
"QB","Derek Carr (7147216)","Derek Carr",7147216,7300,"Oak@NO 01:00PM ET","Oak","Derek","Carr","NO",19.84,22.1,22.27,22.1,2
"RB","Ezekiel Elliott (7147440)","Ezekiel Elliott",7147440,7300,"NYG@Dal 04:25PM ET","Dal","Ezekiel","Elliott","NYG",17.07,16.9,20.41,16.9,1
"QB","Matthew Stafford (7147265)","Matthew Stafford",7147265,7200,"Det@Ind 04:25PM ET","Det","Matthew","Stafford","Ind",18.45,21.6,20.52,21.6,3
"QB","Blake Bortles (7147244)","Blake Bortles",7147244,7200,"GB@Jax 01:00PM ET","Jax","Blake","Bortles","GB",19.02,18.1,21.32,18.1,6
"WR","Amari Cooper (7147576)","Amari Cooper",7147576,7200,"Oak@NO 01:00PM ET","Oak","Amari","Cooper","NO",19.09,17.4,18.3,17.4,3
"QB","Carson Palmer (7147271)","Carson Palmer",7147271,7100,"NE@Ari 08:30PM ET","Ari","Carson","Palmer","NE",19.51,19.3,20.95,19.3,5
"QB","Matt Ryan (7147183)","Matt Ryan",7147183,7100,"TB@Atl 01:00PM ET","Atl","Matt","Ryan","TB",17.7,20.1,19.53,20.1,4
"RB","Jamaal Charles (7147353)","Jamaal Charles",7147353,7100,"SD@KC 01:00PM ET","KC","Jamaal","Charles","SD",0,0,0,0,0
"QB","Philip Rivers (7147221)","Philip Rivers",7147221,7000,"SD@KC 01:00PM ET","SD","Philip","Rivers","KC",16.84,17.1,18.98,17.1,7
"RB","Lamar Miller (7147386)","Lamar Miller",7147386,7000,"Chi@Hou 01:00PM ET","Hou","Lamar","Miller","Chi",18.88,16.7,20.77,16.7,1
"QB","Tyrod Taylor (7147232)","Tyrod Taylor",7147232,6900,"Buf@Bal 01:00PM ET","Buf","Tyrod","Taylor","Bal",18.86,19.2,22.03,19.2,5
