"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"DST","Seahawks  (0000000)","Seahawks ",0,3900,"Mia@Sea 00:00PM ET","Sea","Seahawks","","Mia",10.9,9.4
"DST","Rams  (0000000)","Rams ",0,3800,"LA@SF 00:00PM ET","LA","Rams","","SF",8.97,9.1
"DST","Panthers  (0000000)","Panthers ",0,3800,"Car@Den 00:00PM ET","Car","Panthers","","Den",8.82,9.5
"DST","Broncos  (0000000)","Broncos ",0,3700,"Car@Den 00:00PM ET","Den","Broncos","","Car",9.24,8.3
"DST","Chiefs  (0000000)","Chiefs ",0,3600,"SD@KC 00:00PM ET","KC","Chiefs","","SD",10.16,9.2
"DST","Cardinals  (0000000)","Cardinals ",0,3500,"NE@Ari 00:00PM ET","Ari","Cardinals","","NE",10.53,9
"DST","Jets  (0000000)","Jets ",0,3400,"Cin@NYJ 00:00PM ET","NYJ","Jets","","Cin",7.75,7.6
"DST","Eagles  (0000000)","Eagles ",0,3300,"Cle@Phi 00:00PM ET","Phi","Eagles","","Cle",8.64,8
"DST","Texans  (0000000)","Texans ",0,3200,"Chi@Hou 00:00PM ET","Hou","Texans","","Chi",9.41,8
"DST","49ers  (0000000)","49ers ",0,3100,"LA@SF 00:00PM ET","SF","49ers","","LA",5.96,4.6
"DST","Vikings  (0000000)","Vikings ",0,3100,"Min@Ten 00:00PM ET","Min","Vikings","","Ten",8.85,8.3
"DST","Bengals  (0000000)","Bengals ",0,3000,"Cin@NYJ 00:00PM ET","Cin","Bengals","","NYJ",8.54,7.5
"DST","Steelers  (0000000)","Steelers ",0,2900,"Pit@Was 00:00PM ET","Pit","Steelers","","Was",8.58,8
"DST","Bills  (0000000)","Bills ",0,2900,"Buf@Bal 00:00PM ET","Buf","Bills","","Bal",8.48,6.1
"DST","Patriots  (0000000)","Patriots ",0,2900,"NE@Ari 00:00PM ET","NE","Patriots","","Ari",7.08,6.6
"DST","Falcons  (0000000)","Falcons ",0,2800,"TB@Atl 00:00PM ET","Atl","Falcons","","TB",6.82,6.4
"DST","Packers  (0000000)","Packers ",0,2800,"GB@Jax 00:00PM ET","GB","Packers","","Jax",9.08,8.1
"DST","Ravens  (0000000)","Ravens ",0,2700,"Buf@Bal 00:00PM ET","Bal","Ravens","","Buf",6.6,5.8
"DST","Colts  (0000000)","Colts ",0,2700,"Det@Ind 00:00PM ET","Ind","Colts","","Det",8.65,7.1
"DST","Giants  (0000000)","Giants ",0,2700,"NYG@Dal 00:00PM ET","NYG","Giants","","Dal",7.3,7.1
"DST","Redskins  (0000000)","Redskins ",0,2700,"Pit@Was 00:00PM ET","Was","Redskins","","Pit",6.9,7.3
"DST","Buccaneers  (0000000)","Buccaneers ",0,2600,"TB@Atl 00:00PM ET","TB","Buccaneers","","Atl",7.88,7.6
"DST","Titans  (0000000)","Titans ",0,2600,"Min@Ten 00:00PM ET","Ten","Titans","","Min",6.78,7.5
"DST","Chargers  (0000000)","Chargers ",0,2500,"SD@KC 00:00PM ET","SD","Chargers","","KC",5.45,5.3
"DST","Lions  (0000000)","Lions ",0,2500,"Det@Ind 00:00PM ET","Det","Lions","","Ind",8.23,6.9
"DST","Cowboys  (0000000)","Cowboys ",0,2500,"NYG@Dal 00:00PM ET","Dal","Cowboys","","NYG",6.65,5.4
"DST","Bears  (0000000)","Bears ",0,2500,"Chi@Hou 00:00PM ET","Chi","Bears","","Hou",7.14,5.3
"DST","Jaguars  (0000000)","Jaguars ",0,2400,"GB@Jax 00:00PM ET","Jax","Jaguars","","GB",6.5,6.2
"DST","Raiders  (0000000)","Raiders ",0,2400,"Oak@NO 00:00PM ET","Oak","Raiders","","NO",5.86,6.5
"DST","Saints  (0000000)","Saints ",0,2300,"Oak@NO 00:00PM ET","NO","Saints","","Oak",6.82,6.8
"DST","Browns  (0000000)","Browns ",0,2300,"Cle@Phi 00:00PM ET","Cle","Browns","","Phi",7.66,6.9
"DST","Dolphins  (0000000)","Dolphins ",0,2200,"Mia@Sea 00:00PM ET","Mia","Dolphins","","Sea",5.27,4.9
