"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Actual","ValueWR","TierRank"
"WR","Antonio Brown (7498956)","Antonio Brown",7498956,9700,"KC@Pit 08:30PM ET","Pit","Antonio","Brown","KC",27.29,28.4,22.35,28.4,1,0.344827586206897,26.5486356910943,23.9414871655215,1,22.4,0,1
"WR","Julio Jones (7498881)","Julio Jones",7498881,9200,"Car@Atl 01:00PM ET","Atl","Julio","Jones","Car",19.41,25.2,19.64,25.2,1,0.194174757281553,22.4797200493212,20.2615981550539,0,51,0,1
"WR","DeAndre Hopkins (7498839)","DeAndre Hopkins",7498839,8400,"Ten@Hou 01:00PM ET","Hou","DeAndre","Hopkins","Ten",19.09,18.3,19.49,18.3,1,0.242990654205607,17.4445896270896,15.7347888275147,1,1.4,0,2
"WR","Dez Bryant (7498944)","Dez Bryant",7498944,7900,"Dal@SF 04:25PM ET","Dal","Dez","Bryant","SF",0,0,0,0,2,0.233009708737864,0,0,0,0,0,0
"QB","Cam Newton (7498689)","Cam Newton",7498689,7800,"Car@Atl 01:00PM ET","Car","Cam","Newton","Atl",23.46,24,22.74,24,0,0,22.524723192289,20.3136079378277,1,15.6,0,1
"RB","David Johnson (7498800)","David Johnson",7498800,7800,"LA@Ari 04:25PM ET","Ari","David","Johnson","LA",20.41,20.1,20.76,20.1,4,0.137096774193548,19.0353875438069,17.1684664525353,1,15.4,0,1
"WR","Amari Cooper (7498897)","Amari Cooper",7498897,7600,"Oak@Bal 01:00PM ET","Oak","Amari","Cooper","Bal",16.13,16.7,14.34,16.7,1,0.276422764227642,15.629893344884,14.095176770313,0,9.8,0,3
"QB","Drew Brees (7498711)","Drew Brees",7498711,7600,"NO@SD 04:25PM ET","NO","Drew","Brees","SD",21.25,23,20.72,23,0,0,21.3098092874154,19.2152588905547,1,13.9,0,2
"WR","Alshon Jeffery (7498907)","Alshon Jeffery",7498907,7500,"Det@Chi 01:00PM ET","Chi","Alshon","Jeffery","Det",15.45,19.2,15.16,19.2,2,0.2,17.2757287728685,15.5726179190676,1,7.6,0,2
"RB","Le'Veon Bell (7498829)","Le'Veon Bell",7498829,7500,"KC@Pit 08:30PM ET","Pit","Le'Veon","Bell","KC",20.18,19.9,15.05,19.9,11,0,18.839945014057,16.9921338665325,0,25.8,0,1
"WR","Brandin Cooks (7498940)","Brandin Cooks",7498940,7400,"NO@SD 04:25PM ET","NO","Brandin","Cooks","SD",18.28,16.2,18.32,16.2,1,0.194244604316547,15.7523586459232,14.2113921633547,1,6.1,0,3
"QB","Matthew Stafford (7498698)","Matthew Stafford",7498698,7300,"Det@Chi 01:00PM ET","Det","Matthew","Stafford","Chi",20.31,20.7,21.78,20.7,0,0,19.4445604233034,17.5359717269258,1,10.2,0,4
"WR","Marvin Jones Jr. (7498906)","Marvin Jones",7498906,7300,"Det@Chi 01:00PM ET","Det","Marvin","Jones","Chi",18.53,19.5,18.35,19.5,1,0.252032520325203,18.1822066575876,16.3962078647737,1,12.4,0,2
"WR","Larry Fitzgerald (7498923)","Larry Fitzgerald",7498923,7200,"LA@Ari 04:25PM ET","Ari","Larry","Fitzgerald","LA",19.97,17.2,16.68,17.2,1,0.266129032258065,16.850664387415,15.2034423606515,1,11.3,0,3
"WR","Kelvin Benjamin (7498887)","Kelvin Benjamin",7498887,7100,"Car@Atl 01:00PM ET","Car","Kelvin","Benjamin","Atl",17.76,15.5,19.3,15.5,2,0.198198198198198,15.1322200351906,13.6524880589666,0,12.9,0,4
"QB","Ben Roethlisberger (7498722)","Ben Roethlisberger",7498722,7100,"KC@Pit 08:30PM ET","Pit","Ben","Roethlisberger","KC",20.96,22.5,18.55,22.5,0,0,20.8851132064327,18.8326873721694,1,36.9,0,2
"RB","Lamar Miller (7498729)","Lamar Miller",7498729,7000,"Ten@Hou 01:00PM ET","Hou","Lamar","Miller","Ten",19.13,17.1,17.79,17.1,4,0.11214953271028,16.5903644332098,14.9670709402794,1,13.8,0,2
"WR","Brandon Marshall (7498856)","Brandon Marshall",7498856,7000,"Sea@NYJ 01:00PM ET","NYJ","Brandon","Marshall","Sea",15.57,16.4,14.73,16.4,1,0.256637168141593,15.2885165596302,13.786727405261,0,18.9,0,3
"QB","Matt Ryan (7498686)","Matt Ryan",7498686,7000,"Car@Atl 01:00PM ET","Atl","Matt","Ryan","Car",18.75,18.6,16.7,18.6,0,0,17.5841445911057,15.8592594137616,0,39.5,0,6
"QB","Philip Rivers (7498713)","Philip Rivers",7498713,6900,"NO@SD 04:25PM ET","SD","Philip","Rivers","NO",20.52,22.7,19.99,22.7,0,0,20.9303106025946,18.872057978395,1,22.8,0,2
"RB","Ezekiel Elliott (7498822)","Ezekiel Elliott",7498822,6900,"Dal@SF 04:25PM ET","Dal","Ezekiel","Elliott","SF",17.41,16.3,15.21,16.3,5,0.058252427184466,15.629197139777,14.0982039039972,1,25.7,0,2
"RB","DeMarco Murray (7498727)","DeMarco Murray",7498727,6800,"Ten@Hou 01:00PM ET","Ten","DeMarco","Murray","Hou",17.42,15,12.9,15,2,0.175925925925926,14.6963116308058,13.2596954973144,1,25.9,0,3
