"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR"
"WR","Antonio Brown (0000000)","Antonio Brown",0,9800,"NYJ@Pit 00:00PM ET","Pit","Antonio","Brown","NYJ",26.78,24.3,1,0.319444444444444,0
"WR","Julio Jones (0000000)","Julio Jones",0,9600,"Atl@Den 00:00PM ET","Atl","Julio","Jones","Den",18.49,23.9,1,0.251798561151079,0
"WR","A.J. Green (0000000)","A.J. Green",0,8900,"Cin@Dal 00:00PM ET","Cin","A.J.","Green","Dal",21,20.5,1,0.304054054054054,0
"WR","Odell Beckham (0000000)","Odell Beckham",0,8500,"NYG@GB 00:00PM ET","NYG","Odell","Beckham","GB",19.41,18.8,1,0.265822784810127,0
"QB","Cam Newton (0000000)","Cam Newton",0,7900,"TB@Car 00:00PM ET","Car","Cam","Newton","TB",0,0,0,0,0
"RB","David Johnson (0000000)","David Johnson",0,7900,"Ari@SF 00:00PM ET","Ari","David","Johnson","SF",21.69,23.4,4,0.131736526946108,0
"WR","Jordy Nelson (0000000)","Jordy Nelson",0,7900,"NYG@GB 00:00PM ET","GB","Jordy","Nelson","NYG",21.92,19,1,0.271844660194175,0
"WR","Alshon Jeffery (0000000)","Alshon Jeffery",0,7800,"Chi@Ind 00:00PM ET","Chi","Alshon","Jeffery","Ind",15.1,16.4,2,0.183098591549296,0
"WR","Dez Bryant (0000000)","Dez Bryant",0,7700,"Cin@Dal 00:00PM ET","Dal","Dez","Bryant","Cin",0,0,3,0.176470588235294,0
"QB","Aaron Rodgers (0000000)","Aaron Rodgers",0,7700,"NYG@GB 00:00PM ET","GB","Aaron","Rodgers","NYG",22.81,23.8,0,0,0
"WR","DeAndre Hopkins (0000000)","DeAndre Hopkins",0,7700,"Hou@Min 00:00PM ET","Hou","DeAndre","Hopkins","Min",14.91,18.2,2,0.21830985915493,0
"WR","Marvin Jones (0000000)","Marvin Jones",0,7600,"Phi@Det 00:00PM ET","Det","Marvin","Jones","Phi",18.59,17.8,1,0.25,0
"WR","Mike Evans (0000000)","Mike Evans",0,7500,"TB@Car 00:00PM ET","TB","Mike","Evans","Car",20.04,19.2,1,0.284090909090909,0
"QB","Tom Brady (0000000)","Tom Brady",0,7500,"NE@Cle 00:00PM ET","NE","Tom","Brady","Cle",21.63,24.2,0,0,0
"RB","Le'Veon Bell (0000000)","Le'Veon Bell",0,7500,"NYJ@Pit 00:00PM ET","Pit","Le'Veon","Bell","NYJ",21.79,21.2,6,0.0416666666666667,0
"WR","T.Y. Hilton (0000000)","T.Y. Hilton",0,7400,"Chi@Ind 00:00PM ET","Ind","T.Y.","Hilton","Chi",20.46,19.3,1,0.274853801169591,0
"QB","Andrew Luck (0000000)","Andrew Luck",0,7300,"Chi@Ind 00:00PM ET","Ind","Andrew","Luck","Chi",21.08,23.1,0,0,0
"WR","Kelvin Benjamin (0000000)","Kelvin Benjamin",0,7300,"TB@Car 00:00PM ET","Car","Kelvin","Benjamin","TB",17.36,14.4,2,0.180124223602484,0
"RB","DeMarco Murray (0000000)","DeMarco Murray",0,7200,"Ten@Mia 00:00PM ET","Ten","DeMarco","Murray","Mia",19.9,20,3,0.142857142857143,0
"WR","Amari Cooper (0000000)","Amari Cooper",0,7200,"SD@Oak 00:00PM ET","Oak","Amari","Cooper","SD",16.97,16.5,1,0.254658385093168,0
"QB","Ben Roethlisberger (0000000)","Ben Roethlisberger",0,7200,"NYJ@Pit 00:00PM ET","Pit","Ben","Roethlisberger","NYJ",20.22,21.1,0,0,0
"WR","Larry Fitzgerald (0000000)","Larry Fitzgerald",0,7200,"Ari@SF 00:00PM ET","Ari","Larry","Fitzgerald","SF",16.91,16.6,1,0.239520958083832,0
"WR","Brandon Marshall (0000000)","Brandon Marshall",0,7100,"NYJ@Pit 00:00PM ET","NYJ","Brandon","Marshall","Pit",17.85,20.8,1,0.248366013071895,0
"QB","Matt Ryan (0000000)","Matt Ryan",0,7100,"Atl@Den 00:00PM ET","Atl","Matt","Ryan","Den",17,18.5,0,0,0
"RB","Melvin Gordon (0000000)","Melvin Gordon",0,7000,"SD@Oak 00:00PM ET","SD","Melvin","Gordon","Oak",17.47,13.4,4,0.115646258503401,0
"WR","Jarvis Landry (0000000)","Jarvis Landry",0,7000,"Ten@Mia 00:00PM ET","Mia","Jarvis","Landry","Ten",20.47,17.3,1,0.345864661654135,0
"WR","Michael Crabtree (0000000)","Michael Crabtree",0,6900,"SD@Oak 00:00PM ET","Oak","Michael","Crabtree","SD",16.08,16.2,2,0.229813664596273,0
"RB","C.J. Anderson (0000000)","C.J. Anderson",0,6900,"Atl@Den 00:00PM ET","Den","C.J.","Anderson","Atl",17.57,16.7,3,0.116279069767442,0
"WR","Demaryius Thomas (0000000)","Demaryius Thomas",0,6900,"Atl@Den 00:00PM ET","Den","Demaryius","Thomas","Atl",15.58,17.8,2,0.263565891472868,0
"QB","Philip Rivers (0000000)","Philip Rivers",0,6900,"SD@Oak 00:00PM ET","SD","Philip","Rivers","Oak",18.27,17.2,0,0,0
"QB","Derek Carr (0000000)","Derek Carr",0,6800,"SD@Oak 00:00PM ET","Oak","Derek","Carr","SD",20.28,22.6,0,0,0
