Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jacksonville Jaguars,1,D,4500,JAX,IND,15.3,JAX by 10,4.2,0.5,0.6,201,95,17.0,12.2,13.7,14.5,14.5,4.8,24.3,14.2,3.2,0.0,0.0
Los Angeles Chargers,2,D,4000,LAC,CLE,14.3,LAC by 14,3.3,0.7,1.8,203,107,14.5,13.0,17.3,10.5,10.5,1.6,19.5,14.9,3.7,0.0,0.0
Los Angeles Rams,2,D,3600,LAR,@ARI,19.0,LAR by 7,2.6,0.5,1.1,257,73,17.9,9.2,6.3,10.5,10.5,1.6,19.5,10.4,2.9,0.0,0.0
Chicago Bears,2,D,3500,CHI,SF,18.8,CHI by 3,3.2,0.6,0.9,222,100,17.0,9.1,4.7,7.9,7.9,-0.6,16.4,12.1,3.5,0.0,0.0
Washington Redskins,,D,3500,WAS,@DAL,22.0,WAS by 1.5,2.2,0.6,0.8,199,135,22.0,8.1,5.3,6.9,6.9,2.3,11.5,5.5,1.6,0.0,0.0
Tennessee Titans,,D,3400,TEN,HOU,18.3,TEN by 7,3.1,0.8,1.2,223,123,23.4,9.9,5.3,5.4,5.4,0.8,10.0,9.2,2.7,0.0,0.0
Pittsburgh Steelers,,D,3300,PIT,@CIN,19.0,PIT by 5.5,2.5,0.8,0.7,199,76,17.0,8.5,8.3,9.0,9.0,4.1,13.9,7.6,2.3,0.0,0.0
New England Patriots,,D,3300,NE,@BUF,20.0,NE by 8.5,2.8,0.5,0.7,183,116,19.3,7.4,13.0,7.4,7.4,2.6,12.1,7.4,2.2,0.0,0.0
Philadelphia Eagles,,D,3200,PHI,@SEA,21.0,PHI by 5.5,2.4,0.3,0.8,260,103,22.2,6.0,14.3,10.8,10.8,3.6,18.1,8.3,2.6,0.0,0.0
Kansas City Chiefs,,D,3200,KC,@NYJ,20.5,KC by 3,3.2,0.7,0.7,212,102,20.7,8.7,3.0,7.2,7.2,1.3,13.1,7.1,2.2,0.0,0.0
Oakland Raiders,1,D,3100,OAK,NYG,16.3,OAK by 9.5,2.4,0.5,0.7,205,91,14.4,8.3,3.7,3.2,3.2,-0.2,6.6,8.3,2.7,0.0,0.0
Tampa Bay Buccaneers,,D,3100,TB,@GB,21.5,TB by 1.5,3.6,0.4,0.9,208,100,20.5,8.5,11.0,6.9,6.9,-0.3,14.1,9.9,3.2,0.0,0.0
Baltimore Ravens,,D,3100,BAL,DET,20.3,BAL by 2.5,3.3,0.7,0.5,256,78,24.0,7.9,13.3,13.1,13.1,2.0,24.2,9.7,3.1,0.0,0.0
Detroit Lions,1,D,3000,DET,@BAL,22.8,BAL by 2.5,2.1,0.4,1.0,164,117,19.8,6.5,8.7,10.5,10.5,5.0,15.9,6.7,2.2,0.0,0.0
Denver Broncos,,D,3000,DEN,@MIA,19.3,DEN by 1.5,2.3,0.5,1.4,207,79,14.7,10.9,2.0,5.2,5.2,1.3,9.1,6.3,2.1,0.0,0.0
Seattle Seahawks,,D,2900,SEA,PHI,26.5,PHI by 5.5,2.3,0.7,0.5,234,147,30.3,5.0,6.0,8.8,8.8,3.1,14.5,6.7,2.3,0.0,0.0
Miami Dolphins,,D,2900,MIA,DEN,20.8,DEN by 1.5,3.3,0.8,1.4,212,108,16.8,11.7,1.3,4.5,4.5,-1.4,10.5,8.1,2.8,0.0,0.0
Green Bay Packers,,D,2800,GB,TB,23.0,TB by 1.5,1.7,0.5,0.8,265,81,18.6,6.4,5.7,6.1,6.1,2.9,9.2,6.9,2.5,0.0,0.0
New Orleans Saints,,D,2800,NO,CAR,21.8,NO by 4.5,2.4,0.5,1.0,204,129,22.0,7.4,5.0,9.5,9.5,-0.4,19.5,8.6,3.1,0.0,0.0
Indianapolis Colts,,D,2700,IND,@JAX,25.3,JAX by 10,1.7,0.6,0.7,195,154,21.2,6.3,5.7,5.6,5.6,3.1,8.1,6.3,2.3,0.0,0.0
Minnesota Vikings,,D,2700,MIN,@ATL,25.0,ATL by 3,1.5,0.5,0.7,257,117,23.0,5.4,5.7,6.5,6.5,2.9,10.0,6.5,2.4,0.0,0.0
San Francisco 49ers,,D,2600,SF,@CHI,21.8,CHI by 3,2.5,0.8,0.8,167,120,14.3,10.5,4.0,4.0,4.0,0.5,7.5,7.1,2.7,0.0,0.0
Atlanta Falcons,,D,2600,ATL,MIN,22.0,ATL by 3,1.1,0.5,0.5,251,124,24.6,3.4,10.0,6.5,6.5,1.7,11.4,6.6,2.5,0.0,0.0
Cincinnati Bengals,,D,2500,CIN,PIT,24.5,PIT by 5.5,1.4,0.5,1.1,263,104,23.3,5.9,6.3,6.9,6.9,2.4,11.5,6.1,2.4,0.0,0.0
New York Jets,,D,2500,NYJ,KC,23.5,KC by 3,2.5,0.2,0.5,246,113,23.6,4.5,6.3,5.5,5.5,0.5,10.4,7.5,3.0,0.0,0.0
New York Giants,,D,2500,NYG,@OAK,25.8,OAK by 9.5,1.5,0.6,0.8,237,91,20.5,6.6,9.7,6.1,6.1,-1.2,13.3,4.8,1.9,0.0,0.0
Houston Texans,,D,2400,HOU,@TEN,25.3,TEN by 7,2.3,0.4,1.3,208,115,22.0,7.6,3.0,7.0,7.0,-1.1,15.1,5.4,2.3,0.0,0.0
Dallas Cowboys,,D,2400,DAL,WAS,23.5,WAS by 1.5,2.8,0.9,0.5,252,104,22.9,8.8,0.7,5.8,5.8,-1.1,12.7,6.5,2.7,0.0,0.0
Carolina Panthers,,D,2300,CAR,@NO,26.3,NO by 4.5,1.2,0.5,0.5,267,142,27.6,4.0,8.0,8.4,8.4,2.2,14.5,5.1,2.2,0.0,0.0
Arizona Cardinals,,D,2200,ARI,LAR,26.0,LAR by 7,1.7,0.7,0.5,262,117,28.6,3.5,6.7,6.0,6.0,2.0,10.0,6.3,2.9,0.0,0.0
Cleveland Browns,,D,2100,CLE,@LAC,28.3,LAC by 14,1.1,0.3,0.6,264,93,21.0,4.1,4.3,5.2,5.2,2.5,7.9,4.2,2.0,0.0,0.0
Buffalo Bills,,D,2000,BUF,NE,28.5,NE by 8.5,2.2,0.4,0.3,297,114,29.4,3.1,1.0,6.7,6.7,0.7,12.7,5.3,2.6,0.0,0.0
