"Player.Name","Likes","Inj","Pos","Salary","Team","Opp","Vegas.Pts","Vegas.Spread","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Pass.Att","S.Pass.Att","Proj.Pass.Att","Red.Zone.Pass.Att","Yards.Per.Pass.Att","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","Projected.Usage","L3.FP","L16.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Antonio Brown",0,"","WR",9300,"PIT","NE",20.8,"NE by 7.5","2%","-12%","-2%",0,0,0,0,0,0.3,0.2,0.4,0,6,8,10.7,10.6,0.7,7.6,19,17.9,21,21,10,32.1,19.7,2.1,0,0
"Julio Jones",46,"","WR",9200,"ATL","SD",29,"ATL by 5.5","13%","-21%","6%",0,0,0,0,0,0,0,0,0,0,10,8.3,10.7,0.5,13.1,18,28.6,21.6,21.6,3.7,39.5,25.6,2.8,0,0
"Odell Beckham",7,"","WR",8900,"NYG","@LA",23.8,"NYG by 3","-2%","10%","24%",0,0,0,0,0,0,0,0,0,0,10.3,10.2,9.7,1,9.5,16,22,19.4,19.4,5.9,32.8,19.3,2.2,0,0
"A.J. Green",49,"","WR",8600,"CIN","CLE",28.8,"CIN by 11","12%","12%","8%",0,0,0,0,0,0,0,0,0,0,10,10.3,9.3,1.3,9.8,16,20,20.1,20.1,6,34.2,23.1,2.7,0,0
"Le'Veon Bell",14,"","RB",8000,"PIT","NE",20.8,"NE by 7.5","2%","-12%","-10%",0,0,0,0,0,16,16,16.7,0.7,5.5,8,8,5.2,0.3,7.4,38,23,23,23,19.3,26.7,20.5,2.6,0,0
"Tom Brady",23,"","QB",7900,"NE","@PIT",28.3,"NE by 7.5","13%","-4%","-1%",37.5,37.5,40.3,5.5,10.4,2,2,2.2,0.5,4,0,0,0,0,0,67,31.4,31.4,31.4,29.7,33.1,22.3,2.8,0,0
"Amari Cooper",26,"","WR",7900,"OAK","@JAX",22.8,"JAX by 2","-11%","-2%","-2%",0,0,0,0,0,0,0,0.2,0,0,10.3,10,8.8,0.8,9.8,15,22.2,18.9,18.9,9.7,28.2,16.1,2,0,0
"Jordy Nelson",4,"","WR",7800,"GB","CHI",27,"GB by 7.5","-7%","3%","9%",0,0,0,0,0,0,0,0,0,0,9,9.4,8.3,2.2,6.6,14,18.6,17.8,17.8,10,25.7,16.4,2.1,0,0
"Mike Evans",36,"","WR",7800,"TB","@SF",22,"SF by 1","-15%","66%","-3%",0,0,0,0,0,0,0,0,0,0,12,12,10.6,1.4,7.5,16,21.3,20.8,20.8,13.2,28.4,17.9,2.3,0,0
"T.Y. Hilton",14,"","WR",7700,"IND","@TEN",22.3,"TEN by 3.5","-3%","-16%","5%",0,0,0,0,0,0,0,0.4,0,0,10,10.7,11.2,1.3,8.7,20,20.4,19.6,19.6,7,32.2,21.6,2.8,0,0
