Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Seattle Seahawks,11,D,3800,SEA,PHI,18.3,SEA by 6.5,2.1,0.8,0.6,236,119,24.4,5.4,7.7,8.4,8.7,4.2,12.7,8.3,2.2,7.0,1.8
Pittsburgh Steelers,5,D,3700,PIT,@CLE,18.8,PIT by 8,3.0,0.5,1.1,242,99,16.9,8.7,3.0,7.1,4.0,0.3,13.8,8.2,2.2,22.0,5.9
New England Patriots,7,D,3600,NE,@SF,20.5,NE by 10.5,2.3,1.4,0.9,203,120,20.8,8.3,4.3,7.8,7.3,2.3,13.2,9.4,2.6,8.0,2.2
New York Giants,23,D,3500,NYG,CHI,17.3,NYG by 7,1.9,1.0,0.7,259,99,15.0,8.7,12.3,5.3,6.1,-0.1,10.7,9.9,2.8,9.0,2.6
Kansas City Chiefs,25,D,3400,KC,TB,19.0,KC by 7,2.4,0.6,1.1,269,105,22.7,7.7,12.3,12.3,10.3,3.3,21.2,10.9,3.2,3.0,0.9
Minnesota Vikings,11,D,3300,MIN,ARI,18.8,MIN by 2,3.0,0.8,1.1,292,109,21.8,9.7,3.3,11.1,11.4,3.6,18.5,10.9,3.3,20.0,6.1
Detroit Lions,4,D,3200,DET,JAX,20.8,DET by 5.5,2.3,1.1,1.2,269,88,19.3,8.3,6.0,5.5,5.0,2.3,8.7,7.0,2.2,21.0,6.6
Arizona Cardinals,12,D,3100,ARI,@MIN,20.8,MIN by 2,2.7,0.3,0.2,251,70,18.1,6.2,5.7,9.8,9.7,0.8,18.8,8.9,2.9,6.0,1.9
Los Angeles Rams,7,D,3100,LA,MIA,19.0,LA by 1,2.2,0.7,0.8,235,120,22.0,6.9,9.0,7.5,8.0,2.0,13.0,9.8,3.2,7.0,2.3
Cincinnati Bengals,1,D,3000,CIN,BUF,22.8,CIN by 2.5,2.7,0.6,0.3,202,155,24.3,5.0,6.3,7.6,5.3,2.4,12.8,6.7,2.2,7.0,2.3
Miami Dolphins,27,D,2900,MIA,@LA,20.0,LA by 1,2.6,0.4,1.2,241,83,14.8,10.8,12.0,6.8,8.2,0.8,12.8,9.5,3.3,7.0,2.4
Green Bay Packers,0,D,2800,GB,@WAS,25.5,WAS by 3,1.3,0.7,0.8,305,114,23.6,5.7,1.3,6.4,5.1,2.4,10.5,5.3,1.9,-2.0,-0.7
Oakland Raiders,3,D,2800,OAK,HOU,19.5,OAK by 6.5,1.8,0.6,1.0,202,121,17.2,7.9,6.3,6.6,5.0,2.3,10.8,9.1,3.3,7.0,2.5
Carolina Panthers,,D,2700,CAR,NO,24.5,CAR by 3.5,1.4,0.7,0.8,332,105,29.4,5.7,11.7,9.4,7.6,1.5,17.2,6.1,2.3,12.0,4.4
Indianapolis Colts,1,D,2700,IND,TEN,25.3,IND by 3,1.4,0.5,0.8,250,146,26.4,7.9,8.7,7.1,4.9,1.6,12.5,5.2,1.9,6.0,2.2
Buffalo Bills,0,D,2700,BUF,@CIN,25.3,CIN by 2.5,3.1,0.6,0.4,284,116,20.8,5.8,2.0,6.9,9.0,0.3,13.5,7.1,2.6,9.0,3.3
Dallas Cowboys,13,D,2600,DAL,BAL,18.8,DAL by 7,2.1,0.6,1.0,265,85,20.2,6.9,5.0,5.4,5.6,2.2,8.6,10.6,4.1,2.0,0.8
Tampa Bay Buccaneers,,D,2600,TB,@KC,26.0,KC by 7,2.4,0.7,0.3,247,100,20.8,5.1,9.0,6.6,7.6,-0.4,13.5,6.3,2.4,5.0,1.9
Washington Redskins,2,D,2600,WAS,GB,22.5,WAS by 3,2.4,0.8,0.8,269,102,24.8,7.1,5.7,7.1,6.3,2.9,11.2,6.7,2.6,6.0,2.3
