Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Le'Veon Bell,26,,RB,9500,PIT,JAX,24.3,PIT by 7.5,-35%,55%,26%,0.0,0.0,0.0,0.0,0.0,25.7,21.8,20.4,5.0,3.7,5.7,5.8,5.9,0.5,4.3,44,24.2,20.1,20.1,7.0,33.1,27.8,2.9,19.3,2.0
Ezekiel Elliott,23,,RB,8800,DAL,GB,27.3,DAL by 2.5,-17%,4%,6%,0.0,0.0,0.0,0.0,0.0,17.3,19.0,18.5,2.5,3.6,4.7,4.8,3.6,0.5,6.2,35,18.2,19.1,19.1,9.3,29.0,20.3,2.3,17.2,2.0
Kareem Hunt,7,,RB,8600,KC,@HOU,23.5,KC by 2,-14%,-11%,-34%,0.0,0.0,0.0,0.0,0.0,17.0,17.0,14.7,3.0,7.4,2.7,3.3,3.8,0.3,12.1,34,24.4,30.7,30.7,17.6,43.9,17.0,2.0,17.6,2.0
Odell Beckham Jr.,10,O,WR,8500,NYG,LAC,24.3,NYG by 3,-15%,53%,6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,9.1,1.3,6.2,15,17.5,17.5,17.5,6.8,28.2,0.0,0.0,21.5,2.5
Antonio Brown,13,,WR,8400,PIT,JAX,24.3,PIT by 7.5,-35%,55%,-45%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,11.3,11.3,9.4,1.0,8.6,16,16.2,20.2,20.2,7.5,32.9,20.2,2.4,28.7,3.4
A.J. Green,6,,WR,8200,CIN,BUF,21.0,CIN by 3,-6%,-12%,-12%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.5,8.7,1.3,8.3,15,19.7,17.9,17.9,9.4,26.4,17.4,2.1,33.9,4.1
Aaron Rodgers,29,,QB,8100,GB,@DAL,24.8,DAL by 2.5,2%,0%,9%,39.3,40.0,35.9,6.0,7.2,2.3,3.5,3.7,0.3,3.6,0.0,0.0,0.0,0.0,0.0,66,25.1,24.0,24.0,20.5,27.5,23.1,2.9,24.0,3.0
Jordy Nelson,21,Q,WR,8100,GB,@DAL,24.8,DAL by 2.5,2%,0%,15%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,6.0,8.6,1.5,8.6,14,15.6,16.9,16.9,5.6,28.2,19.2,2.4,10.4,1.3
Todd Gurley II,23,,RB,8000,LAR,SEA,24.3,LAR by 2,-19%,25%,1%,0.0,0.0,0.0,0.0,0.0,22.3,21.5,17.3,4.0,4.2,6.3,6.3,3.6,1.3,9.4,36,35.3,31.6,31.6,22.4,40.9,19.3,2.4,6.0,0.8
Tom Brady,5,,QB,8000,NE,@TB,29.0,NE by 3.5,39%,-27%,9%,39.7,38.8,34.1,6.3,9.0,1.3,1.5,1.9,0.5,2.8,0.0,0.0,0.0,0.0,0.0,59,32.3,26.9,26.9,14.2,39.6,21.7,2.7,17.6,2.2
Mike Evans,8,,WR,7900,TB,NE,25.5,NE by 3.5,43%,24%,28%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,10.7,11.0,1.3,7.1,18,17.9,17.9,17.9,13.6,22.2,20.9,2.6,9.9,1.3
LeSean McCoy,3,,RB,7800,BUF,@CIN,18.0,CIN by 3,-27%,1%,-7%,0.0,0.0,0.0,0.0,0.0,15.3,17.0,13.3,2.8,3.2,5.7,5.8,5.2,0.0,7.1,33,12.7,15.5,15.5,9.6,21.3,17.4,2.2,14.9,1.9
DeAndre Hopkins,11,,WR,7600,HOU,KC,21.5,KC by 2,9%,4%,14%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.3,8.5,1.3,6.3,14,19.5,19.3,19.3,12.1,26.5,15.6,2.1,27.2,3.6
Ty Montgomery,,Q,RB,7400,GB,@DAL,24.8,DAL by 2.5,2%,0%,26%,0.0,0.0,0.0,0.0,0.0,9.0,11.5,0.0,1.8,3.3,6.3,5.8,0.0,0.8,5.6,0,14.9,16.0,16.0,5.0,27.0,0.0,0.0,0.0,0.0
