player,salary,team,pos,opp,ceil,floor,fpts
"Andrew Luck",7600,IND,QB,SDC,,,23.27
"Ben Roethlisberger",7300,PIT,QB,PHI,,,20.42
"Carson Wentz",5500,PHI,QB,PIT,,,17.23
"Philip Rivers",6700,SDC,QB,IND,,,19.37
"Russell Wilson",7100,SEA,QB,SFO,,,19.27
"Marcus Mariota",5900,TEN,QB,OAK,,,18.45
"Blaine Gabbert",5000,SFO,QB,SEA,,,14.52
"Ryan Fitzpatrick",5900,NYJ,QB,KCC,,,16.42
"Alex Smith",5800,KCC,QB,NYJ,,,16.38
"Case Keenum",5000,LAR,QB,TBB,,,11.39
"Jameis Winston",6000,TBB,QB,LAR,,,18.3
"Drew Brees",7900,NOS,QB,ATL,,,26.31
"Matt Ryan",7400,ATL,QB,NOS,,,24.92
"Brian Hoyer",5000,CHI,QB,DAL,,,14.01
"Dak Prescott",5700,DAL,QB,CHI,,,17.62
"Derek Carr",6900,OAK,QB,TEN,,,20.9
"Blake Bortles",6500,JAC,QB,BAL,,,19.97
"Cody Kessler",5000,CLE,QB,MIA,,,11.67
"Ryan Tannehill",6200,MIA,QB,CLE,,,19.39
"Matthew Stafford",6800,DET,QB,GBP,,,19.08
"Eli Manning",7000,NYG,QB,WAS,,,18.46
"Kirk Cousins",6400,WAS,QB,NYG,,,17.69
"Brock Osweiler",6000,HOU,QB,NEP,,,16.24
"Jacoby Brissett",5000,NEP,QB,HOU,,,16.02
"Aaron Rodgers",7700,GBP,QB,DET,,,22.4
"Sam Bradford",5300,MIN,QB,CAR,,,15.09
"Tyrod Taylor",5800,BUF,QB,ARI,,,16.86
"Joe Flacco",6100,BAL,QB,JAC,,,17.63
"Carson Palmer",7200,ARI,QB,BUF,,,21.26
"Andy Dalton",5700,CIN,QB,DEN,,,18.06
"Cam Newton",7800,CAR,QB,MIN,,,22.49
"Trevor Siemian",5100,DEN,QB,CIN,,,11.23
"Phillip Dorsett",4400,IND,WR,SDC,,,12.56
"T.Y. Hilton",6800,IND,WR,SDC,,,19.22
"Quan Bray",3000,IND,WR,SDC,,,1.97
"Dwayne Allen",3800,IND,TE,SDC,,,10.82
"Dexter McCluster",3000,SDC,RB,IND,,,3.56
"Jack Doyle",2500,IND,TE,SDC,,,7.94
"Frank Gore",5000,IND,RB,SDC,,,11.92
"Robert Turbin",3000,IND,RB,SDC,,,4.27
"Travis Benjamin",5200,SDC,WR,IND,,,15.51
"Kenneth Farrow",3000,SDC,RB,IND,,,4.88
"Tyrell Williams",4300,SDC,WR,IND,,,13.32
"Dontrelle Inman",3600,SDC,WR,IND,,,4.74
"Isaiah Burse",3000,SDC,WR,IND,,,3.51
"Hunter Henry",2500,SDC,TE,IND,,,7.44
"Fitzgerald Toussaint",3000,PIT,RB,PHI,,,2.4
"Ryan Mathews",5800,PHI,RB,PIT,,,12.4
"Darren Sproles",3700,PHI,RB,PIT,,,8.98
"Jordan Matthews",7100,PHI,WR,PIT,,,15.8
"Nelson Agholor",3500,PHI,WR,PIT,,,9.03
"Dorial Green-Beckham",3200,PHI,WR,PIT,,,6.94
"Josh Huff",3000,PHI,WR,PIT,,,2.78
"Markus Wheaton",4600,PIT,WR,PHI,,,10.26
"Jesse James",3500,PIT,TE,PHI,,,9.64
"Antonio Brown",9600,PIT,WR,PHI,,,27.75
"DeAngelo Williams",7500,PIT,RB,PHI,,,21.47
"Sammie Coates",3800,PIT,WR,PHI,,,7.61
"Darrius Heyward-Bey",3200,PIT,WR,PHI,,,3.25
"Eli Rogers",3900,PIT,WR,PHI,,,8.79
"Melvin Gordon",5800,SDC,RB,IND,,,17.72
"Alex Collins",3000,SEA,RB,SFO,,,1.83
"Tajae Sharpe",4700,TEN,WR,OAK,,,14.03
"Rishard Matthews",3300,TEN,WR,OAK,,,8.93
"Andre Johnson",3400,TEN,WR,OAK,,,5.64
"Harry Douglas",3000,TEN,WR,OAK,,,5.08
"Jace Amaro",2500,TEN,TE,OAK,,,5.85
"Anthony Fasano",2500,TEN,TE,OAK,,,6.32
"Derrick Henry",3700,TEN,RB,OAK,,,6.75
"DeMarco Murray",6300,TEN,RB,OAK,,,15.85
"Seth Roberts",3500,OAK,WR,TEN,,,7.64
"Michael Crabtree",6000,OAK,WR,TEN,,,14.09
"Andre Holmes",3000,OAK,WR,TEN,,,4.08
"Lee Smith",2500,OAK,TE,TEN,,,3.91
"Clive Walford",2800,OAK,TE,TEN,,,9.4
"Carlos Hyde",4400,SFO,RB,SEA,,,10.98
"Shaun Draughn",3400,SFO,RB,SEA,,,5.03
"Jermaine Kearse",3400,SEA,WR,SFO,,,9.7
"Doug Baldwin",6300,SEA,WR,SFO,,,17.26
"Tyler Lockett",4200,SEA,WR,SFO,,,12.2
"Paul Richardson",3000,SEA,WR,SFO,,,4.19
"Luke Willson",2500,SEA,TE,SFO,,,4.51
"Jimmy Graham",3000,SEA,TE,SFO,,,10.26
"Christine Michael",5000,SEA,RB,SFO,,,16.12
"Garrett Celek",2500,SFO,TE,SEA,,,2.77
"Quinton Patton",3100,SFO,WR,SEA,,,7.22
"Torrey Smith",4300,SFO,WR,SEA,,,11.06
"Jeremy Kerley",3400,SFO,WR,SEA,,,11.01
"Rod Streater",3000,SFO,WR,SEA,,,2.72
"Vance McDonald",2900,SFO,TE,SEA,,,7.93
"Brent Celek",2800,PHI,TE,PIT,,,5.86
"Trey Burton",2500,PHI,TE,PIT,,,10
"Brandin Cooks",7900,NOS,WR,ATL,,,19.89
"Travaris Cadet",3100,NOS,RB,ATL,,,8.96
"Willie Snead",6500,NOS,WR,ATL,,,17.13
"Michael Thomas",4200,NOS,WR,ATL,,,9.86
"Coby Fleener",3300,NOS,TE,ATL,,,10.24
"Brandon Coleman",3000,NOS,WR,ATL,,,5.42
"Mark Ingram",5900,NOS,RB,ATL,,,15.31
"Austin Hooper",2500,ATL,TE,NOS,,,5.28
"Julio Jones",9500,ATL,WR,NOS,,,28.56
"Tevin Coleman",4500,ATL,RB,NOS,,,10.4
"Justin Hardy",3000,ATL,WR,NOS,,,6.59
"Mohamed Sanu",5700,ATL,WR,NOS,,,14.09
"Jacob Tamme",3200,ATL,TE,NOS,,,13.63
"Tim Hightower",3300,NOS,RB,ATL,,,2.46
"Aldrick Robinson",3000,ATL,WR,NOS,,,4.08
"Vincent Jackson",3900,TBB,WR,LAR,,,11
"Mike Evans",7000,TBB,WR,LAR,,,17.62
"Adam Humphries",3000,TBB,WR,LAR,,,8.95
"Cecil Shorts",3000,TBB,WR,LAR,,,5.47
"Jacquizz Rodgers",3000,TBB,RB,LAR,,,4.71
"Cameron Brate",2500,TBB,TE,LAR,,,7.22
"Charles Sims",4900,TBB,RB,LAR,,,13.14
"Lance Kendricks",2700,LAR,TE,TBB,,,6.81
"Benny Cunningham",3400,LAR,RB,TBB,,,3.17
"Todd Gurley",7100,LAR,RB,TBB,,,13.55
"Kenny Britt",3900,LAR,WR,TBB,,,9.33
"Brian Quick",3000,LAR,WR,TBB,,,3.18
"Tavon Austin",4100,LAR,WR,TBB,,,11.6
"Devonta Freeman",5800,ATL,RB,NOS,,,12.95
"Geoff Swaim",2500,DAL,TE,CHI,,,2.87
"Jeremy Maclin",6000,KCC,WR,NYJ,,,14.78
"Charcandrick West",3500,KCC,RB,NYJ,,,8.46
"Chris Conley",3100,KCC,WR,NYJ,,,5.5
"Albert Wilson",3000,KCC,WR,NYJ,,,5.36
"Travis Kelce",4700,KCC,TE,NYJ,,,12.74
"Tyreek Hill",3000,KCC,WR,NYJ,,,2.57
"Spencer Ware",5700,KCC,RB,NYJ,,,12.84
"Kellen Davis",2500,NYJ,TE,KCC,,,1.21
"Bilal Powell",3400,NYJ,RB,KCC,,,6.36
"Matt Forte",7000,NYJ,RB,KCC,,,16.92
"Brandon Marshall",7300,NYJ,WR,KCC,,,14.49
"Eric Decker",6900,NYJ,WR,KCC,,,15.75
"Quincy Enunwa",4800,NYJ,WR,KCC,,,9.92
"Jalin Marshall",3000,NYJ,WR,KCC,,,3.6
"Jeremy Langford",5200,CHI,RB,DAL,,,11.41
"Cole Beasley",3200,DAL,WR,CHI,,,11.24
"Dez Bryant",8400,DAL,WR,CHI,,,17.84
"Brice Butler",3000,DAL,WR,CHI,,,2.97
"Terrance Williams",3300,DAL,WR,CHI,,,5.03
"Jordan Howard",3300,CHI,RB,DAL,,,5.85
"Jason Witten",4300,DAL,TE,CHI,,,10.41
"Ezekiel Elliott",6900,DAL,RB,CHI,,,17.11
"Alfred Morris",3700,DAL,RB,CHI,,,5.96
"Kevin White",4000,CHI,WR,DAL,,,8.9
"Ka'Deem Carey",3100,CHI,RB,DAL,,,4.69
"Alshon Jeffery",8000,CHI,WR,DAL,,,15.71
