"player","salary","team","pos","opp","ceil","floor","fpts"
"Russell Wilson",6900,"SEA","QB","GBP",32.696,16.104,24.4
"Aaron Rodgers",7000,"GBP","QB","SEA",36.4514,14.8886,25.67
"Scott Tolzien",4500,"IND","QB","LAR",16.51,8.89,12.7
"Jared Goff",4800,"LAR","QB","IND",22.6884,7.9716,15.33
"Carson Wentz",5300,"PHI","QB","WAS",23.0184,10.1016,16.56
"Kirk Cousins",6400,"WAS","QB","PHI",26.715,12.285,19.5
"Cam Newton",7100,"CAR","QB","SFO",28.4648,13.3952,20.93
"Brian Hoyer",5100,"SFO","QB","CAR",23.4906,9.8294,16.66
"Philip Rivers",5800,"LAC","QB","DEN",21.938,9.402,15.67
"Trevor Siemian",5000,"DEN","QB","LAC",21.014,10.586,15.8
"Sam Bradford",5900,"MIN","QB","NOS",24.3405,11.7195,18.03
"Drew Brees",7200,"NOS","QB","MIN",24.9778,10.2022,17.59
"Eli Manning",5600,"NYG","QB","DAL",23.8544,11.2256,17.54
"Dak Prescott",6300,"DAL","QB","NYG",25.6875,11.8125,18.75
"Andy Dalton",5700,"CIN","QB","BAL",24.822,10.638,17.73
"Joe Flacco",5500,"BAL","QB","CIN",23.175,7.725,15.45
"Matthew Stafford",6100,"DET","QB","ARI",24.3294,10.9306,17.63
"Matt Ryan",6900,"ATL","QB","CHI",31.8918,14.3282,23.11
"Carson Palmer",6000,"ARI","QB","DET",28.6467,13.1733,20.91
"Marcus Mariota",6800,"TEN","QB","OAK",28.5384,12.8216,20.68
"Tom Brady",7600,"NEP","QB","KCC",36.6415,13.8985,25.27
"Derek Carr",6700,"OAK","QB","TEN",26.544,11.376,18.96
"Mike Glennon",4900,"CHI","QB","ATL",18.648,7.992,13.32
"Ben Roethlisberger",7300,"PIT","QB","CLE",27.1216,13.3584,20.24
"Josh McCown",4600,"NYJ","QB","BUF",19.6625,7.8375,13.75
"Tyrod Taylor",6200,"BUF","QB","NYJ",22.1977,11.1823,16.69
"Tom Savage",4800,"HOU","QB","JAC",21.025,7.975,14.5
"Blake Bortles",4800,"JAC","QB","HOU",19.783,7.317,13.55
"DeShone Kizer",4800,"CLE","QB","PIT",21.9611,10.0989,16.03
"Alex Smith",5400,"KCC","QB","NEP",22.7505,8.6295,15.69
"Quan Bray",3000,"IND","WR","LAR",3.1141,1.0659,2.09
"Brandon Williams",2500,"IND","TE","LAR",4.788,0.912,2.85
"Gerald Everett",2500,"LAR","TE","IND",8.0688,1.7712,4.92
"Eddie Lacy",5000,"SEA","RB","GBP",9.675,3.225,6.45
"Thomas Rawls",4800,"SEA","RB","GBP",8.0028,6.8172,7.41
"Doug Baldwin",6700,"SEA","WR","GBP",28.21,12.09,20.15
"C.J. Prosise",4100,"SEA","RB","GBP",11.5024,3.0576,7.28
"Tyler Higbee",2600,"LAR","TE","IND",9.636,2.044,5.84
"Cooper Kupp",3700,"LAR","WR","IND",13.3632,5.1968,9.28
"Todd Gurley",6000,"LAR","RB","IND",23.5053,8.4747,15.99
"Jack Doyle",3700,"IND","TE","LAR",13.825,3.675,8.75
"Malcolm Brown",3900,"LAR","RB","IND",4.172,1.788,2.98
"Sammy Watkins",6200,"LAR","WR","IND",21.4182,7.9218,14.67
"Tavon Austin",3800,"LAR","WR","IND",11.1852,3.1548,7.17
"Robert Woods",4000,"LAR","WR","IND",12.556,4.644,8.6
"Tyler Lockett",4400,"SEA","WR","GBP",15.614,5.486,10.55
"Paul Richardson",3700,"SEA","WR","GBP",12.25,5.25,8.75
"Lance Kendricks",2500,"GBP","TE","SEA",5.5611,1.0989,3.33
"Martellus Bennett",4100,"GBP","TE","SEA",14.1614,3.8786,9.02
"Tanner McEvoy",3000,"SEA","WR","GBP",3.92,1.68,2.8
"Christian McCaffrey",5400,"CAR","RB","SFO",20.2426,10.1974,15.22
"Kelvin Benjamin",5900,"CAR","WR","SFO",20.846,8.934,14.89
"Jonathan Stewart",5000,"CAR","RB","SFO",13.0869,6.8931,9.99
