Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
15.6,Antonio,1.0,Pit@Cle 01:00PM ET,7770016,Brown,Antonio Brown,Antonio Brown (7770016),CLE,WR,24.31,23.3,23.6381452768,1.0,0.286863270777,9500,PIT,1.0,0.0
37.1,Le'Veon,1.0,Pit@Cle 01:00PM ET,7769914,Bell,Le'Veon Bell,Le'Veon Bell (7769914),CLE,RB,29.16,28.8,28.8084021855,2.0,0.152815013405,8800,PIT,1.0,0.0
9.6,Odell,1.0,Chi@NYG 01:00PM ET,7770091,Beckham,Odell Beckham,Odell Beckham Jr. (7770091),CHI,WR,22.52,19.9,20.9989648769,1.0,0.270194986072,8500,NYG,2.0,0.0
0.0,A.J.,1.0,Buf@Cin 01:00PM ET,7770063,Green,A.J. Green,A.J. Green (7770063),BUF,WR,20.92,20.7,20.6881751092,1.0,0.327217125382,8300,CIN,2.0,0.0
16.9,DeMarco,1.0,Ten@Ind 01:00PM ET,7769939,Murray,DeMarco Murray,DeMarco Murray (7769939),IND,RB,21.87,17.7,19.5255591585,4.0,0.136778115502,8200,TEN,2.0,0.0
19.5,Mike,1.0,TB@KC 01:00PM ET,7770078,Evans,Mike Evans,Mike Evans (7770078),KC,WR,22.17,20.7,21.2644319358,1.0,0.314447592068,8100,TB,2.0,0.0
16.7,Ezekiel,1.0,Bal@Dal 01:00PM ET,7769928,Elliott,Ezekiel Elliott,Ezekiel Elliott (7769928),BAL,RB,19.23,16.9,17.8816857703,6.0,0.076124567474,8000,DAL,2.0,0.0
38.0,David,1.0,Ari@Min 01:00PM ET,7769978,Johnson,David Johnson,David Johnson (7769978),MIN,RB,20.69,19.8,20.1019725114,2.0,0.1640625,7900,ARI,2.0,0.0
28.4,Tom,1.0,NE@SF 04:25PM ET,7769898,Brady,Tom Brady,Tom Brady (7769898),SF,QB,23.81,20.7,22.0204808924,0.0,0.0,7800,NE,2.0,0.0
11.8,Jordy,1.0,GB@Was 08:30PM ET,7770138,Nelson,Jordy Nelson,Jordy Nelson (7770138),WAS,WR,20.12,18.2,18.9855614577,1.0,0.243523316062,7800,GB,3.0,0.0
20.7,T.Y.,1.0,Ten@Ind 01:00PM ET,7770051,Hilton,T.Y. Hilton,T.Y. Hilton (7770051),TEN,WR,19.06,20.3,19.617295466,1.0,0.277777777778,7700,IND,2.0,0.0
32.3,Aaron,1.0,GB@Was 08:30PM ET,7769907,Rodgers,Aaron Rodgers,Aaron Rodgers (7769907),WAS,QB,22.24,21.0,21.456759432,0.0,0.0,7600,GB,2.0,0.0
8.7,Ben,1.0,Pit@Cle 01:00PM ET,7769851,Roethlisberger,Ben Roethlisberger,Ben Roethlisberger (7769851),CLE,QB,20.34,21.3,20.7409061694,0.0,0.0,7500,PIT,2.0,0.0
10.8,Allen,1.0,Jax@Det 01:00PM ET,7770047,Robinson,Allen Robinson,Allen Robinson (7770047),DET,WR,16.89,17.4,17.0696948473,1.0,0.25,7400,JAX,3.0,0.0
26.0,Dez,0.0,Bal@Dal 01:00PM ET,7770029,Bryant,Dez Bryant,Dez Bryant (7770029),BAL,WR,17.24,14.1,15.4704185059,3.0,0.179930795848,7200,DAL,5.0,0.0
