Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
38.5,David,1.0,Was@Ari 04:25PM ET,7852233,Johnson,David Johnson,David Johnson (7852233),WAS,RB,27.58,23.3,24.360884602,25.1208717706,2.0,0.181236673774,9500,ARI,2.0,0.0
26.2,Le'Veon,1.0,NYG@Pit 04:25PM ET,7852224,Bell,Le'Veon Bell,Le'Veon Bell (7852224),NYG,RB,26.19,28.0,26.2397865453,27.0168969553,2.0,0.163218390805,9200,PIT,1.0,0.0
17.4,Antonio,1.0,NYG@Pit 04:25PM ET,7852363,Brown,Antonio Brown,Antonio Brown (7852363),NYG,WR,25.86,24.3,24.1389717206,24.8747085878,1.0,0.291954022989,9100,PIT,1.0,0.0
21.3,Julio,1.0,KC@Atl 01:00PM ET,7852259,Jones,Julio Jones,Julio Jones (7852259),KC,WR,21.64,21.4,20.7632800553,21.3890073242,1.0,0.272727272727,8700,ATL,2.0,0.0
8.8,Mike,1.0,TB@SD 04:25PM ET,7852390,Evans,Mike Evans,Mike Evans (7852390),SD,WR,22.09,23.3,21.964531189,22.61699862,1.0,0.318396226415,8600,TB,1.0,0.0
23.0,Odell,1.0,NYG@Pit 04:25PM ET,7852366,Beckham,Odell Beckham,Odell Beckham Jr. (7852366),PIT,WR,21.49,21.0,20.4862630293,21.1052784807,1.0,0.271226415094,8500,NYG,2.0,0.0
29.1,LeSean,1.0,Buf@Oak 04:05PM ET,7852212,McCoy,LeSean McCoy,LeSean McCoy (7852212),OAK,RB,17.9,17.9,17.2797912947,17.7992484185,4.0,0.109034267913,7800,BUF,3.0,0.0
13.0,Drew,1.0,Det@NO 01:00PM ET,7852075,Brees,Drew Brees,Drew Brees (7852075),DET,QB,28.55,20.8,23.4621409648,24.217536997,0.0,0.0,7600,NO,1.0,0.0
14.9,Tom,1.0,LA@NE 01:00PM ET,7852080,Brady,Tom Brady,Tom Brady (7852080),LA,QB,26.24,20.5,22.2951820887,23.0025069858,0.0,0.0,7500,NE,1.0,0.0
0.0,A.J.,1.0,Phi@Cin 01:00PM ET,7852315,Green,A.J. Green,A.J. Green (7852315),PHI,WR,0.0,0.0,0.0,0.0,1.0,0.258373205742,7500,CIN,0.0,0.0
18.6,Ben,1.0,NYG@Pit 04:25PM ET,7852118,Roethlisberger,Ben Roethlisberger,Ben Roethlisberger (7852118),NYG,QB,26.09,20.2,22.071050785,22.7726073945,0.0,0.0,7400,PIT,2.0,0.0
13.9,Amari,1.0,Buf@Oak 04:05PM ET,7852357,Cooper,Amari Cooper,Amari Cooper (7852357),BUF,WR,18.54,17.1,17.1360618344,17.6605048958,1.0,0.247747747748,7300,OAK,3.0,0.0
23.8,Melvin,1.0,TB@SD 04:25PM ET,7852242,Gordon,Melvin Gordon,Melvin Gordon (7852242),TB,RB,21.13,20.7,20.1704679338,20.7796023208,5.0,0.123456790123,7200,SD,2.0,0.0
17.8,Larry,1.0,Was@Ari 04:25PM ET,7852371,Fitzgerald,Larry Fitzgerald,Larry Fitzgerald (7852371),WAS,WR,18.08,18.3,17.5699031481,18.096659629,1.0,0.247334754797,7100,ARI,3.0,0.0
26.8,Matthew,1.0,Det@NO 01:00PM ET,7852078,Stafford,Matthew Stafford,Matthew Stafford (7852078),NO,QB,25.72,20.7,22.173976525,22.8730044631,0.0,0.0,7000,DET,1.0,0.0
28.8,Jordy,1.0,Hou@GB 01:00PM ET,7852302,Nelson,Jordy Nelson,Jordy Nelson (7852302),HOU,WR,18.9,16.9,17.1874283186,17.7170347947,1.0,0.23829787234,7000,GB,3.0,0.0
8.2,Michael,1.0,Det@NO 01:00PM ET,7852276,Thomas,Michael Thomas,Michael Thomas (7852276),DET,WR,19.26,14.8,16.2339660801,16.750808902,1.0,0.191304347826,6900,NO,4.0,0.0
32.7,Jordan,1.0,SF@Chi 01:00PM ET,7852208,Howard,Jordan Howard,Jordan Howard (7852208),SF,RB,17.26,24.8,20.6495498123,21.221576325,5.0,0.0970873786408,6900,CHI,2.0,0.0
17.2,Matt,1.0,KC@Atl 01:00PM ET,7852070,Ryan,Matt Ryan,Matt Ryan (7852070),KC,QB,20.69,20.2,19.7139818541,20.3097813447,0.0,0.0,6800,ATL,2.0,0.0
21.1,Julian,1.0,LA@NE 01:00PM ET,7852280,Edelman,Julian Edelman,Julian Edelman (7852280),LA,WR,15.76,16.5,15.6052934957,16.0696300459,1.0,0.263291139241,6800,NE,3.0,0.0
17.0,Aaron,1.0,Hou@GB 01:00PM ET,7852091,Rodgers,Aaron Rodgers,Aaron Rodgers (7852091),HOU,QB,24.32,20.1,21.2455702465,21.9115184926,0.0,0.0,6700,GB,2.0,0.0
14.7,Jay,1.0,Mia@Bal 01:00PM ET,7852194,Ajayi,Jay Ajayi,Jay Ajayi (7852194),BAL,RB,14.82,12.2,12.9209028472,13.3262580374,4.0,0.0722891566265,6700,MIA,4.0,0.0
