Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
22.4,Antonio,1.0,KC@Pit 08:30PM ET,7498956,Brown,Antonio Brown,Antonio Brown (7498956),KC,WR,27.29,28.4,28.4,22.35,26.5486356911,23.9414871655,1.0,0.344827586207,9700,PIT,1.0,0.0
51.0,Julio,0.0,Car@Atl 01:00PM ET,7498881,Jones,Julio Jones,Julio Jones (7498881),CAR,WR,19.41,25.2,25.2,19.64,22.4797200493,20.2615981551,1.0,0.194174757282,9200,ATL,1.0,0.0
1.4,DeAndre,1.0,Ten@Hou 01:00PM ET,7498839,Hopkins,DeAndre Hopkins,DeAndre Hopkins (7498839),TEN,WR,19.09,18.3,18.3,19.49,17.4445896271,15.7347888275,1.0,0.242990654206,8400,HOU,2.0,0.0
0.0,Dez,0.0,Dal@SF 04:25PM ET,7498944,Bryant,Dez Bryant,Dez Bryant (7498944),SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.233009708738,7900,DAL,0.0,0.0
15.6,Cam,1.0,Car@Atl 01:00PM ET,7498689,Newton,Cam Newton,Cam Newton (7498689),ATL,QB,23.46,24.0,24.0,22.74,22.5247231923,20.3136079378,0.0,0.0,7800,CAR,1.0,0.0
15.4,David,1.0,LA@Ari 04:25PM ET,7498800,Johnson,David Johnson,David Johnson (7498800),LA,RB,20.41,20.1,20.1,20.76,19.0353875438,17.1684664525,4.0,0.137096774194,7800,ARI,1.0,0.0
9.8,Amari,0.0,Oak@Bal 01:00PM ET,7498897,Cooper,Amari Cooper,Amari Cooper (7498897),BAL,WR,16.13,16.7,16.7,14.34,15.6298933449,14.0951767703,1.0,0.276422764228,7600,OAK,3.0,0.0
13.9,Drew,1.0,NO@SD 04:25PM ET,7498711,Brees,Drew Brees,Drew Brees (7498711),SD,QB,21.25,23.0,23.0,20.72,21.3098092874,19.2152588906,0.0,0.0,7600,NO,2.0,0.0
7.6,Alshon,1.0,Det@Chi 01:00PM ET,7498907,Jeffery,Alshon Jeffery,Alshon Jeffery (7498907),DET,WR,15.45,19.2,19.2,15.16,17.2757287729,15.5726179191,2.0,0.2,7500,CHI,2.0,0.0
25.8,Le'Veon,0.0,KC@Pit 08:30PM ET,7498829,Bell,Le'Veon Bell,Le'Veon Bell (7498829),KC,RB,20.18,19.9,19.9,15.05,18.8399450141,16.9921338665,11.0,0.0,7500,PIT,1.0,0.0
6.1,Brandin,1.0,NO@SD 04:25PM ET,7498940,Cooks,Brandin Cooks,Brandin Cooks (7498940),SD,WR,18.28,16.2,16.2,18.32,15.7523586459,14.2113921634,1.0,0.194244604317,7400,NO,3.0,0.0
10.2,Matthew,1.0,Det@Chi 01:00PM ET,7498698,Stafford,Matthew Stafford,Matthew Stafford (7498698),CHI,QB,20.31,20.7,20.7,21.78,19.4445604233,17.5359717269,0.0,0.0,7300,DET,4.0,0.0
12.4,Marvin,1.0,Det@Chi 01:00PM ET,7498906,Jones,Marvin Jones,Marvin Jones Jr. (7498906),CHI,WR,18.53,19.5,19.5,18.35,18.1822066576,16.3962078648,1.0,0.252032520325,7300,DET,2.0,0.0
11.3,Larry,1.0,LA@Ari 04:25PM ET,7498923,Fitzgerald,Larry Fitzgerald,Larry Fitzgerald (7498923),LA,WR,19.97,17.2,17.2,16.68,16.8506643874,15.2034423607,1.0,0.266129032258,7200,ARI,3.0,0.0
12.9,Kelvin,0.0,Car@Atl 01:00PM ET,7498887,Benjamin,Kelvin Benjamin,Kelvin Benjamin (7498887),ATL,WR,17.76,15.5,15.5,19.3,15.1322200352,13.652488059,2.0,0.198198198198,7100,CAR,4.0,0.0
36.9,Ben,1.0,KC@Pit 08:30PM ET,7498722,Roethlisberger,Ben Roethlisberger,Ben Roethlisberger (7498722),KC,QB,20.96,22.5,22.5,18.55,20.8851132064,18.8326873722,0.0,0.0,7100,PIT,2.0,0.0
13.8,Lamar,1.0,Ten@Hou 01:00PM ET,7498729,Miller,Lamar Miller,Lamar Miller (7498729),TEN,RB,19.13,17.1,17.1,17.79,16.5903644332,14.9670709403,4.0,0.11214953271,7000,HOU,2.0,0.0
18.9,Brandon,0.0,Sea@NYJ 01:00PM ET,7498856,Marshall,Brandon Marshall,Brandon Marshall (7498856),SEA,WR,15.57,16.4,16.4,14.73,15.2885165596,13.7867274053,1.0,0.256637168142,7000,NYJ,3.0,0.0
39.5,Matt,0.0,Car@Atl 01:00PM ET,7498686,Ryan,Matt Ryan,Matt Ryan (7498686),CAR,QB,18.75,18.6,18.6,16.7,17.5841445911,15.8592594138,0.0,0.0,7000,ATL,6.0,0.0
22.8,Philip,1.0,NO@SD 04:25PM ET,7498713,Rivers,Philip Rivers,Philip Rivers (7498713),NO,QB,20.52,22.7,22.7,19.99,20.9303106026,18.8720579784,0.0,0.0,6900,SD,2.0,0.0
